date,PREC_DAILY,WTEQ_DAILY
1984-10-01,0.0,1.9
1984-10-02,0.0,1.9
1984-10-03,0.0,1.8
1984-10-04,0.0,1.8
1984-10-05,0.0,1.8
1984-10-06,0.0,1.8
1984-10-07,0.0,1.8
1984-10-08,0.0,1.8
1984-10-09,0.0,1.9
1984-10-10,0.0,1.9
1984-10-11,0.0,1.5
1984-10-12,0.0,1.5
1984-10-13,0.1,1.3
1984-10-14,0.2,0.9
1984-10-15,0.3,0.7
1984-10-16,0.3,0.7
1984-10-17,0.4,0.9
1984-10-18,0.4,0.9
1984-10-19,0.4,0.9
1984-10-20,0.6,1.4
1984-10-21,0.6,1.4
1984-10-22,0.6,1.4
1984-10-23,0.6,1.8
1984-10-24,0.6,1.9
1984-10-25,0.6,1.9
1984-10-26,0.6,1.9
1984-10-27,0.9,2.0
1984-10-28,1.1,2.0
1984-10-29,1.1,2.0
1984-10-30,1.1,2.1
1984-10-31,1.3,2.2
1984-11-01,1.3,2.2
1984-11-02,1.8,2.9
1984-11-03,2.3,3.2
1984-11-04,2.3,3.2
1984-11-05,2.3,3.2
1984-11-06,2.4,3.2
1984-11-07,2.4,3.2
1984-11-08,2.5,3.2
1984-11-09,2.5,3.2
1984-11-10,2.5,3.4
1984-11-11,2.5,3.4
1984-11-12,2.5,3.4
1984-11-13,2.7,3.5
1984-11-14,2.8,3.5
1984-11-15,2.8,3.5
1984-11-16,2.8,3.5
1984-11-17,2.8,3.6
1984-11-18,2.8,3.6
1984-11-19,2.8,3.7
1984-11-20,2.8,3.8
1984-11-21,2.8,4.0
1984-11-22,2.8,4.0
1984-11-23,2.8,4.1
1984-11-24,2.8,4.2
1984-11-25,3.3,4.2
1984-11-26,3.5,4.2
1984-11-27,3.5,4.2
1984-11-28,3.6,4.3
1984-11-29,3.6,4.3
1984-11-30,4.0,4.4
1984-12-01,4.0,4.4
1984-12-02,4.0,4.5
1984-12-03,4.0,4.5
1984-12-04,4.0,4.6
1984-12-05,4.0,4.7
1984-12-06,4.0,4.9
1984-12-07,4.0,4.9
1984-12-08,4.0,4.9
1984-12-09,4.0,4.9
1984-12-10,4.3,4.9
1984-12-11,4.3,4.9
1984-12-12,4.4,4.9
1984-12-13,4.4,4.9
1984-12-14,4.4,4.9
1984-12-15,4.4,4.9
1984-12-16,4.5,5.0
1984-12-17,4.5,5.0
1984-12-18,4.5,5.1
1984-12-19,4.5,5.1
1984-12-20,4.5,5.1
1984-12-21,4.5,5.1
1984-12-22,4.6,5.3
1984-12-23,4.7,5.3
1984-12-24,4.7,5.3
1984-12-25,4.7,5.3
1984-12-26,4.7,5.3
1984-12-27,4.8,5.5
1984-12-28,5.0,5.5
1984-12-29,5.1,5.5
1984-12-30,5.1,5.5
1984-12-31,5.2,5.5
1985-01-01,5.2,5.5
1985-01-02,5.2,5.5
1985-01-03,5.2,5.5
1985-01-04,5.2,5.6
1985-01-05,5.2,5.6
1985-01-06,5.2,5.6
1985-01-07,5.2,5.6
1985-01-08,5.3,5.6
1985-01-09,5.3,5.6
1985-01-10,5.3,5.6
1985-01-11,5.3,5.6
1985-01-12,5.3,5.6
1985-01-13,5.3,5.7
1985-01-14,5.3,5.7
1985-01-15,5.3,5.7
1985-01-16,5.3,5.7
1985-01-17,5.3,5.7
1985-01-18,5.3,5.7
1985-01-19,5.3,5.7
1985-01-20,5.3,5.7
1985-01-21,5.5,5.7
1985-01-22,5.5,5.7
1985-01-23,5.5,5.7
1985-01-24,5.5,5.7
1985-01-25,5.5,5.7
1985-01-26,5.5,5.7
1985-01-27,5.5,5.7
1985-01-28,5.5,5.7
1985-01-29,5.7,5.7
1985-01-30,5.7,5.7
1985-01-31,5.7,5.7
1985-02-01,5.7,5.7
1985-02-02,5.7,5.7
1985-02-03,5.7,5.7
1985-02-04,5.7,5.7
1985-02-05,5.7,5.7
1985-02-06,5.7,5.7
1985-02-07,5.7,5.7
1985-02-08,6.3,6.0
1985-02-09,6.3,6.0
1985-02-10,6.3,6.1
1985-02-11,6.3,6.2
1985-02-12,6.3,6.2
1985-02-13,6.6,6.2
1985-02-14,6.6,6.2
1985-02-15,6.6,6.2
1985-02-16,6.6,6.2
1985-02-17,6.6,6.2
1985-02-18,6.6,6.2
1985-02-19,6.6,6.5
1985-02-20,6.8,6.6
1985-02-21,6.8,6.7
1985-02-22,6.8,6.7
1985-02-23,6.9,6.7
1985-02-24,6.9,6.7
1985-02-25,7.0,6.7
1985-02-26,7.0,6.7
1985-02-27,7.0,6.8
1985-02-28,7.0,6.9
1985-03-01,7.1,7.0
1985-03-02,7.3,7.1
1985-03-03,7.3,7.1
1985-03-04,7.4,7.2
1985-03-05,7.5,7.5
1985-03-06,7.5,7.5
1985-03-07,7.5,7.5
1985-03-08,7.5,7.6
1985-03-09,7.5,7.6
1985-03-10,7.5,7.6
1985-03-11,7.5,7.6
1985-03-12,7.6,7.6
1985-03-13,7.6,7.7
1985-03-14,7.6,7.7
1985-03-15,7.6,7.7
1985-03-16,7.6,7.7
1985-03-17,7.6,7.7
1985-03-18,7.6,7.7
1985-03-19,7.6,7.7
1985-03-20,7.6,7.7
1985-03-21,7.8,7.7
1985-03-22,7.8,7.8
1985-03-23,7.9,7.9
1985-03-24,7.9,8.0
1985-03-25,8.2,8.2
1985-03-26,8.5,8.4
1985-03-27,8.7,8.4
1985-03-28,8.7,8.4
1985-03-29,8.8,8.5
1985-03-30,8.8,8.5
1985-03-31,8.8,8.5
1985-04-01,8.8,8.6
1985-04-02,8.8,8.6
1985-04-03,9.0,8.8
1985-04-04,9.1,8.8
1985-04-05,9.1,8.9
1985-04-06,9.3,8.9
1985-04-07,9.3,8.9
1985-04-08,9.3,8.9
1985-04-09,9.3,9.0
1985-04-10,9.3,9.0
1985-04-11,9.3,9.0
1985-04-12,9.3,9.0
1985-04-13,9.4,9.0
1985-04-14,9.4,8.6
1985-04-15,9.4,8.5
1985-04-16,9.4,8.5
1985-04-17,9.4,8.4
1985-04-18,9.5,8.0
1985-04-19,9.5,7.8
1985-04-20,9.5,7.8
1985-04-21,9.5,7.9
1985-04-22,9.5,8.0
1985-04-23,9.5,8.0
1985-04-24,9.7,8.0
1985-04-25,9.9,8.2
1985-04-26,9.9,8.4
1985-04-27,9.9,8.4
1985-04-28,10.0,8.4
1985-04-29,10.0,8.3
1985-04-30,10.0,8.0
1985-05-01,10.0,7.7
1985-05-02,10.0,7.2
1985-05-03,10.1,6.9
1985-05-04,10.3,6.3
1985-05-05,10.3,6.1
1985-05-06,10.3,5.8
1985-05-07,10.3,5.3
1985-05-08,10.3,4.7
1985-05-09,10.3,3.8
1985-05-10,10.3,3.8
1985-05-11,10.5,3.7
1985-05-12,10.5,3.3
1985-05-13,10.5,3.1
1985-05-14,10.5,2.3
1985-05-15,10.5,2.1
1985-05-16,10.9,2.5
1985-05-17,12.0,3.3
1985-05-18,12.3,3.3
1985-05-19,12.3,3.3
1985-05-20,12.3,3.3
1985-05-21,12.3,3.0
1985-05-22,12.3,2.8
1985-05-23,12.3,2.6
1985-05-24,12.4,1.9
1985-05-25,12.5,1.4
1985-05-26,13.0,1.2
1985-05-27,13.0,0.9
1985-05-28,13.2,0.4
1985-05-29,13.3,0.0
1985-05-30,13.4,0.0
1985-05-31,13.4,0.0
1985-06-01,13.8,0.0
1985-06-02,13.8,0.0
1985-06-03,13.8,0.0
1985-06-04,13.8,0.0
1985-06-05,13.8,0.0
1985-06-06,13.8,0.0
1985-06-07,13.8,0.0
1985-06-08,13.8,0.0
1985-06-09,13.9,0.0
1985-06-10,13.9,0.0
1985-06-11,13.9,0.0
1985-06-12,13.9,0.0
1985-06-13,13.9,0.0
1985-06-14,13.9,0.0
1985-06-15,13.9,0.0
1985-06-16,13.9,0.0
1985-06-17,14.0,0.0
1985-06-18,14.0,0.0
1985-06-19,14.0,0.0
1985-06-20,14.0,0.0
1985-06-21,14.0,0.0
1985-06-22,14.0,0.0
1985-06-23,14.0,0.0
1985-06-24,14.6,0.0
1985-06-25,15.2,0.0
1985-06-26,15.5,0.0
1985-06-27,15.5,0.0
1985-06-28,15.5,0.0
1985-06-29,15.5,0.0
1985-06-30,15.5,0.0
1985-07-01,15.5,0.0
1985-07-02,15.5,0.0
1985-07-03,15.5,0.0
1985-07-04,15.5,0.0
1985-07-05,15.5,0.0
1985-07-06,15.5,0.0
1985-07-07,15.5,0.0
1985-07-08,15.5,0.0
1985-07-09,15.5,0.0
1985-07-10,15.5,0.0
1985-07-11,15.5,0.0
1985-07-12,15.5,0.0
1985-07-13,15.5,0.0
1985-07-14,15.5,0.0
1985-07-15,15.5,0.0
1985-07-16,15.9,0.0
1985-07-17,16.0,0.0
1985-07-18,16.0,0.0
1985-07-19,16.6,0.0
1985-07-20,16.6,0.0
1985-07-21,16.6,0.0
