date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
1984-10-01,0.2,34.2,43.0,29.5,0.0
1984-10-02,0.4,33.6,41.2,27.3,0.0
1984-10-03,0.4,35.4,49.5,27.3,0.0
1984-10-04,0.4,37.2,48.7,29.8,0.0
1984-10-05,0.4,34.9,47.7,26.6,0.0
1984-10-06,0.4,34.9,54.1,24.6,0.0
1984-10-07,0.4,36.7,53.2,25.0,0.0
1984-10-08,0.4,39.0,59.4,26.8,0.0
1984-10-09,0.4,,,,0.0
1984-10-10,0.4,,,,0.0
1984-10-11,0.9,,,,0.7
1984-10-12,1.0,24.6,33.4,20.5,0.9
1984-10-13,1.1,31.1,39.9,23.0,1.1
1984-10-14,1.1,18.5,31.6,10.0,1.1
1984-10-15,1.1,12.2,18.9,9.1,1.1
1984-10-16,1.1,15.3,31.5,5.0,1.1
1984-10-17,2.7,15.4,22.1,12.2,2.7
1984-10-18,2.7,12.2,23.2,5.0,2.7
1984-10-19,2.7,12.9,24.3,7.2,2.7
1984-10-20,2.7,16.9,27.9,9.3,2.7
1984-10-21,2.7,12.0,23.5,1.6,2.7
1984-10-22,2.7,11.3,29.1,1.2,2.7
1984-10-23,2.7,9.5,29.7,0.1,2.7
1984-10-24,2.7,14.5,28.4,3.4,2.7
1984-10-25,2.7,18.7,41.4,6.4,2.7
1984-10-26,3.3,21.2,36.1,10.8,3.2
1984-10-27,3.4,11.5,23.4,-1.3,3.3
1984-10-28,3.6,18.3,31.3,5.0,3.5
1984-10-29,3.6,,,,3.5
1984-10-30,3.8,26.6,43.7,15.4,3.6
1984-10-31,4.3,19.6,31.5,3.4,4.0
1984-11-01,4.3,20.8,43.2,4.3,4.0
1984-11-02,4.6,27.1,40.8,14.5,4.3
1984-11-03,5.0,21.6,30.4,14.9,4.6
1984-11-04,5.0,19.9,37.2,10.6,4.6
1984-11-05,5.0,27.1,46.8,10.2,4.6
1984-11-06,5.5,27.5,42.3,17.4,5.1
1984-11-07,5.5,20.8,32.0,12.0,5.1
1984-11-08,6.7,19.8,26.6,14.9,6.3
1984-11-09,7.0,10.9,21.2,-2.7,6.6
1984-11-10,7.0,16.7,32.0,-2.2,6.6
1984-11-11,7.0,23.2,33.3,15.6,6.6
1984-11-12,7.0,25.2,36.3,15.4,6.6
1984-11-13,7.8,24.1,31.8,17.8,7.8
1984-11-14,8.0,13.8,27.5,0.5,8.1
1984-11-15,8.0,16.3,39.6,1.4,8.1
