datetime,00060_2_Mean,00060_2_Mean_cd,site_no,00060_Mean,00060_Mean_cd
1988-10-01 00:00:00+00:00,2.6,A,13214000,2.6,A
1988-10-02 00:00:00+00:00,5.6,A,13214000,5.6,A
1988-10-03 00:00:00+00:00,7.5,A,13214000,7.5,A
1988-10-04 00:00:00+00:00,6.4,A,13214000,6.4,A
1988-10-05 00:00:00+00:00,7.1,A,13214000,7.1,A
1988-10-06 00:00:00+00:00,8.0,A,13214000,8.0,A
1988-10-07 00:00:00+00:00,9.0,"A, e",13214000,9.0,A
1988-10-08 00:00:00+00:00,10.0,"A, e",13214000,10.0,A
1988-10-09 00:00:00+00:00,11.0,"A, e",13214000,11.0,A
1988-10-10 00:00:00+00:00,12.0,"A, e",13214000,12.0,A
1988-10-11 00:00:00+00:00,14.0,"A, e",13214000,14.0,A
1988-10-12 00:00:00+00:00,15.0,"A, e",13214000,15.0,A
1988-10-13 00:00:00+00:00,16.0,"A, e",13214000,16.0,A
1988-10-14 00:00:00+00:00,17.0,"A, e",13214000,17.0,A
1988-10-15 00:00:00+00:00,18.0,"A, e",13214000,18.0,A
1988-10-16 00:00:00+00:00,19.0,"A, e",13214000,19.0,A
1988-10-17 00:00:00+00:00,20.0,"A, e",13214000,20.0,A
1988-10-18 00:00:00+00:00,21.0,A,13214000,21.0,A
1988-10-19 00:00:00+00:00,18.0,A,13214000,18.0,A
1988-10-20 00:00:00+00:00,22.0,A,13214000,22.0,A
1988-10-21 00:00:00+00:00,20.0,A,13214000,20.0,A
1988-10-22 00:00:00+00:00,20.0,A,13214000,20.0,A
1988-10-23 00:00:00+00:00,21.0,A,13214000,21.0,A
1988-10-24 00:00:00+00:00,23.0,A,13214000,23.0,A
1988-10-25 00:00:00+00:00,20.0,A,13214000,20.0,A
1988-10-26 00:00:00+00:00,20.0,A,13214000,20.0,A
1988-10-27 00:00:00+00:00,21.0,A,13214000,21.0,A
1988-10-28 00:00:00+00:00,22.0,A,13214000,22.0,A
1988-10-29 00:00:00+00:00,24.0,A,13214000,24.0,A
