pred,pcs
7237.682005054512,22
5462.0832242866945,22
6873.143065100493,22
2574.8161790640424,22
5604.738286968333,22
6434.712682299118,22
9273.261000112056,22
7234.635746586088,22
6781.164321780448,22
3173.9493687340278,22
5398.709431770729,22
2523.619950672748,22
2069.4683694806986,22
3358.714571954325,22
4034.5651337843074,22
5841.707994452506,22
3670.1743159149596,22
7137.958437040928,22
7031.055291410503,22
8620.698927753825,22
6469.381304155602,22
4424.640266811419,22
3602.4863855883796,22
3157.2312445908924,22
3845.268047884478,22
5671.9711737128055,22
4751.382305324986,22
4751.382305324986,22
4751.382305324986,22
4751.382305324986,22
4751.382305324986,22
4751.382305324986,22
4751.382305324986,22
4751.382305324986,22
4751.316478071905,22
4751.386352363257,22
