date,PREC_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
1987-10-01,0.0,,,0.0
1987-10-02,0.0,,,0.0
1987-10-03,0.0,,,0.0
1987-10-04,0.0,,,0.0
1987-10-05,0.0,,,0.0
1987-10-06,0.0,,,0.0
1987-10-07,0.0,,,0.0
1987-10-08,0.0,,,0.0
1987-10-09,0.0,,,0.0
1987-10-10,0.0,,,0.0
1987-10-11,0.0,,,0.0
1987-10-12,0.0,,,0.0
1987-10-13,0.0,,,0.0
1987-10-14,0.0,,,0.0
1987-10-15,0.1,,,0.0
1987-10-16,0.1,,,0.0
1987-10-17,0.2,,,0.0
1987-10-18,0.2,,,0.0
1987-10-19,0.2,,,0.0
1987-10-20,0.2,,,0.0
1987-10-21,0.2,,,0.0
1987-10-22,0.2,,,0.0
1987-10-23,0.2,,,0.0
1987-10-24,0.4,,,0.0
1987-10-25,0.4,,,0.0
1987-10-26,0.4,,,0.0
1987-10-27,0.4,,,0.0
1987-10-28,0.4,,,0.0
1987-10-29,0.4,,,0.0
1987-10-30,0.4,,,0.0
1987-10-31,0.4,,,0.0
1987-11-01,0.4,,,0.0
1987-11-02,0.9,,,0.2
1987-11-03,0.9,,,0.2
1987-11-04,0.9,,,0.2
1987-11-05,0.9,,,0.2
1987-11-06,1.0,,,0.3
1987-11-07,1.0,,,0.3
1987-11-08,1.0,,,0.3
1987-11-09,1.0,,,0.3
1987-11-10,1.0,,,0.3
1987-11-11,1.0,,,0.3
1987-11-12,1.3,,,0.7
1987-11-13,1.7,,,0.9
1987-11-14,2.1,,,1.6
1987-11-15,2.1,,,1.6
1987-11-16,2.7,,,2.1
1987-11-17,2.8,,,2.2
1987-11-18,2.8,,,2.2
1987-11-19,2.8,,,2.2
1987-11-20,2.8,,,2.2
1987-11-21,2.8,,,2.2
1987-11-22,2.8,,,2.4
1987-11-23,3.0,,,2.6
1987-11-24,3.0,,,2.6
1987-11-25,3.0,,,2.6
1987-11-26,3.0,,,2.6
1987-11-27,3.0,,,2.6
1987-11-28,3.0,,,2.6
1987-11-29,3.0,,,2.6
1987-11-30,3.0,,,2.6
1987-12-01,3.8,,,3.4
1987-12-02,4.7,,,4.2
1987-12-03,4.8,,,4.2
1987-12-04,4.8,,,4.2
1987-12-05,4.8,,,4.3
1987-12-06,5.2,,,4.6
1987-12-07,5.7,,,5.2
1987-12-08,5.9,,,5.4
1987-12-09,6.4,,,5.7
1987-12-10,7.1,,,6.7
1987-12-11,7.2,,,6.9
1987-12-12,7.3,,,7.0
1987-12-13,7.3,,,7.0
1987-12-14,7.3,,,7.0
1987-12-15,7.3,,,7.0
1987-12-16,7.3,,,7.0
1987-12-17,7.4,,,7.0
1987-12-18,7.4,,,7.0
1987-12-19,7.5,,,7.0
1987-12-20,7.6,,,7.2
1987-12-21,7.9,,,7.3
1987-12-22,8.3,,,7.9
1987-12-23,8.3,,,8.0
1987-12-24,8.4,,,8.0
1987-12-25,8.4,,,8.0
1987-12-26,8.4,,,8.0
1987-12-27,8.4,,,8.0
1987-12-28,8.4,,,8.0
1987-12-29,8.5,,,8.1
1987-12-30,8.6,,,8.3
1987-12-31,8.6,,,8.4
1988-01-01,8.7,,,8.6
1988-01-02,8.7,,,8.6
1988-01-03,8.7,,,8.6
1988-01-04,8.8,,,8.6
1988-01-05,8.8,,,8.6
1988-01-06,8.8,,,8.6
1988-01-07,9.0,,,8.7
