date,PREC_DAILY,TAVG_DAILY,WTEQ_DAILY
1987-10-01,0.0,,0.0
1987-10-02,0.0,,0.0
1987-10-03,0.0,,0.0
1987-10-04,0.0,,0.0
1987-10-05,0.0,,0.0
1987-10-06,0.0,,0.0
1987-10-07,0.0,,0.0
1987-10-08,0.0,,0.0
1987-10-09,0.0,,0.0
1987-10-10,0.0,,0.0
1987-10-11,0.0,,0.0
1987-10-12,0.0,,0.0
1987-10-13,0.0,,0.0
1987-10-14,0.0,,0.0
1987-10-15,0.0,,0.0
1987-10-16,0.0,,0.0
1987-10-17,0.0,32.0,0.0
1987-10-18,0.0,,0.0
1987-10-19,0.0,,0.0
1987-10-20,0.0,,0.0
1987-10-21,0.0,,0.0
1987-10-22,0.0,,0.0
1987-10-23,0.0,32.0,0.0
1987-10-24,0.0,,0.0
1987-10-25,0.0,,0.0
1987-10-26,0.0,,0.0
1987-10-27,0.0,,0.0
1987-10-28,0.0,,0.0
1987-10-29,0.0,,0.0
1987-10-30,0.0,,0.0
1987-10-31,0.0,,0.0
1987-11-01,0.0,,0.0
1987-11-02,0.0,,0.0
1987-11-03,0.0,32.0,0.0
1987-11-04,0.0,,0.0
1987-11-05,0.0,,0.0
1987-11-06,0.0,,0.0
1987-11-07,0.0,,0.0
1987-11-08,0.0,32.0,0.0
1987-11-09,0.0,,0.0
1987-11-10,0.1,,0.0
1987-11-11,0.2,32.0,0.0
1987-11-12,0.6,,0.0
1987-11-13,1.2,,0.5
1987-11-14,1.3,,0.5
1987-11-15,1.3,,0.5
1987-11-16,1.6,,0.8
1987-11-17,1.6,,0.8
1987-11-18,1.6,,0.8
1987-11-19,1.6,,0.8
1987-11-20,1.6,,0.8
1987-11-21,1.6,,0.8
1987-11-22,1.8,,1.1
1987-11-23,2.0,,1.2
1987-11-24,2.2,,1.4
1987-11-25,2.2,,1.4
1987-11-26,2.2,,1.4
1987-11-27,2.2,,1.4
1987-11-28,2.2,,1.4
1987-11-29,2.2,,1.5
1987-11-30,2.4,,1.7
1987-12-01,3.9,32.0,3.3
1987-12-02,4.8,,3.8
1987-12-03,4.9,,3.8
1987-12-04,4.9,,3.8
1987-12-05,4.9,,3.8
1987-12-06,5.4,,4.4
1987-12-07,5.6,,4.6
1987-12-08,6.0,,5.0
1987-12-09,6.9,,5.7
1987-12-10,7.3,,5.8
1987-12-11,7.4,,5.8
1987-12-12,7.4,,5.8
1987-12-13,7.4,,5.8
1987-12-14,7.4,,5.8
1987-12-15,7.4,,5.8
1987-12-16,7.4,,5.8
1987-12-17,7.4,,5.8
1987-12-18,7.4,,5.8
1987-12-19,7.4,,5.8
1987-12-20,7.6,,6.0
1987-12-21,8.0,,6.4
1987-12-22,8.1,,6.4
1987-12-23,8.1,,6.4
1987-12-24,8.1,,6.4
1987-12-25,8.1,,6.4
1987-12-26,8.1,,6.5
1987-12-27,8.2,,6.5
1987-12-28,8.2,,6.5
1987-12-29,8.5,,6.8
1987-12-30,8.6,,6.9
1987-12-31,8.6,,6.9
1988-01-01,8.6,,6.9
1988-01-02,8.6,,6.9
1988-01-03,8.7,,7.0
1988-01-04,8.8,,7.2
1988-01-05,8.9,,7.3
1988-01-06,8.9,,7.3
1988-01-07,9.0,,7.4
1988-01-08,9.5,,7.8
1988-01-09,10.3,,8.6
1988-01-10,11.0,,9.3
1988-01-11,11.4,,9.7
1988-01-12,11.4,,9.7
1988-01-13,11.8,,10.1
