date,PREC_DAILY,WTEQ_DAILY
1989-10-01,0.5,0.0
1989-10-02,0.5,0.0
1989-10-03,0.6,0.0
1989-10-04,0.8,0.0
1989-10-05,0.8,0.0
1989-10-06,0.8,0.0
1989-10-07,0.8,0.0
1989-10-08,0.8,0.0
1989-10-09,0.8,0.0
1989-10-10,0.8,0.0
1989-10-11,0.8,0.0
1989-10-12,0.8,0.0
1989-10-13,0.8,0.0
1989-10-14,1.0,0.0
1989-10-15,1.2,0.0
1989-10-16,1.2,0.0
1989-10-17,1.2,0.0
1989-10-18,1.2,0.0
1989-10-19,1.4,0.0
1989-10-20,1.4,0.0
1989-10-21,1.4,0.0
1989-10-22,1.4,0.0
1989-10-23,1.4,0.0
1989-10-24,2.0,0.6
1989-10-25,2.0,0.6
1989-10-26,2.0,0.6
1989-10-27,2.4,1.0
1989-10-28,2.6,1.2
1989-10-29,2.7,1.3
1989-10-30,3.0,1.7
1989-10-31,3.5,1.8
1989-11-01,3.5,2.0
1989-11-02,3.5,2.1
1989-11-03,3.5,2.2
1989-11-04,3.6,2.2
1989-11-05,3.7,2.3
1989-11-06,3.8,2.4
1989-11-07,4.0,2.6
1989-11-08,4.0,2.7
1989-11-09,4.0,2.7
1989-11-10,4.0,2.7
1989-11-11,4.0,2.7
1989-11-12,4.0,2.7
1989-11-13,4.3,2.8
1989-11-14,4.6,2.9
1989-11-15,4.7,3.1
1989-11-16,4.7,3.1
1989-11-17,4.7,3.2
1989-11-18,4.7,3.2
1989-11-19,4.7,3.2
1989-11-20,4.7,3.2
1989-11-21,4.7,3.2
1989-11-22,4.7,3.2
1989-11-23,4.8,3.2
1989-11-24,5.1,3.2
1989-11-25,5.2,3.3
1989-11-26,5.4,3.5
1989-11-27,5.5,3.5
1989-11-28,5.5,3.7
1989-11-29,5.5,3.7
1989-11-30,5.5,3.7
1989-12-01,5.5,3.7
1989-12-02,5.5,3.8
1989-12-03,5.5,3.8
1989-12-04,5.5,3.8
1989-12-05,5.5,3.8
1989-12-06,5.7,3.8
1989-12-07,5.7,3.9
1989-12-08,5.7,3.9
1989-12-09,5.9,3.9
1989-12-10,6.4,4.2
1989-12-11,6.4,4.2
