date,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2020-10-01,0.0,61.5,68.7,58.3,0.0
2020-10-02,0.0,61.2,68.5,56.3,0.0
2020-10-03,0.0,58.5,66.6,51.3,0.0
2020-10-04,0.0,48.6,54.1,41.7,0.0
2020-10-05,0.0,50.4,61.2,40.1,0.0
2020-10-06,0.0,53.6,61.9,49.3,0.0
2020-10-07,0.0,55.8,64.9,50.0,0.0
2020-10-08,0.0,45.3,50.9,41.4,0.0
2020-10-09,0.0,43.2,47.3,40.8,0.0
2020-10-10,3.0,34.2,41.7,30.7,0.4
2020-10-11,7.0,32.5,38.1,29.8,1.2
2020-10-12,3.0,33.4,38.3,30.6,1.0
2020-10-13,13.0,32.4,36.3,29.1,2.2
2020-10-14,12.0,31.8,37.4,29.8,2.5
2020-10-15,11.0,31.6,34.3,28.4,2.5
2020-10-16,6.0,39.9,43.3,33.6,2.1
2020-10-17,6.0,36.5,42.6,31.3,1.9
2020-10-18,6.0,36.7,39.7,31.1,2.1
2020-10-19,5.0,34.2,37.6,30.7,1.9
2020-10-20,6.0,30.9,34.3,28.4,1.9
2020-10-21,10.0,26.6,32.9,22.3,2.1
2020-10-22,9.0,25.5,34.7,21.9,2.0
2020-10-23,14.0,24.3,26.4,20.5,2.9
2020-10-24,13.0,16.0,20.7,10.0,2.8
2020-10-25,13.0,22.3,32.9,8.2,2.9
2020-10-26,11.0,29.7,39.2,22.3,3.2
2020-10-27,11.0,36.5,39.2,33.4,3.2
2020-10-28,9.0,38.1,39.7,36.3,2.7
2020-10-29,7.0,39.7,46.0,36.1,2.4
2020-10-30,12.0,31.6,41.5,27.0,3.2
2020-10-31,11.0,34.0,44.4,26.6,3.3
2020-11-01,10.0,52.0,60.3,42.8,3.2
2020-11-02,8.0,49.6,55.8,46.2,3.0
2020-11-03,7.0,41.5,47.7,34.2,2.9
2020-11-04,4.0,42.1,44.2,40.6,1.9
2020-11-05,11.0,30.7,41.9,25.2,2.2
2020-11-06,10.0,27.3,32.9,23.7,2.3
2020-11-07,9.0,20.5,25.5,16.5,1.9
2020-11-08,9.0,16.5,22.6,12.7,2.3
2020-11-09,11.0,20.5,23.5,15.3,3.0
2020-11-10,32.0,22.8,26.8,20.1,2.7
2020-11-11,34.0,21.6,28.2,17.8,2.8
2020-11-12,29.0,22.6,27.0,17.6,3.7
2020-11-13,31.0,25.5,29.1,22.8,5.6
2020-11-14,44.0,23.2,27.5,21.4,5.9
2020-11-15,52.0,27.1,29.7,25.7,7.0
2020-11-16,53.0,30.0,41.5,26.6,8.2
2020-11-17,50.0,36.9,45.7,30.0,9.3
2020-11-18,59.0,28.8,32.0,26.4,10.5
2020-11-19,60.0,25.0,26.6,22.1,11.2
2020-11-20,60.0,28.2,30.7,25.3,12.0
2020-11-21,56.0,29.3,36.1,23.9,12.2
2020-11-22,52.0,31.1,36.5,27.0,12.4
2020-11-23,49.0,26.2,30.9,24.6,12.6
2020-11-24,56.0,27.9,32.5,22.1,13.3
2020-11-25,54.0,24.4,26.2,22.1,13.6
2020-11-26,52.0,26.2,29.3,24.4,13.7
2020-11-27,53.0,28.6,31.6,27.3,13.9
2020-11-28,51.0,27.1,31.5,24.4,14.0
2020-11-29,50.0,35.4,41.4,27.7,14.1
2020-11-30,56.0,27.7,36.5,22.8,14.8
2020-12-01,55.0,30.6,42.6,21.9,14.8
2020-12-02,53.0,44.8,51.8,40.6,14.9
2020-12-03,51.0,39.9,44.4,36.0,14.8
2020-12-04,51.0,42.1,50.9,34.2,14.9
2020-12-05,50.0,43.3,49.5,36.3,14.9
2020-12-06,48.0,34.3,39.0,31.6,14.9
2020-12-07,46.0,39.6,43.2,33.3,14.9
2020-12-08,44.0,36.1,43.0,31.8,15.0
2020-12-09,44.0,28.2,31.8,24.1,15.1
2020-12-10,45.0,25.7,31.1,23.2,15.2
2020-12-11,47.0,24.3,28.9,21.9,15.2
2020-12-12,46.0,24.3,35.8,19.6,15.3
2020-12-13,49.0,25.9,32.0,20.3,15.6
2020-12-14,51.0,27.1,31.6,24.3,15.8
