date,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2020-10-01,0.0,65.3,72.1,57.2,0.0
2020-10-02,0.0,63.3,72.0,57.9,0.0
2020-10-03,0.0,58.6,67.3,49.3,0.0
2020-10-04,0.0,50.7,59.5,43.0,0.0
2020-10-05,0.0,53.1,62.6,43.0,0.0
2020-10-06,0.0,58.5,68.4,52.9,0.0
2020-10-07,0.0,58.3,66.2,50.0,0.0
2020-10-08,0.0,47.8,50.5,43.9,0.0
2020-10-09,0.0,47.5,55.8,40.6,0.0
2020-10-10,1.0,37.0,45.0,32.2,0.1
2020-10-11,0.0,36.3,43.9,25.5,0.1
2020-10-12,0.0,36.5,40.8,33.4,0.0
2020-10-13,0.0,38.1,45.5,33.3,0.0
2020-10-14,0.0,34.7,39.4,32.7,0.0
2020-10-15,0.0,37.6,46.4,23.9,0.0
2020-10-16,0.0,42.1,45.7,36.7,0.0
2020-10-17,0.0,37.6,42.8,36.0,0.0
2020-10-18,0.0,40.3,45.7,34.7,0.0
2020-10-19,0.0,38.1,40.3,31.6,0.0
2020-10-20,0.0,34.3,36.7,32.9,0.0
2020-10-21,1.0,30.0,33.6,26.4,0.1
2020-10-22,0.0,29.7,36.7,24.4,0.0
2020-10-23,1.0,31.8,38.7,19.2,0.4
2020-10-24,0.0,25.9,33.8,17.4,0.0
2020-10-25,1.0,24.3,34.0,16.0,0.1
2020-10-26,0.0,32.7,38.8,27.7,0.3
2020-10-27,0.0,38.5,45.1,32.4,0.0
2020-10-28,0.0,44.6,52.0,40.1,0.0
2020-10-29,0.0,45.7,51.4,41.0,0.0
2020-10-30,0.0,36.7,46.6,29.1,0.0
2020-10-31,0.0,42.1,50.7,28.6,0.1
2020-11-01,0.0,52.9,58.5,44.4,0.0
2020-11-02,0.0,53.1,59.7,48.4,0.0
2020-11-03,0.0,45.1,49.8,37.8,0.1
2020-11-04,0.0,45.1,46.4,43.9,0.2
2020-11-05,8.0,36.9,45.1,31.5,0.4
2020-11-06,7.0,30.9,33.6,27.3,0.7
2020-11-07,4.0,24.4,27.9,15.6,0.4
2020-11-08,4.0,23.0,30.7,19.0,0.3
2020-11-09,6.0,24.1,26.6,18.3,0.9
2020-11-10,19.0,26.4,29.8,19.6,2.3
2020-11-11,16.0,24.6,27.5,22.6,2.3
2020-11-12,19.0,26.1,29.3,23.0,3.1
2020-11-13,21.0,27.9,30.9,24.6,3.9
2020-11-14,30.0,27.0,30.4,22.5,5.5
2020-11-15,36.0,30.6,32.7,29.1,6.9
2020-11-16,33.0,36.1,47.5,31.3,7.6
2020-11-17,28.0,39.2,49.8,30.4,7.7
2020-11-18,34.0,30.0,31.5,23.9,8.6
2020-11-19,43.0,27.9,30.9,26.1,9.8
2020-11-20,41.0,30.2,33.8,21.7,9.9
2020-11-21,39.0,33.4,47.8,26.4,9.8
2020-11-22,40.0,32.5,37.4,24.6,10.0
2020-11-23,41.0,28.4,30.7,26.4,10.4
2020-11-24,43.0,29.1,32.9,25.7,11.0
2020-11-25,45.0,27.7,31.1,18.1,11.6
2020-11-26,45.0,28.9,32.5,27.3,11.9
2020-11-27,45.0,30.9,36.9,24.8,11.9
2020-11-28,45.0,30.7,32.7,29.3,12.0
2020-11-29,43.0,34.9,38.8,28.9,12.1
2020-11-30,44.0,28.2,36.3,23.9,12.2
2020-12-01,42.0,28.8,35.2,22.3,12.2
2020-12-02,42.0,35.6,42.1,27.3,12.2
2020-12-03,42.0,38.5,42.1,26.6,12.2
2020-12-04,41.0,44.1,50.4,36.3,12.1
2020-12-05,40.0,39.0,42.3,34.9,12.1
2020-12-06,38.0,34.0,37.8,26.6,12.0
2020-12-07,38.0,42.3,47.8,36.1,12.0
2020-12-08,33.0,42.1,45.0,36.7,11.5
2020-12-09,33.0,30.9,36.9,20.1,11.5
2020-12-10,35.0,27.1,30.2,17.2,11.6
2020-12-11,37.0,25.3,31.8,21.6,11.8
2020-12-12,36.0,25.7,31.6,18.9,11.9
2020-12-13,39.0,26.6,29.8,21.7,12.5
2020-12-14,42.0,28.2,30.2,19.9,12.9
2020-12-15,46.0,29.7,32.2,19.4,14.2
2020-12-16,54.0,30.7,32.9,30.0,15.5
2020-12-17,58.0,29.5,33.8,19.2,16.7
2020-12-18,64.0,29.3,30.7,20.8,18.1
2020-12-19,66.0,31.6,33.6,29.8,19.3
2020-12-20,63.0,32.9,33.8,30.2,19.9
2020-12-21,65.0,34.7,38.8,23.7,20.9
2020-12-22,64.0,24.1,27.7,15.1,20.7
2020-12-23,62.0,34.7,44.8,21.4,20.7
2020-12-24,61.0,38.7,45.0,32.7,20.7
2020-12-25,54.0,32.9,39.7,26.4,21.3
2020-12-26,56.0,28.9,31.5,21.7,21.6
2020-12-27,67.0,28.4,32.4,21.6,21.7
2020-12-28,66.0,31.8,45.9,26.1,21.7
2020-12-29,66.0,30.2,33.1,27.7,22.0
2020-12-30,75.0,29.1,30.4,27.9,23.9
2020-12-31,79.0,31.3,33.4,29.7,25.4
2021-01-01,80.0,33.1,36.7,30.7,26.8
2021-01-02,89.0,31.1,31.6,23.0,28.9
2021-01-03,98.0,28.8,31.3,18.7,30.3
2021-01-04,107.0,30.7,33.3,27.5,32.5
2021-01-05,110.0,28.6,30.9,27.1,33.5
2021-01-06,110.0,30.9,33.8,29.3,34.3
2021-01-07,108.0,30.2,34.0,28.0,34.3
2021-01-08,107.0,29.7,33.8,25.7,34.6
2021-01-09,107.0,27.5,35.6,21.0,34.5
2021-01-10,105.0,32.0,33.6,27.7,34.7
2021-01-11,115.0,32.4,33.3,23.9,36.5
2021-01-12,105.0,37.6,41.9,27.9,39.4
2021-01-13,103.0,28.2,41.7,24.6,38.2
2021-01-14,101.0,37.2,42.8,28.0,38.0
2021-01-15,99.0,33.8,38.1,26.8,38.0
2021-01-16,98.0,33.6,40.8,24.1,38.0
2021-01-17,99.0,30.6,34.5,27.7,38.2
2021-01-18,98.0,29.8,34.9,17.6,38.2
2021-01-19,97.0,31.8,37.8,26.2,37.9
2021-01-20,96.0,31.6,35.4,30.4,37.6
2021-01-21,96.0,28.9,31.5,21.0,37.7
2021-01-22,96.0,25.5,30.9,22.3,37.7
2021-01-23,95.0,25.7,32.4,15.1,37.6
2021-01-24,98.0,23.5,25.5,21.6,37.7
2021-01-25,97.0,22.6,28.9,19.0,37.7
2021-01-26,99.0,19.8,21.2,18.7,37.8
2021-01-27,102.0,24.4,32.5,20.5,38.1
2021-01-28,102.0,28.8,34.9,25.7,38.4
2021-01-29,103.0,27.1,30.2,24.6,38.6
2021-01-30,108.0,29.3,31.8,25.0,39.5
2021-01-31,111.0,33.1,33.8,23.9,40.5
2021-02-01,114.0,33.4,34.2,25.9,41.4
2021-02-02,124.0,27.5,31.3,24.6,42.9
2021-02-03,122.0,27.0,33.6,23.5,43.3
2021-02-04,124.0,27.9,31.3,25.0,43.9
2021-02-05,124.0,30.6,37.6,27.0,44.8
2021-02-06,126.0,27.9,32.9,18.5,45.5
2021-02-07,126.0,24.6,30.4,18.0,45.9
2021-02-08,127.0,20.8,31.5,16.2,46.1
2021-02-09,124.0,21.6,37.9,14.5,46.1
2021-02-10,122.0,18.9,23.7,14.9,46.0
2021-02-11,124.0,14.2,20.5,5.9,46.1
2021-02-12,129.0,6.3,12.6,1.6,46.8
2021-02-13,135.0,10.4,19.0,1.6,47.9
2021-02-14,143.0,23.9,28.4,17.4,49.2
2021-02-15,155.0,27.9,30.4,26.4,51.3
2021-02-16,153.0,27.3,34.0,25.5,51.9
2021-02-17,150.0,26.1,35.1,16.5,52.0
2021-02-18,153.0,25.2,28.2,22.5,53.1
2021-02-19,154.0,26.6,30.0,24.8,53.5
2021-02-20,155.0,26.4,34.0,16.2,54.0
2021-02-21,157.0,29.7,33.1,25.5,55.3
2021-02-22,165.0,30.0,33.3,23.2,57.5
2021-02-23,169.0,23.5,26.8,19.4,58.3
2021-02-24,164.0,24.1,32.5,10.8,58.1
2021-02-25,170.0,25.3,29.7,23.2,59.4
2021-02-26,176.0,23.9,27.9,21.7,60.5
2021-02-27,178.0,23.7,28.0,20.3,61.0
2021-02-28,174.0,28.6,33.8,16.5,60.9
2021-03-01,169.0,34.2,40.3,29.8,60.9
2021-03-02,166.0,30.4,33.4,27.3,60.8
2021-03-03,162.0,34.5,42.1,27.1,60.7
2021-03-04,161.0,36.1,42.4,32.0,60.5
2021-03-05,160.0,32.9,38.3,27.3,60.6
2021-03-06,160.0,27.7,33.4,25.7,60.8
2021-03-07,165.0,25.0,29.5,18.5,61.3
2021-03-08,162.0,25.2,35.2,19.0,61.4
2021-03-09,159.0,27.3,36.3,19.2,61.6
2021-03-10,158.0,28.0,37.2,24.8,61.7
2021-03-11,156.0,31.6,43.7,25.2,61.7
2021-03-12,154.0,34.3,46.6,19.6,61.6
2021-03-13,152.0,39.7,46.2,35.6,61.4
2021-03-14,152.0,32.7,37.6,24.4,61.6
2021-03-15,153.0,22.8,28.2,12.4,61.8
2021-03-16,150.0,31.8,41.2,19.8,61.7
2021-03-17,148.0,37.4,45.5,32.9,61.6
2021-03-18,149.0,34.7,42.4,28.0,61.7
2021-03-19,154.0,28.8,32.5,19.4,62.2
2021-03-20,159.0,28.6,35.4,23.7,63.2
2021-03-21,163.0,25.7,29.3,22.8,64.4
2021-03-22,167.0,27.5,36.9,22.6,65.3
2021-03-23,163.0,27.1,38.3,20.8,65.1
2021-03-24,165.0,28.6,33.3,25.7,66.1
2021-03-25,166.0,29.8,37.9,26.4,66.5
2021-03-26,164.0,30.0,35.8,25.9,66.7
2021-03-27,159.0,33.4,38.8,28.2,66.6
2021-03-28,162.0,28.6,36.0,20.5,67.2
2021-03-29,162.0,23.9,30.9,20.3,67.3
2021-03-30,160.0,27.7,38.3,20.3,67.4
2021-03-31,157.0,42.4,51.6,31.6,67.1
2021-04-01,154.0,39.7,46.8,30.7,66.8
2021-04-02,150.0,35.2,44.6,28.6,66.6
2021-04-03,148.0,39.6,47.8,33.4,66.3
2021-04-04,151.0,29.7,34.7,22.5,67.0
2021-04-05,149.0,29.5,41.4,21.6,67.1
2021-04-06,147.0,37.4,48.7,26.4,66.3
2021-04-07,148.0,30.4,34.2,27.9,66.8
2021-04-08,150.0,26.4,34.3,21.9,67.2
2021-04-09,149.0,28.6,37.0,22.8,67.3
