date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,WTEQ_DAILY
2007-10-01,0.0,0.0,46.4,0.0
2007-10-02,0.0,0.0,44.4,0.0
2007-10-03,0.0,0.0,46.0,0.0
2007-10-04,0.0,0.0,49.5,0.0
2007-10-05,0.0,0.0,39.4,0.0
2007-10-06,0.1,0.0,27.1,0.0
2007-10-07,0.1,0.0,33.6,0.0
2007-10-08,0.1,0.0,44.2,0.0
2007-10-09,0.1,0.0,47.1,0.0
2007-10-10,0.1,0.0,45.5,0.0
2007-10-11,0.1,0.0,45.9,0.0
2007-10-12,0.1,0.0,41.9,0.0
2007-10-13,0.2,0.0,37.0,0.0
2007-10-14,0.2,0.0,39.2,0.0
2007-10-15,0.2,0.0,41.0,0.0
2007-10-16,0.2,0.0,37.8,0.0
2007-10-17,0.2,0.0,34.3,0.0
2007-10-18,0.2,0.0,35.8,0.0
2007-10-19,0.2,0.0,45.0,0.0
2007-10-20,0.2,0.0,37.4,0.0
2007-10-21,0.2,0.0,23.7,0.0
2007-10-22,0.3,0.0,36.7,0.0
2007-10-23,0.3,0.0,51.1,0.0
2007-10-24,0.3,0.0,48.4,0.0
2007-10-25,0.3,0.0,47.1,0.0
2007-10-26,0.3,0.0,45.0,0.0
2007-10-27,0.3,0.0,45.5,0.0
2007-10-28,0.3,0.0,46.9,0.0
2007-10-29,0.3,0.0,46.2,0.0
2007-10-30,0.3,0.0,42.6,0.0
2007-10-31,0.3,0.0,38.8,0.0
2007-11-01,0.3,0.0,39.0,0.0
2007-11-02,0.3,0.0,38.5,0.0
2007-11-03,0.3,0.0,41.9,0.0
2007-11-04,0.3,0.0,43.2,0.0
2007-11-05,0.3,0.0,43.9,0.0
2007-11-06,0.3,0.0,44.1,0.0
2007-11-07,0.3,0.0,45.3,0.0
2007-11-08,0.3,0.0,43.0,0.0
2007-11-09,0.3,0.0,42.8,0.0
2007-11-10,0.3,0.0,39.9,0.0
2007-11-11,0.5,0.0,36.5,0.0
2007-11-12,0.5,0.0,36.9,0.0
2007-11-13,0.5,0.0,41.2,0.0
2007-11-14,0.5,0.0,39.4,0.0
2007-11-15,0.5,0.0,39.9,0.0
2007-11-16,0.5,0.0,41.4,0.0
2007-11-17,0.5,0.0,43.2,0.0
2007-11-18,0.5,0.0,43.0,0.0
2007-11-19,0.5,0.0,41.7,0.0
2007-11-20,0.5,0.0,34.5,0.0
2007-11-21,0.5,0.0,26.1,0.0
2007-11-22,0.7,1.0,26.6,0.2
2007-11-23,0.7,1.0,19.4,0.2
2007-11-24,0.7,2.0,30.2,0.2
2007-11-25,0.7,1.0,35.1,0.2
2007-11-26,0.7,0.0,31.6,0.0
2007-11-27,0.7,0.0,30.4,0.0
2007-11-28,0.7,0.0,24.1,0.0
2007-11-29,0.7,0.0,34.7,0.0
2007-11-30,2.3,15.0,30.4,2.0
2007-12-01,3.3,23.0,23.7,3.0
2007-12-02,3.5,21.0,20.8,3.0
2007-12-03,3.6,20.0,39.2,3.2
2007-12-04,3.7,18.0,45.0,3.3
2007-12-05,3.7,16.0,41.4,3.3
2007-12-06,3.7,16.0,34.0,3.3
2007-12-07,6.2,29.0,28.9,6.1
2007-12-08,6.5,32.0,21.6,6.5
2007-12-09,6.6,31.0,17.8,6.6
2007-12-10,6.6,30.0,18.7,6.6
2007-12-11,6.6,29.0,15.4,6.6
2007-12-12,6.6,28.0,18.1,6.6
2007-12-13,6.6,27.0,20.5,6.6
2007-12-14,6.7,27.0,10.6,6.7
2007-12-15,6.9,27.0,23.2,6.9
2007-12-16,6.9,26.0,24.3,6.9
2007-12-17,6.9,27.0,23.0,6.9
2007-12-18,7.0,26.0,24.3,7.0
2007-12-19,7.2,27.0,26.1,7.2
2007-12-20,7.8,35.0,24.6,7.9
2007-12-21,7.8,33.0,8.2,7.9
2007-12-22,7.9,31.0,22.6,8.1
2007-12-23,7.9,29.0,27.7,8.2
2007-12-24,7.9,34.0,32.7,8.3
2007-12-25,8.0,31.0,10.9,8.3
2007-12-26,8.0,32.0,15.4,8.4
2007-12-27,8.0,33.0,2.8,8.6
2007-12-28,8.2,32.0,11.8,8.7
2007-12-29,8.3,33.0,19.6,8.9
2007-12-30,8.3,32.0,25.7,8.9
2007-12-31,8.3,32.0,15.4,8.9
2008-01-01,8.3,31.0,32.5,8.9
2008-01-02,8.4,31.0,30.0,9.0
2008-01-03,8.4,31.0,29.5,9.0
2008-01-04,8.9,36.0,28.4,9.8
2008-01-05,11.5,48.0,28.4,12.8
2008-01-06,12.3,54.0,23.4,13.7
2008-01-07,12.3,52.0,19.0,13.7
2008-01-08,12.4,51.0,21.0,13.8
2008-01-09,12.4,51.0,20.8,13.8
2008-01-10,12.4,50.0,28.0,13.8
2008-01-11,12.4,49.0,25.9,13.8
2008-01-12,12.4,48.0,26.4,13.8
2008-01-13,12.4,48.0,21.9,13.8
2008-01-14,12.4,47.0,30.2,13.8
2008-01-15,12.4,47.0,26.1,13.8
2008-01-16,12.4,46.0,3.6,13.8
2008-01-17,12.4,46.0,15.1,13.8
2008-01-18,12.5,45.0,17.8,13.8
2008-01-19,12.5,46.0,25.2,13.8
2008-01-20,12.5,45.0,21.4,13.8
2008-01-21,12.6,47.0,18.1,13.9
2008-01-22,12.6,49.0,19.0,14.0
2008-01-23,12.8,47.0,19.6,14.1
2008-01-24,13.6,57.0,19.4,15.2
2008-01-25,13.7,55.0,19.0,15.2
2008-01-26,13.7,54.0,21.0,15.2
2008-01-27,15.6,66.0,26.6,17.6
2008-01-28,17.0,74.0,16.0,19.3
2008-01-29,17.0,71.0,12.4,19.3
2008-01-30,17.0,70.0,9.5,19.3
2008-01-31,17.1,68.0,16.5,19.4
2008-02-01,17.1,68.0,19.6,19.5
2008-02-02,17.2,68.0,19.2,19.6
