date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2007-10-01,0.3,35.8,45.0,22.6,0.2
2007-10-02,0.3,38.8,53.6,20.7,0.0
2007-10-03,0.3,42.3,51.8,29.1,0.0
2007-10-04,0.8,38.3,50.5,30.0,0.4
2007-10-05,1.3,29.3,36.1,25.5,0.8
2007-10-06,1.5,26.2,30.6,19.9,1.0
2007-10-07,1.6,36.1,51.3,27.5,0.9
2007-10-08,1.7,44.8,57.0,31.5,0.5
2007-10-09,1.7,50.9,60.3,41.4,0.2
2007-10-10,1.7,40.6,50.4,24.6,0.0
2007-10-11,1.7,37.9,53.8,21.2,0.0
2007-10-12,1.7,40.6,49.1,34.3,0.0
2007-10-13,1.8,34.2,39.9,28.9,0.0
2007-10-14,1.8,38.5,54.3,27.9,0.0
2007-10-15,1.9,43.3,55.6,33.6,0.0
2007-10-16,2.0,36.9,42.6,30.9,0.0
2007-10-17,2.3,27.5,31.1,23.0,0.5
2007-10-18,2.5,30.6,40.6,16.2,0.7
2007-10-19,3.1,44.1,51.6,37.2,0.1
2007-10-20,3.7,26.6,39.9,22.8,0.7
2007-10-21,3.7,25.5,37.4,18.1,0.7
2007-10-22,4.0,32.0,51.3,18.7,0.9
2007-10-23,4.0,41.7,59.5,30.2,0.8
2007-10-24,4.0,47.8,63.3,34.9,0.2
2007-10-25,4.0,46.0,59.0,29.1,0.0
2007-10-26,4.0,34.3,45.7,26.8,0.0
2007-10-27,4.0,40.5,58.3,30.7,0.0
2007-10-28,4.0,41.9,54.9,32.4,0.0
2007-10-29,4.3,43.9,56.5,36.5,0.0
2007-10-30,4.7,33.3,37.9,19.9,0.0
2007-10-31,4.7,28.0,46.4,17.4,0.0
2007-11-01,4.7,31.6,43.5,22.5,0.0
2007-11-02,4.7,30.2,46.8,19.6,0.0
2007-11-03,4.7,33.4,52.2,23.0,0.0
2007-11-04,4.7,38.3,55.6,28.6,0.0
2007-11-05,4.7,37.6,55.6,28.6,0.0
2007-11-06,4.7,37.8,55.4,27.9,0.0
2007-11-07,4.7,39.7,56.7,29.5,0.0
2007-11-08,4.8,43.5,56.8,33.8,0.0
2007-11-09,4.8,43.5,49.6,35.8,0.0
2007-11-10,4.9,38.3,47.3,31.8,0.1
2007-11-11,5.0,27.7,34.9,14.0,0.3
2007-11-12,5.4,31.5,41.4,13.5,0.7
2007-11-13,5.4,31.8,42.3,15.3,0.6
2007-11-14,5.6,28.9,42.4,13.5,0.6
2007-11-15,5.7,43.0,51.3,32.7,0.6
2007-11-16,5.7,41.5,48.0,36.5,0.4
2007-11-17,5.7,41.2,45.7,36.1,0.2
2007-11-18,5.7,43.7,49.5,39.9,0.2
2007-11-19,5.7,35.1,46.8,21.6,0.2
2007-11-20,5.7,18.5,23.0,10.9,0.2
2007-11-21,5.7,15.8,33.4,2.7,0.2
2007-11-22,5.7,18.9,32.9,9.3,0.2
2007-11-23,5.7,18.3,34.0,7.0,0.2
2007-11-24,5.8,27.0,44.1,14.5,0.3
2007-11-25,5.8,30.4,43.5,19.9,0.3
2007-11-26,5.9,28.2,40.3,14.9,0.4
2007-11-27,6.0,22.8,34.3,14.7,0.5
2007-11-28,6.1,17.2,29.5,1.6,0.6
2007-11-29,6.1,19.6,30.0,7.7,0.6
2007-11-30,6.1,17.1,27.0,8.2,0.6
2007-12-01,6.1,14.7,22.3,4.5,0.6
2007-12-02,6.3,23.9,34.3,14.4,0.8
2007-12-03,6.3,42.3,48.9,33.4,0.8
2007-12-04,6.3,38.7,45.9,26.1,0.8
2007-12-05,6.3,30.2,38.3,24.4,0.8
2007-12-06,6.6,29.1,32.4,27.0,1.1
2007-12-07,6.7,26.4,33.1,21.4,1.2
2007-12-08,6.7,18.9,22.1,15.8,1.2
2007-12-09,6.7,17.4,24.3,7.9,1.2
