"ID","Station Name","River Basin","County","Longitude","Latitude","ElevationFeet","Operator","Map"
"3LK","THREE LAKES","FEATHER RIVER","PLUMAS","-121.213100","39.973040","6,264","Pacific Gas and Electric Company, Rogers Flat",""
"49M","49 MOUNTAIN","SURPRISE VALLEY","MODOC","-119.867000","41.525000","6,000","Natural Resources Conservation Service",""
"7UP","SEVEN UP","TRINITY RIVER","TRINITY","-122.883000","40.958000","7,400",".None Specified",""
"ABN","LAKE AUDRAIN","AMERICAN RIVER","EL DORADO","-120.039320","38.819830","7,300","Placerville Ranger District",""
"ABY","ABBEY","FEATHER RIVER","PLUMAS","-120.538000","39.955000","5,650","CA Dept of Water Resources/Beckwourth",""
"ADI","ADIN MOUNTAIN","PIT RIVER","MODOC","-120.793000","41.237000","6,200","Big Valley Ranger District",""
"ADM","ADIN MOUNTAIN","PIT RIVER","MODOC","-120.792000","41.237000","6,200","Natural Resources Conservation Service",""
"AGP","AGNEW PASS","SAN JOAQUIN RIVER","MADERA","-119.141731","37.726631","9,450","US Bureau of Reclamation",""
"ALI","LAKE ALPINE","STANISLAUS RIVER","ALPINE","-120.013000","38.480000","7,550",".None Specified",""
"ANR","ANTELOPE RIDGE","FEATHER RIVER","PLUMAS","-120.542000","40.155000","5,650","CA Dept of Water Resources/Beckwourth",""
"APH","ALPHA","AMERICAN RIVER","EL DORADO","-120.215645","38.804138","7,600","CA Dept of Water Resources",""
"ASH","ASH CREEK","MC CLOUD RIVER","SISKIYOU","-122.050000","41.400000","5,000","McCloud Ranger District",""
"ATP","ANTHONY PEAK","STONY CREEK","TEHAMA","-122.950000","39.842000","6,200","Covelo Ranger District",""
"ATS","ANTELOPE SPRINGS","MOKELUMNE RIVER","AMADOR","-120.467000","38.503000","4,350","Amador Ranger District",""
"BBS","BEAR BASIN","TRINITY RIVER","TRINITY","-122.867000","40.967000","6,500","Weaverville Ranger District",""
"BC2","BOCA 2","TRUCKEE RIVER","NEVADA","-120.092000","39.375000","5,900",".None Specified",""
"BCB","BLACKCAP BASIN","KINGS RIVER","FRESNO","-118.773010","37.066685","10,300","CA Dept of Water Resources/DFM-Hydro-SMN",""
"BCH","BEACH MEADOWS","KERN RIVER","TULARE","-118.293457","36.126095","7,650","CA Dept of Water Resources/DFM-Hydro-SMN",""
"BCP","BROWNS CAMP","FEATHER RIVER","PLUMAS","-121.257630","39.897910","5,543","Pacific Gas and Electric Company, Rogers Flat",""
"BCY","BUCKEYE ROUGHS","WALKER RIVER","MONO","-119.442000","38.188000","7,900",".None Specified",""
"BDF","BADGER FLAT","SAN JOAQUIN RIVER","FRESNO","-119.108000","37.265000","8,300","Southern California Edison Company, Big Creek",""
"BEG","BEAR RIDGE","KINGS RIVER","FRESNO","-119.087000","37.037000","7,400",".None Specified",""
"BEM","BELL MEADOW","TUOLUMNE RIVER","TUOLUMNE","-119.942000","38.167000","6,500","Summit Ranger District",""
"BFL","BIG FLAT","TRINITY RIVER","TRINITY","-122.942230","41.077599","5,100","US Bureau of Reclamation",""
"BFT","BIG FLAT (COURSE)","TRINITY RIVER","TRINITY","-122.938000","41.077000","5,100","Weaverville Ranger District",""
"BGH","BIGHORN PLATEAU","KERN RIVER","TULARE","-118.377000","36.615000","11,350","CA Dept of Water Resources",""
"BGM","BIG MEADOW","STANISLAUS RIVER","CALAVERAS","-120.113000","38.417000","6,550",".None Specified",""
"BGP","BIG PINE CREEK","OWENS RIVER","INYO","-118.476967","37.127815","9,800","CA Dept of Water Resources/DFM-Hydro-SMN",""
"BHM","BEACH MEADOWS","KERN RIVER","TULARE","-118.293000","36.122000","7,650","Kern River Ranger District",""
"BHV","BEEHIVE MEADOW","TUOLUMNE RIVER","TUOLUMNE","-119.780000","37.995000","6,500","Yosemite National Park",""
"BID","MOUNT BIDWELL","SURPRISE VALLEY","MODOC","-120.185000","41.965000","7,200","Natural Resources Conservation Service",""
"BIM","BIG MEADOWS (DWR)","KINGS RIVER","TULARE","-118.843773","36.715225","7,600","CA Dept of Water Resources/DFM-Hydro-SMN",""
"BIP","BISHOP PARK","OWENS RIVER","INYO","-118.597000","37.238000","8,400",".None Specified",""
"BKH","BUCKHORN","MOJAVE DESERT","LOS ANGELES","-117.918000","34.342000","7,100",".None Specified",""
"BKY","BUCKEYE FORKS","WALKER RIVER","MONO","-119.483000","38.170000","8,500",".None Specified",""
"BLA","BLACKS MOUNTAIN","PIT RIVER","LASSEN","-121.199783","40.769840","7,050","CA Dept of Water Resources/DFM-Hydro-SMN",""
"BLC","BLUE CANYON","AMERICAN RIVER","PLACER","-120.708694","39.280098","5,280","US Bureau of Reclamation",""
"BLD","BLOODS CREEK","STANISLAUS RIVER","ALPINE","-120.034882","38.451256","7,200","US Bureau of Reclamation",""
"BLF","BULLFROG LAKE","KINGS RIVER","FRESNO","-118.398000","36.770000","10,650","CA Dept of Water Resources",""
"BLK","BLUE LAKES","MOKELUMNE RIVER","ALPINE","-119.931000","38.613000","8,000","Natural Resources Conservation Service",""
"BLS","BLACK SPRINGS","STANISLAUS RIVER","CALAVERAS","-120.195000","38.375881","6,500","US Bureau of Reclamation",""
"BLU","BLUE LAKE RANCH","PIT RIVER","LASSEN","-120.250000","41.150000","6,800","Warner Mountain Ranger District",""
"BMD","BEARD MEADOW","KINGS RIVER","FRESNO","-118.837000","37.113000","9,800","Pacific Gas and Electric Company, Auberry",""
"BMN","BLACKS MOUNTAIN","PIT RIVER","LASSEN","-121.195000","40.762000","6,700","Hat Creek Ranger District",""
"BMS","BIG MEADOWS","KINGS RIVER","TULARE","-118.848558","36.715311","7,619","Kings River Water Association",""
"BNH","BENCH LAKE","KINGS RIVER","FRESNO","-118.445000","36.958000","10,600","Kings River Water Association",""
"BNK","BONANZA KING","TRINITY RIVER","TRINITY","-122.631271","41.083118","6,450","US Bureau of Reclamation",""
"BNM","BONITA MEADOWS","KERN RIVER","TULARE","-118.328000","36.038000","8,300","Kern River Ranger District",""
"BNP","BOND PASS","TUOLUMNE RIVER","TUOLUMNE","-119.623000","38.178000","9,300","Summit Ranger District",""
"BNS","BURNEY SPRINGS","PIT RIVER","SHASTA","-121.617000","40.780000","4,700","Hat Creek Ranger District",""
"BOM","BOWMAN LAKE","YUBA RIVER","NEVADA","-120.600000","39.458000","5,650","Nevada Irrigation District",""
