date,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
1992-05-05,,,,0.0
1992-05-06,,,,0.0
1992-05-07,,,,0.0
1992-05-08,56.1,66.0,38.3,0.0
1992-05-09,42.4,52.5,33.8,0.0
1992-05-10,46.4,59.0,33.1,0.0
1992-05-11,45.3,54.7,32.5,0.0
1992-05-12,47.5,59.9,30.6,0.0
1992-05-13,56.1,68.7,41.4,0.0
1992-05-14,57.2,75.4,39.7,0.0
1992-05-15,56.3,67.5,45.9,0.0
1992-05-16,53.2,67.3,38.5,0.0
1992-05-17,59.4,79.3,39.9,0.0
1992-05-18,60.8,74.1,45.9,0.0
1992-05-19,58.5,73.2,43.9,0.0
1992-05-20,48.7,58.5,36.3,0.0
1992-05-21,48.7,61.2,36.9,0.0
1992-05-22,52.0,69.6,33.6,0.0
1992-05-23,59.2,74.7,40.1,0.0
1992-05-24,63.7,78.8,45.9,0.0
1992-05-25,63.1,79.5,46.8,0.0
1992-05-26,57.4,65.5,47.5,0.0
1992-05-27,53.8,65.7,39.6,0.0
1992-05-28,56.1,70.0,40.8,0.0
1992-05-29,56.7,68.5,40.5,0.0
1992-05-30,56.8,68.0,42.4,0.0
1992-05-31,58.6,72.3,41.5,0.0
1992-06-01,61.5,78.4,43.9,0.0
1992-06-02,63.7,74.7,47.5,0.0
1992-06-03,57.9,70.9,41.4,0.0
1992-06-04,57.7,70.0,43.0,0.0
1992-06-05,53.2,67.3,37.0,0.0
1992-06-06,54.3,69.3,37.4,0.0
1992-06-07,59.5,74.1,41.2,0.0
1992-06-08,62.4,77.9,46.9,0.0
1992-06-09,64.0,81.5,46.9,0.0
1992-06-10,64.8,78.8,48.6,0.0
1992-06-11,66.9,79.3,48.2,0.0
1992-06-12,48.9,69.4,31.6,0.0
1992-06-13,40.6,53.2,31.6,0.0
1992-06-14,42.1,54.9,29.3,0.0
1992-06-15,41.4,46.4,38.1,0.0
1992-06-16,43.5,48.6,39.4,0.0
1992-06-17,52.9,68.0,38.8,0.0
1992-06-18,54.7,70.3,42.8,0.0
1992-06-19,55.2,72.3,43.3,0.0
1992-06-20,61.2,78.1,43.2,0.0
1992-06-21,67.1,83.3,47.3,0.0
1992-06-22,70.2,84.7,52.2,0.0
1992-06-23,71.8,86.7,54.7,0.0
1992-06-24,69.3,88.5,55.2,0.0
1992-06-25,56.7,76.8,45.7,0.0
1992-06-26,58.6,75.4,44.4,0.0
1992-06-27,64.2,78.6,50.2,0.0
1992-06-28,65.5,82.4,49.3,0.0
1992-06-29,50.7,60.3,40.8,0.0
1992-06-30,45.5,55.2,37.0,0.0
1992-07-01,50.2,64.8,35.8,0.0
1992-07-02,54.0,68.4,36.1,0.0
1992-07-03,58.8,76.3,42.3,0.0
1992-07-04,62.2,75.0,48.0,0.0
1992-07-05,62.1,74.8,45.9,0.0
1992-07-06,58.5,70.2,46.0,0.0
1992-07-07,54.0,65.3,39.9,0.0
1992-07-08,57.9,72.0,42.1,0.0
1992-07-09,57.4,69.6,43.5,0.0
1992-07-10,60.4,73.2,44.8,0.0
1992-07-11,55.0,63.3,48.4,0.0
1992-07-12,56.5,68.4,39.7,0.0
1992-07-13,62.1,76.1,44.6,0.0
1992-07-14,63.7,74.3,52.2,0.0
1992-07-15,62.8,75.2,48.9,0.0
1992-07-16,65.7,80.1,46.6,0.0
1992-07-17,68.5,84.4,48.7,0.0
1992-07-18,70.9,85.1,53.8,0.0
1992-07-19,68.5,81.7,53.8,0.0
1992-07-20,61.7,79.7,49.1,0.0
1992-07-21,59.0,73.4,44.8,0.0
