date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
1991-10-01,0.0,45.7,60.4,34.0,0.0
1991-10-02,0.0,44.8,59.0,33.8,0.0
1991-10-03,0.0,42.4,55.0,26.2,0.0
1991-10-04,0.0,23.5,35.4,12.0,0.0
1991-10-05,0.0,30.4,48.4,12.0,0.0
1991-10-06,0.0,38.1,58.8,24.6,0.0
1991-10-07,0.0,43.7,61.9,28.8,0.0
1991-10-08,0.0,40.8,60.3,26.8,0.0
1991-10-09,0.1,37.9,60.3,23.2,0.0
1991-10-10,0.1,43.9,64.0,26.4,0.0
1991-10-11,0.1,42.8,67.1,28.6,0.0
1991-10-12,0.1,45.1,63.3,27.5,0.0
1991-10-13,0.1,39.6,53.1,25.2,0.0
1991-10-14,0.1,40.5,53.6,25.5,0.0
1991-10-15,0.1,46.0,61.3,35.2,0.0
1991-10-16,0.1,50.0,64.2,39.9,0.0
1991-10-17,0.1,46.9,59.2,32.4,0.0
1991-10-18,0.1,37.8,51.6,26.1,0.0
1991-10-19,0.1,35.4,48.7,25.5,0.0
1991-10-20,0.1,34.9,54.1,21.7,0.0
1991-10-21,0.1,40.1,52.0,32.2,0.0
1991-10-22,0.1,41.4,54.0,35.6,0.0
1991-10-23,0.3,34.9,45.7,24.8,0.0
1991-10-24,0.3,24.3,30.0,19.9,0.0
1991-10-25,0.5,25.9,33.3,19.0,0.0
1991-10-26,0.5,33.1,42.3,25.7,0.0
1991-10-27,0.5,34.7,48.0,22.6,0.0
1991-10-28,0.6,5.5,19.4,-0.2,0.1
1991-10-29,0.8,6.8,19.8,-1.1,0.2
1991-10-30,0.8,4.1,22.3,-4.2,0.3
1991-10-31,0.8,11.7,27.7,-4.0,0.3
1991-11-01,1.1,3.2,17.4,-11.9,0.3
1991-11-02,1.1,-6.2,2.8,-15.7,0.2
1991-11-03,1.2,7.0,16.3,-6.2,0.1
1991-11-04,1.5,20.5,29.7,10.6,0.4
1991-11-05,1.7,27.0,31.6,23.7,0.7
1991-11-06,2.3,27.9,32.5,22.3,1.2
1991-11-07,2.4,23.7,32.4,19.4,1.4
1991-11-08,2.4,32.0,42.8,21.6,1.4
1991-11-09,2.7,33.6,46.2,27.3,1.8
1991-11-10,2.8,31.1,37.0,25.5,1.8
1991-11-11,2.8,24.6,40.3,12.7,2.1
1991-11-12,2.8,33.1,43.5,26.1,2.1
1991-11-13,2.8,33.3,46.0,22.5,2.0
1991-11-14,3.1,27.0,39.4,19.0,2.3
1991-11-15,3.2,17.4,23.4,12.7,2.5
1991-11-16,3.2,24.1,31.1,14.2,2.6
1991-11-17,3.2,23.4,31.6,18.5,2.7
1991-11-18,3.4,20.8,27.1,16.7,2.9
1991-11-19,3.5,14.4,21.9,10.4,3.1
1991-11-20,3.6,21.9,30.6,11.8,3.3
1991-11-21,3.8,17.6,24.3,4.8,3.3
1991-11-22,3.9,5.0,14.2,-1.7,3.4
1991-11-23,3.9,4.5,12.9,-1.7,3.6
1991-11-24,4.1,16.2,22.1,7.5,3.7
1991-11-25,4.3,21.6,24.3,17.1,4.0
1991-11-26,4.5,23.9,27.0,21.0,4.2
1991-11-27,4.5,27.1,33.1,22.5,4.3
1991-11-28,4.5,22.1,30.4,12.6,4.3
1991-11-29,4.7,5.0,12.9,-4.4,4.3
1991-11-30,4.7,-4.0,14.9,-18.8,4.3
1991-12-01,4.9,-3.5,18.7,-23.4,4.5
1991-12-02,5.0,6.1,13.3,1.0,4.5
1991-12-03,5.0,11.3,17.4,3.7,4.5
1991-12-04,5.0,22.6,32.0,16.9,4.5
1991-12-05,5.0,24.6,34.2,18.9,4.5
1991-12-06,5.1,30.0,37.6,23.9,4.5
1991-12-07,5.1,29.8,38.5,22.6,4.5
1991-12-08,5.1,19.2,25.5,12.9,4.5
1991-12-09,5.1,19.6,28.0,12.6,4.6
1991-12-10,5.2,20.7,31.5,11.5,4.7
1991-12-11,5.2,22.6,30.4,13.3,4.7
1991-12-12,5.4,14.5,20.3,8.1,4.7
1991-12-13,5.5,9.1,15.8,1.9,4.9
1991-12-14,5.6,14.2,23.5,6.4,4.9
1991-12-15,5.6,20.8,30.2,13.6,5.0
1991-12-16,5.6,22.3,36.1,7.2,5.0
1991-12-17,5.6,22.3,39.2,5.5,5.0
1991-12-18,5.7,24.3,33.8,7.0,5.0
1991-12-19,5.8,21.2,30.7,7.5,5.0
1991-12-20,5.8,20.3,30.9,11.1,5.0
1991-12-21,5.8,23.9,36.3,7.2,5.0
1991-12-22,5.8,19.0,29.7,3.2,5.1
1991-12-23,5.8,15.8,31.3,-0.8,5.1
1991-12-24,5.8,14.4,34.3,-2.6,5.1
1991-12-25,5.8,13.6,32.5,1.6,5.1
1991-12-26,5.8,10.0,32.9,-0.6,5.1
1991-12-27,5.8,15.6,31.5,0.5,5.1
1991-12-28,5.8,21.4,32.4,13.3,5.1
1991-12-29,5.8,17.2,25.2,10.6,5.1
1991-12-30,5.8,16.5,34.3,2.8,5.1
1991-12-31,5.8,12.6,24.3,6.4,5.4
