date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2019-10-01,0.0,0.0,46.6,57.7,38.1,0.0
2019-10-02,0.0,0.0,43.2,,32.5,0.0
2019-10-03,0.0,0.0,47.8,59.4,36.0,0.0
2019-10-04,0.0,0.0,45.7,54.0,39.4,0.0
2019-10-05,0.0,0.0,42.8,57.4,31.6,0.0
2019-10-06,0.0,0.0,39.6,49.3,32.2,0.0
2019-10-07,0.0,0.0,44.4,57.7,33.6,0.0
2019-10-08,0.0,0.0,44.4,57.7,35.6,0.0
2019-10-09,0.0,0.0,44.2,55.6,36.7,0.0
2019-10-10,0.0,0.0,23.9,38.5,10.9,0.0
2019-10-11,0.0,0.0,27.3,,11.5,0.0
2019-10-12,0.0,0.0,36.1,49.3,26.1,0.0
2019-10-13,0.1,0.0,39.4,51.3,27.9,0.0
2019-10-14,0.1,0.0,39.9,52.0,31.3,0.0
2019-10-15,0.1,0.0,40.1,52.0,30.6,0.0
2019-10-16,0.1,0.0,46.0,,35.8,0.0
2019-10-17,0.1,0.0,45.7,57.4,38.5,0.0
2019-10-18,0.1,0.0,33.8,45.0,24.3,0.0
2019-10-19,0.1,0.0,33.8,,23.4,0.0
2019-10-20,0.1,0.0,20.8,33.1,14.5,0.0
2019-10-21,0.1,0.0,21.0,29.5,12.6,0.0
2019-10-22,0.3,2.0,31.3,44.8,19.6,0.2
2019-10-23,0.3,2.0,32.5,,21.0,0.2
2019-10-24,0.5,4.0,19.8,54.7,,0.4
2019-10-25,0.6,2.0,35.6,47.5,20.8,0.6
2019-10-26,0.6,1.0,41.0,51.8,31.3,0.4
2019-10-27,0.6,1.0,38.1,43.3,31.8,0.2
2019-10-28,0.9,4.0,20.1,32.0,10.9,0.4
2019-10-29,0.9,4.0,19.4,,6.1,0.4
2019-10-30,1.0,5.0,6.4,28.8,-7.2,0.5
2019-10-31,1.2,3.0,30.2,,16.0,0.7
2019-11-01,1.2,3.0,28.0,37.4,18.7,0.7
2019-11-02,1.2,3.0,32.5,44.1,21.6,0.7
2019-11-03,1.2,1.0,36.1,45.1,26.2,0.7
2019-11-04,1.2,1.0,34.2,43.5,27.9,0.7
2019-11-05,1.2,1.0,34.9,45.7,24.8,0.7
2019-11-06,1.2,1.0,35.2,45.3,27.5,0.7
2019-11-07,1.2,1.0,34.3,44.6,27.1,0.7
2019-11-08,1.2,1.0,36.3,46.2,27.7,0.6
2019-11-09,1.2,1.0,42.1,53.8,33.8,0.6
2019-11-10,1.2,1.0,38.5,48.6,29.7,0.4
2019-11-11,1.2,1.0,30.0,38.1,22.6,0.3
2019-11-12,1.2,1.0,31.3,41.7,21.0,0.3
2019-11-13,1.2,1.0,33.6,43.2,26.4,0.3
2019-11-14,1.2,1.0,34.3,44.6,24.8,0.3
2019-11-15,1.2,1.0,38.8,49.3,30.9,0.3
2019-11-16,1.2,1.0,34.2,43.9,26.1,0.2
2019-11-17,1.2,1.0,34.7,45.3,25.2,0.2
2019-11-18,1.2,1.0,36.9,46.4,30.9,0.2
2019-11-19,1.2,1.0,37.2,50.7,30.7,0.2
2019-11-20,1.3,1.0,32.9,39.7,27.1,0.3
2019-11-21,1.4,1.0,26.6,30.7,21.9,0.4
2019-11-22,1.4,1.0,21.9,27.7,8.6,0.4
2019-11-23,1.4,1.0,28.6,41.2,14.4,0.4
2019-11-24,1.5,1.0,30.7,40.5,21.6,0.4
2019-11-25,1.6,4.0,27.3,38.5,19.0,0.6
2019-11-26,1.6,5.0,8.2,19.0,0.3,0.6
2019-11-27,1.8,3.0,17.1,25.3,1.2,0.7
2019-11-28,1.9,3.0,27.3,35.4,23.9,0.8
2019-11-29,3.2,16.0,20.1,29.1,6.1,2.1
2019-11-30,3.2,13.0,8.6,13.3,4.5,2.1
2019-12-01,3.2,11.0,25.7,34.7,10.8,2.1
2019-12-02,3.2,10.0,32.2,43.0,23.5,2.1
2019-12-03,3.2,10.0,28.2,34.2,23.4,2.1
2019-12-04,3.2,9.0,29.7,37.9,24.6,2.1
2019-12-05,3.2,9.0,25.0,32.4,17.4,2.1
2019-12-06,3.2,9.0,27.0,36.5,18.3,2.1
2019-12-07,3.2,9.0,31.8,40.3,25.0,2.1
2019-12-08,3.2,10.0,27.1,33.1,17.8,2.1
2019-12-09,3.2,10.0,18.5,25.9,12.9,2.1
2019-12-10,3.2,10.0,22.1,29.7,9.9,2.1
2019-12-11,3.3,9.0,26.2,37.6,17.4,2.2
2019-12-12,3.4,9.0,25.0,34.2,16.5,2.3
2019-12-13,3.6,11.0,23.7,27.9,19.4,2.5
2019-12-14,3.8,13.0,24.1,32.0,16.0,2.7
2019-12-15,4.1,18.0,15.4,23.4,8.1,3.1
2019-12-16,4.1,18.0,3.6,11.7,-2.7,3.1
2019-12-17,4.1,16.0,12.6,22.3,-2.9,3.1
2019-12-18,4.1,15.0,26.4,36.3,18.9,3.1
2019-12-19,4.1,15.0,20.1,34.3,14.0,3.1
2019-12-20,4.1,14.0,23.9,33.4,13.5,3.1
2019-12-21,4.1,14.0,32.9,42.1,23.9,3.1
2019-12-22,4.1,13.0,37.2,46.9,30.9,3.2
2019-12-23,4.1,13.0,33.4,42.4,26.6,3.2
2019-12-24,4.1,13.0,27.3,37.9,22.8,3.2
2019-12-25,4.1,14.0,20.3,26.8,11.8,3.2
2019-12-26,4.1,14.0,16.5,26.2,9.5,3.2
2019-12-27,4.3,18.0,19.4,25.7,12.9,3.4
2019-12-28,4.3,18.0,11.1,20.7,1.2,3.4
2019-12-29,4.3,18.0,2.1,11.3,-3.3,3.4
2019-12-30,4.3,17.0,6.1,16.2,-2.9,3.4
2019-12-31,4.4,17.0,21.6,38.1,8.8,3.5
2020-01-01,4.5,17.0,21.7,35.1,13.6,3.6
2020-01-02,4.5,17.0,13.8,21.0,8.1,3.6
2020-01-03,4.5,16.0,19.0,26.8,8.2,3.6
2020-01-04,4.5,16.0,30.6,41.5,20.8,3.6
2020-01-05,4.5,16.0,25.0,39.0,11.5,3.6
2020-01-06,4.5,16.0,15.6,22.3,7.0,3.6
2020-01-07,4.5,16.0,25.0,35.1,15.8,3.6
2020-01-08,4.5,16.0,24.8,37.0,13.6,3.6
2020-01-09,4.5,17.0,15.1,25.7,6.4,3.6
2020-01-10,4.5,17.0,10.4,19.0,4.6,3.6
2020-01-11,4.5,17.0,17.2,30.4,9.1,3.6
2020-01-12,4.5,17.0,12.2,22.6,5.9,3.6
2020-01-13,4.6,17.0,18.5,25.5,12.4,3.7
2020-01-14,4.6,16.0,25.2,31.8,18.0,3.7
2020-01-15,4.6,16.0,25.2,34.9,18.0,3.7
2020-01-16,4.6,16.0,25.2,35.8,19.6,3.7
2020-01-17,4.6,17.0,17.6,27.0,5.2,3.7
2020-01-18,4.6,17.0,20.7,32.4,5.4,3.7
2020-01-19,4.6,18.0,25.2,34.3,17.8,3.7
2020-01-20,4.8,18.0,28.2,39.7,19.8,3.9
2020-01-21,4.8,17.0,27.5,37.0,23.0,3.9
2020-01-22,4.8,18.0,21.2,28.4,17.8,3.9
2020-01-23,4.8,18.0,19.9,26.6,14.5,3.9
2020-01-24,4.8,17.0,23.2,36.7,12.2,3.9
2020-01-25,4.8,16.0,24.1,31.3,18.3,3.9
2020-01-26,4.8,17.0,28.8,39.0,21.6,3.9
2020-01-27,4.8,18.0,21.2,31.3,10.4,3.9
2020-01-28,4.8,18.0,19.8,30.9,8.4,3.9
2020-01-29,4.8,18.0,18.7,28.9,10.9,3.9
2020-01-30,4.8,18.0,14.9,25.9,7.5,3.9
2020-01-31,4.9,17.0,19.2,29.3,6.6,4.0
2020-02-01,5.0,17.0,32.5,40.3,22.8,4.1
2020-02-02,5.0,19.0,36.9,48.0,27.1,4.1
2020-02-03,5.0,21.0,22.6,30.0,10.0,4.1
2020-02-04,5.0,22.0,1.9,10.6,-8.9,4.1
2020-02-05,5.1,21.0,1.2,11.1,-8.5,4.1
2020-02-06,5.3,20.0,15.8,22.1,5.2,4.2
2020-02-07,5.4,19.0,23.4,28.6,19.9,4.2
2020-02-08,5.4,19.0,27.5,39.4,17.1,4.2
2020-02-09,5.4,19.0,24.8,33.3,18.5,4.2
2020-02-10,5.5,22.0,22.6,32.2,14.4,4.3
2020-02-11,5.5,22.0,17.1,29.5,11.1,4.3
2020-02-12,5.5,21.0,13.3,24.3,6.6,4.3
2020-02-13,5.5,21.0,17.1,26.2,7.0,4.3
2020-02-14,5.5,21.0,27.5,41.4,17.2,4.3
2020-02-15,5.6,21.0,24.8,34.3,14.7,4.4
2020-02-16,5.6,21.0,28.2,39.2,20.5,4.4
2020-02-17,5.6,21.0,24.8,34.2,10.6,4.4
2020-02-18,5.6,20.0,20.7,34.5,5.7,4.4
2020-02-19,5.6,20.0,21.9,34.2,8.4,4.4
2020-02-20,5.6,20.0,21.2,36.1,5.9,4.4
2020-02-21,5.8,20.0,29.3,41.5,17.8,4.5
2020-02-22,5.9,23.0,31.3,43.3,25.0,4.7
2020-02-23,5.9,23.0,23.4,31.5,17.6,4.7
2020-02-24,5.9,23.0,15.1,25.0,3.0,4.7
2020-02-25,5.9,23.0,4.6,14.5,-1.7,4.7
2020-02-26,5.9,22.0,15.8,29.1,-0.2,4.7
2020-02-27,5.9,21.0,22.5,32.5,15.4,4.7
2020-02-28,5.9,21.0,28.8,41.2,19.4,4.7
2020-02-29,5.9,21.0,29.8,40.8,22.8,4.7
2020-03-01,5.9,19.0,27.3,36.7,20.7,4.7
2020-03-02,5.9,19.0,22.8,31.8,16.7,4.7
2020-03-03,5.9,20.0,27.5,38.7,16.0,4.7
2020-03-04,5.9,19.0,30.9,43.3,21.0,4.7
2020-03-05,5.9,18.0,33.1,45.0,21.0,4.7
2020-03-06,6.0,18.0,34.0,45.0,25.5,4.8
2020-03-07,6.1,19.0,34.3,44.6,26.2,4.9
2020-03-08,6.1,19.0,30.7,42.6,23.7,4.9
2020-03-09,6.1,19.0,28.9,42.1,17.4,4.9
2020-03-10,6.1,18.0,30.7,43.0,24.6,4.9
2020-03-11,6.1,18.0,33.1,45.7,22.3,4.9
2020-03-12,6.1,18.0,34.0,44.1,25.9,4.9
2020-03-13,6.3,18.0,29.3,39.9,21.2,5.0
2020-03-14,6.3,18.0,29.5,41.5,18.5,5.0
2020-03-15,6.3,18.0,31.6,43.3,23.9,5.0
2020-03-16,6.3,18.0,34.0,45.3,22.5,5.0
2020-03-17,6.4,18.0,34.5,45.5,27.1,5.0
2020-03-18,6.5,19.0,29.8,41.2,24.8,5.2
2020-03-19,6.7,23.0,23.9,31.8,16.9,5.3
2020-03-20,6.7,21.0,22.5,32.2,13.1,5.3
2020-03-21,6.7,21.0,24.8,36.9,16.5,5.3
2020-03-22,6.8,20.0,26.1,36.3,19.0,5.4
2020-03-23,6.8,19.0,28.0,40.3,19.9,5.4
2020-03-24,6.9,19.0,31.1,43.7,16.7,5.5
2020-03-25,6.9,18.0,31.8,39.4,26.2,5.5
2020-03-26,6.9,17.0,32.9,40.5,26.4,5.5
2020-03-27,6.9,21.0,21.0,33.1,10.2,5.5
2020-03-28,6.9,22.0,15.8,26.4,8.6,5.5
2020-03-29,6.9,22.0,24.1,35.4,9.1,5.5
2020-03-30,7.0,21.0,26.2,36.3,18.5,5.6
2020-03-31,7.0,19.0,34.5,48.2,19.0,5.6
2020-04-01,7.0,18.0,36.9,46.4,30.4,5.6
2020-04-02,7.0,18.0,32.4,41.0,22.8,5.5
2020-04-03,7.0,17.0,28.9,41.2,16.5,5.4
2020-04-04,7.0,15.0,32.4,43.3,20.8,5.4
2020-04-05,7.0,15.0,36.0,45.1,28.0,5.3
2020-04-06,7.0,14.0,36.5,46.8,27.7,5.1
2020-04-07,7.0,13.0,37.6,48.6,28.8,4.9
2020-04-08,7.0,12.0,39.6,50.9,28.9,4.6
2020-04-09,7.0,10.0,41.0,50.9,32.4,4.2
2020-04-10,7.0,9.0,35.8,46.8,27.3,3.7
2020-04-11,7.0,6.0,34.9,46.6,24.4,3.4
2020-04-12,7.0,5.0,28.0,38.5,18.0,3.1
2020-04-13,7.0,5.0,19.9,32.7,9.0,3.1
2020-04-14,7.0,5.0,15.8,29.1,3.0,3.1
2020-04-15,7.2,7.0,26.6,37.6,13.8,3.3
2020-04-16,7.2,6.0,30.6,42.3,21.2,2.9
2020-04-17,7.2,4.0,31.6,45.0,17.4,2.6
2020-04-18,7.2,3.0,31.8,42.3,23.7,2.3
2020-04-19,7.2,3.0,31.5,40.6,22.6,2.0
2020-04-20,7.3,3.0,31.8,42.1,24.8,2.1
2020-04-21,7.8,7.0,31.8,41.5,28.0,2.5
2020-04-22,7.8,3.0,33.8,45.0,27.0,2.0
2020-04-23,7.8,3.0,34.5,47.5,27.9,1.5
2020-04-24,7.8,2.0,32.2,43.2,23.2,1.0
2020-04-25,7.8,2.0,36.9,48.9,26.8,0.6
2020-04-26,7.8,1.0,42.1,55.8,32.4,0.4
2020-04-27,7.8,1.0,44.8,56.7,31.6,0.2
2020-04-28,7.8,0.0,44.2,53.4,37.8,0.0
2020-04-29,7.8,0.0,48.6,63.0,36.5,0.0
2020-04-30,7.8,0.0,50.4,61.7,38.8,0.0
2020-05-01,7.8,0.0,50.9,62.6,41.5,0.0
2020-05-02,7.8,0.0,48.6,59.9,41.4,0.0
2020-05-03,7.8,0.0,48.6,61.2,39.2,0.0
2020-05-04,7.8,0.0,42.6,54.9,32.5,0.0
2020-05-05,7.8,0.0,41.9,55.2,31.6,0.0
2020-05-06,7.8,0.0,46.8,60.1,31.8,0.0
2020-05-07,7.8,0.0,44.6,56.5,30.4,0.0
2020-05-08,7.8,0.0,41.4,54.9,28.8,0.0
2020-05-09,7.8,0.0,42.6,53.8,33.8,0.0
2020-05-10,7.8,0.0,45.5,56.8,32.5,0.0
2020-05-11,7.9,0.0,40.5,52.0,33.1,0.0
2020-05-12,7.9,0.0,44.8,56.8,32.9,0.0
2020-05-13,7.9,0.0,44.6,56.1,34.0,0.0
2020-05-14,7.9,0.0,45.3,58.5,34.2,0.0
2020-05-15,7.9,0.0,44.6,58.3,36.0,0.0
2020-05-16,7.9,0.0,45.7,58.8,34.7,0.0
2020-05-17,7.9,0.0,51.6,63.3,39.7,0.0
2020-05-18,7.9,0.0,54.5,64.9,44.4,0.0
2020-05-19,7.9,0.0,50.7,60.4,42.6,0.0
2020-05-20,7.9,0.0,43.3,53.2,30.4,0.0
2020-05-21,7.9,0.0,40.5,54.7,27.7,0.0
2020-05-22,7.9,0.0,45.3,57.7,31.8,0.0
2020-05-23,7.9,0.0,44.6,56.5,35.2,0.0
2020-05-24,7.9,0.0,39.2,52.5,28.9,0.0
2020-05-25,7.9,0.0,39.2,52.2,25.0,0.0
2020-05-26,7.9,0.0,45.5,61.2,32.7,0.0
2020-05-27,7.9,0.0,49.8,62.2,41.2,0.0
2020-05-28,8.0,0.0,50.9,61.7,40.6,0.0
2020-05-29,8.0,0.0,53.2,66.9,42.8,0.0
2020-05-30,8.0,0.0,51.3,62.8,43.5,0.0
2020-05-31,8.2,0.0,49.8,65.1,40.3,0.0
2020-06-01,8.3,0.0,50.9,60.8,40.8,0.0
2020-06-02,8.3,0.0,53.2,62.1,45.9,0.0
2020-06-03,8.3,0.0,54.1,65.3,46.2,0.0
2020-06-04,8.3,0.0,56.5,68.2,46.0,0.0
2020-06-05,8.3,0.0,58.1,70.5,50.5,0.0
2020-06-06,8.6,0.0,50.0,59.5,43.7,0.0
2020-06-07,8.6,0.0,50.7,58.6,41.5,0.0
2020-06-08,8.6,0.0,42.1,56.3,23.9,0.0
2020-06-09,8.7,0.0,33.4,44.2,24.4,0.0
2020-06-10,8.7,0.0,45.0,60.1,31.8,0.0
2020-06-11,8.7,0.0,52.7,65.1,39.6,0.0
2020-06-12,8.7,0.0,55.0,64.2,45.5,0.0
2020-06-13,8.7,0.0,52.3,64.9,41.5,0.0
