date,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2019-10-01,,36.3,45.3,31.5,0.0
2019-10-02,,38.8,48.2,35.1,0.0
2019-10-03,,34.7,40.1,33.8,0.0
2019-10-04,,33.8,35.1,32.4,0.5
2019-10-05,,35.2,41.5,32.7,0.5
2019-10-06,,41.0,50.5,32.9,0.0
2019-10-07,,39.6,43.9,32.9,0.0
2019-10-08,,27.0,32.9,21.2,1.6
2019-10-09,,23.2,28.4,18.0,1.5
2019-10-10,,36.7,44.8,25.3,1.5
2019-10-11,,44.4,53.1,38.7,1.5
2019-10-12,,43.0,49.5,36.5,1.5
2019-10-13,,36.1,40.8,31.6,1.4
2019-10-14,,36.9,45.3,30.7,1.3
2019-10-15,,40.8,45.1,35.4,1.3
2019-10-16,,39.0,43.7,33.8,1.2
2019-10-17,,33.4,35.6,30.4,2.5
2019-10-18,,31.3,32.9,29.7,4.7
2019-10-19,,32.0,35.1,29.7,4.9
2019-10-20,,31.5,34.0,28.9,5.8
2019-10-21,,35.6,43.2,32.4,7.5
2019-10-22,,36.7,42.4,32.9,6.3
2019-10-23,,37.0,43.9,30.6,6.1
2019-10-24,,40.5,44.8,37.0,5.9
2019-10-25,,37.0,45.0,28.2,5.2
2019-10-26,,29.7,32.2,27.9,5.0
2019-10-27,,29.3,38.1,25.0,5.0
2019-10-28,,29.3,34.7,22.3,5.4
2019-10-29,,25.5,34.7,18.9,4.6
2019-10-30,,37.6,45.1,27.0,4.7
2019-10-31,,36.3,41.7,32.5,5.1
2019-11-01,,40.3,48.2,32.9,5.0
2019-11-02,7.0,42.6,49.8,37.8,5.0
2019-11-03,6.0,39.0,44.2,36.3,4.8
2019-11-04,5.0,41.4,48.4,35.8,4.8
2019-11-05,5.0,41.2,49.3,36.9,4.7
2019-11-06,5.0,39.7,43.9,36.0,4.4
2019-11-07,5.0,46.0,52.9,40.3,4.3
2019-11-08,4.0,48.2,53.8,41.4,4.3
2019-11-09,3.0,37.4,41.4,36.0,4.1
2019-11-10,2.0,36.1,38.3,32.2,4.0
2019-11-11,2.0,41.0,46.8,35.8,3.9
2019-11-12,2.0,35.6,43.7,32.9,4.3
2019-11-13,2.0,36.9,41.9,32.7,4.4
2019-11-14,2.0,43.9,48.2,37.4,4.3
2019-11-15,1.0,35.6,43.2,32.7,4.9
2019-11-16,3.0,33.8,37.8,31.8,5.2
2019-11-17,2.0,37.8,40.3,35.8,5.6
2019-11-18,5.0,36.3,43.7,33.6,5.7
2019-11-19,6.0,31.1,35.1,26.2,5.9
2019-11-20,5.0,32.0,42.1,24.4,5.8
2019-11-21,5.0,42.4,50.5,36.0,5.7
2019-11-22,5.0,36.5,43.3,32.0,5.5
2019-11-23,6.0,32.4,35.1,29.1,7.1
2019-11-24,10.0,28.6,33.8,26.2,7.7
2019-11-25,14.0,25.5,32.4,20.8,8.0
2019-11-26,14.0,19.2,22.5,16.3,7.9
2019-11-27,14.0,17.1,19.9,14.2,7.8
2019-11-28,13.0,15.8,21.9,12.6,7.5
2019-11-29,13.0,19.0,25.9,13.6,7.5
2019-11-30,13.0,25.9,31.5,22.5,7.7
2019-12-01,13.0,27.5,30.7,22.8,8.0
2019-12-02,14.0,32.5,34.0,30.2,8.0
2019-12-03,15.0,34.7,35.8,33.8,9.5
2019-12-04,14.0,33.8,35.1,32.0,9.9
2019-12-05,14.0,34.5,36.0,31.5,9.7
2019-12-06,13.0,37.6,41.4,34.7,9.5
2019-12-07,11.0,33.6,37.0,31.8,9.3
2019-12-08,11.0,31.3,36.1,28.2,8.8
2019-12-09,13.0,36.1,44.1,28.0,9.0
2019-12-10,11.0,34.7,40.3,30.0,9.2
2019-12-11,14.0,30.6,31.8,29.7,9.3
2019-12-12,30.0,29.8,32.0,27.7,11.1
2019-12-13,30.0,27.7,29.5,25.5,12.1
2019-12-14,26.0,25.9,29.8,23.4,12.4
2019-12-15,27.0,22.6,25.9,18.9,12.6
2019-12-16,29.0,26.2,32.5,18.7,13.2
2019-12-17,28.0,31.8,34.2,29.7,13.6
2019-12-18,30.0,30.6,34.3,26.6,13.9
2019-12-19,48.0,29.5,33.1,28.0,16.1
2019-12-20,64.0,32.5,33.4,31.1,21.4
2019-12-21,69.0,29.7,32.9,25.2,23.2
2019-12-22,68.0,27.0,33.4,24.8,23.4
2019-12-23,67.0,26.1,28.4,22.8,23.7
