date,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2019-10-01,0.0,35.2,45.1,29.3,0.0
2019-10-02,0.0,37.4,44.6,33.6,0.0
2019-10-03,0.0,34.3,39.7,32.4,0.0
2019-10-04,0.0,32.9,35.6,31.3,0.0
2019-10-05,0.0,33.6,41.7,31.3,0.0
2019-10-06,0.0,39.6,49.1,30.0,0.0
2019-10-07,0.0,38.8,43.0,31.8,0.0
2019-10-08,10.0,24.8,32.4,18.3,0.7
2019-10-09,7.0,21.6,29.7,15.1,0.6
2019-10-10,5.0,35.4,44.4,24.3,0.7
2019-10-11,3.0,41.9,49.8,35.4,0.7
2019-10-12,1.0,42.4,48.2,35.6,0.6
2019-10-13,1.0,34.7,38.7,30.7,0.5
2019-10-14,1.0,35.4,43.5,29.1,0.3
2019-10-15,1.0,39.7,46.8,36.0,0.2
2019-10-16,0.0,38.7,43.0,34.0,0.1
2019-10-17,7.0,32.4,34.7,28.8,0.9
2019-10-18,27.0,30.0,33.3,27.3,1.6
2019-10-19,14.0,30.9,34.0,28.2,1.7
2019-10-20,15.0,30.0,32.2,27.1,2.0
2019-10-21,15.0,34.2,42.3,30.9,2.9
2019-10-22,12.0,35.6,48.0,30.7,2.6
2019-10-23,12.0,35.4,42.4,29.8,2.5
2019-10-24,8.0,40.6,43.0,37.8,2.2
2019-10-25,8.0,36.5,43.5,27.5,1.6
2019-10-26,7.0,27.7,30.7,24.6,1.5
2019-10-27,7.0,27.7,36.1,22.1,1.7
2019-10-28,6.0,27.7,36.1,18.1,1.7
2019-10-29,7.0,23.2,31.8,14.7,2.2
2019-10-30,6.0,37.2,46.2,25.7,2.1
2019-10-31,6.0,36.3,43.2,31.5,2.1
2019-11-01,5.0,38.7,46.8,29.3,2.2
2019-11-02,5.0,42.4,49.5,37.8,1.9
2019-11-03,4.0,39.6,44.6,36.0,1.9
2019-11-04,5.0,44.2,51.6,38.3,1.8
2019-11-05,4.0,42.3,49.1,35.6,1.5
2019-11-06,4.0,36.9,43.0,32.9,2.2
2019-11-07,3.0,44.6,51.8,36.5,1.9
2019-11-08,3.0,47.7,54.9,39.9,1.5
2019-11-09,3.0,37.4,41.7,35.8,1.3
2019-11-10,3.0,33.8,38.5,29.1,1.7
2019-11-11,2.0,38.3,41.9,31.3,1.4
2019-11-12,4.0,34.7,41.4,32.0,1.4
2019-11-13,4.0,35.6,42.8,31.1,1.6
2019-11-14,4.0,42.1,46.8,33.8,1.5
2019-11-15,5.0,34.7,43.2,31.3,1.5
