,site_id
0,hungry_horse_reservoir_inflow
1,snake_r_nr_heise
2,pueblo_reservoir_inflow
3,sweetwater_r_nr_alcova
4,missouri_r_at_toston
5,animas_r_at_durango
6,yampa_r_nr_maybell
7,libby_reservoir_inflow
8,boise_r_nr_boise
9,green_r_bl_howard_a_hanson_dam
10,taylor_park_reservoir_inflow
11,dillon_reservoir_inflow
12,ruedi_reservoir_inflow
13,fontenelle_reservoir_inflow
14,weber_r_nr_oakley
15,san_joaquin_river_millerton_reservoir
16,merced_river_yosemite_at_pohono_bridge
17,american_river_folsom_lake
18,colville_r_at_kettle_falls
19,stehekin_r_at_stehekin
20,detroit_lake_inflow
21,virgin_r_at_virtin
22,skagit_ross_reservoir
23,boysen_reservoir_inflow
24,pecos_r_nr_pecos
25,owyhee_r_bl_owyhee_dam
26,hellroaring_creek_ab_reservoir_nr_polson
27,lake_sherburne_inflow
28,st._mary_r_nr_babb
29,st._mary_r_at_intl_boundary
30,lima_reservoir_inflow
31,beaverhead_r_nr_grant
32,beaverhead_r_at_barretts
33,ruby_r_reservoir_inflow
34,big_hole_r_bl_big_lake_ck_at_wisdom
35,big_hole_r_nr_melrose
36,jefferson_r_nr_twin_bridges
37,boulder_r_nr_boulder
38,willow_ck_reservoir_inflow
39,jefferson_r_nr_three_forks
40,hebgen_lake_inflow
41,ennis_lake_inflow
42,gallatin_r_nr_gateway
43,hyalite_reservoir_inflow
44,gallatin_r_at_logan
45,smith_r_bl_eagle_ck
46,gibson_reservoir_inflow
47,missouri_r_at_fort_benton
48,two_medicine_r_bl_south_fork_nr_browning
49,badger_ck_nr_browning
50,swift_reservoir_inflow
51,dupuyer_ck_nr_valier
52,marias_r_nr_shelby
53,teton_r_nr_dutton
54,missouri_r_nr_virgelle
55,missouri_r_nr_landusky
56,musselshell_r_at_harlowton
57,musselshell_r_nr_roundup
58,missouri_r_bl_fort_peck_dam
59,yellowstone_r_at_yellowstone_lake_outlet
60,yellowstone_r_at_corwin_springs
61,yellowstone_r_at_livingston
62,shields_r_nr_livingston
63,boulder_r_at_big_timber
64,west_rosebud_ck_nr_roscoe
65,stillwater_r_nr_absarokee
66,clarks_fk_yellowstone_r_nr_belfry
67,red_lodge_+_willow_ck_nr_boyd
68,yellowstone_r_at_billings
69,dinwoody_ck_nr_burris
70,wind_r_ab_bull_lake_ck
71,bull_lake_ck_nr_lenore
72,wind_r_at_riverton
73,little_popo_agie_r_nr_lander
74,little_wind_r_nr_riverton
75,greybull_r_at_meeteetse
76,shell_ck_nr_shell
77,bighorn_r_at_kane
78,nf_shoshone_r_at_wapiti
79,sf_shoshone_r_nr_valley
80,sf_shoshone_r_ab_buffalo_bill_reservoir
81,buffalo_bill_reservoir_inflow
82,bighorn_r_nr_st._xavier
83,little_bighorn_r_nr_hardin
84,tongue_r_nr_dayton
85,big_goose_ck_nr_sheridan
