datetime,00010_2_Mean,00010_2_Mean_cd,site_no,00010_Mean,00010_Mean_cd,00060_Mean,00060_Mean_cd
2020-10-01 00:00:00+00:00,,,13190500,10.7,A,311.0,A
2020-10-02 00:00:00+00:00,,,13190500,10.7,A,310.0,A
2020-10-03 00:00:00+00:00,,,13190500,10.7,A,306.0,A
2020-10-04 00:00:00+00:00,,,13190500,10.7,A,299.0,A
2020-10-05 00:00:00+00:00,,,13190500,10.7,A,297.0,A
2020-10-06 00:00:00+00:00,,,13190500,10.7,A,300.0,A
2020-10-07 00:00:00+00:00,,,13190500,10.7,A,306.0,A
2020-10-08 00:00:00+00:00,,,13190500,10.7,A,314.0,A
2020-10-09 00:00:00+00:00,,,13190500,10.6,A,308.0,A
2020-10-10 00:00:00+00:00,,,13190500,10.4,A,314.0,A
2020-10-11 00:00:00+00:00,,,13190500,10.5,A,311.0,A
2020-10-12 00:00:00+00:00,,,13190500,10.7,A,312.0,A
2020-10-13 00:00:00+00:00,,,13190500,10.8,A,313.0,A
2020-10-14 00:00:00+00:00,,,13190500,10.7,A,314.0,A
2020-10-15 00:00:00+00:00,,,13190500,10.6,A,315.0,A
2020-10-16 00:00:00+00:00,,,13190500,10.7,A,310.0,A
2020-10-17 00:00:00+00:00,,,13190500,10.8,A,302.0,A
2020-10-18 00:00:00+00:00,,,13190500,10.9,A,298.0,A
2020-10-19 00:00:00+00:00,,,13190500,10.9,A,320.0,A
2020-10-20 00:00:00+00:00,,,13190500,10.8,A,319.0,A
2020-10-21 00:00:00+00:00,,,13190500,10.8,A,318.0,A
2020-10-22 00:00:00+00:00,,,13190500,10.6,A,322.0,A
2020-10-23 00:00:00+00:00,,,13190500,10.6,A,321.0,A
2020-10-24 00:00:00+00:00,,,13190500,10.6,A,319.0,A
2020-10-25 00:00:00+00:00,,,13190500,10.4,A,317.0,A
2020-10-26 00:00:00+00:00,,,13190500,10.4,A,320.0,A
2020-10-27 00:00:00+00:00,,,13190500,10.6,A,316.0,A
2020-10-28 00:00:00+00:00,,,13190500,10.8,A,324.0,A
2020-10-29 00:00:00+00:00,,,13190500,10.8,A,319.0,A
2020-10-30 00:00:00+00:00,,,13190500,10.7,A,317.0,A
2020-10-31 00:00:00+00:00,,,13190500,10.7,A,309.0,A
2020-11-01 00:00:00+00:00,,,13190500,10.7,A,313.0,A
2020-11-02 00:00:00+00:00,,,13190500,10.7,A,309.0,A
2020-11-03 00:00:00+00:00,,,13190500,10.6,A,314.0,A
2020-11-04 00:00:00+00:00,,,13190500,10.7,A,316.0,A
2020-11-05 00:00:00+00:00,,,13190500,10.7,A,316.0,A
2020-11-06 00:00:00+00:00,,,13190500,10.7,A,312.0,A
2020-11-07 00:00:00+00:00,,,13190500,10.5,A,314.0,A
2020-11-08 00:00:00+00:00,,,13190500,10.1,A,316.0,A
2020-11-09 00:00:00+00:00,,,13190500,10.3,A,318.0,A
2020-11-10 00:00:00+00:00,,,13190500,10.3,A,319.0,A
2020-11-11 00:00:00+00:00,,,13190500,10.1,A,318.0,A
2020-11-12 00:00:00+00:00,,,13190500,10.1,A,316.0,A
2020-11-13 00:00:00+00:00,,,13190500,9.5,A,316.0,A
