date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
1985-10-01,0.0,54.1,60.4,51.1,0.0
1985-10-02,0.0,53.2,61.9,48.6,0.0
1985-10-03,0.0,55.4,69.4,44.8,0.0
1985-10-04,0.0,61.0,77.0,46.9,0.0
1985-10-05,0.0,61.9,72.3,54.7,0.0
1985-10-06,0.5,48.4,55.2,41.2,0.0
1985-10-07,0.9,36.7,41.4,31.5,0.0
1985-10-08,0.9,30.6,35.6,27.9,0.0
1985-10-09,0.9,39.6,52.2,27.9,0.0
1985-10-10,0.9,47.8,66.0,38.8,0.0
1985-10-11,1.8,38.3,44.8,34.0,0.0
1985-10-12,1.9,36.5,46.6,32.9,0.0
1985-10-13,1.9,41.4,54.5,32.0,0.0
1985-10-14,1.9,47.1,56.5,40.3,0.0
1985-10-15,1.9,53.8,69.6,44.2,0.0
1985-10-16,1.9,42.4,46.2,37.6,0.0
1985-10-17,1.9,46.0,58.6,35.8,0.0
1985-10-18,1.9,54.3,70.0,45.9,0.0
1985-10-19,2.6,45.0,50.7,40.5,0.0
1985-10-20,3.0,46.0,56.8,34.2,0.0
1985-10-21,3.8,33.4,36.3,31.5,0.2
1985-10-22,5.8,38.5,42.3,32.0,0.0
1985-10-23,7.2,41.7,43.9,38.3,0.0
1985-10-24,8.3,44.4,49.3,42.6,0.0
1985-10-25,8.7,42.3,49.5,39.4,0.0
1985-10-26,8.7,46.9,54.9,40.1,0.0
1985-10-27,9.7,44.8,57.9,32.0,0.0
1985-10-28,9.7,33.4,39.9,29.7,0.0
1985-10-29,9.7,42.1,54.0,33.8,0.0
1985-10-30,10.1,33.1,36.0,31.3,0.0
1985-10-31,10.1,33.1,37.9,28.2,0.0
1985-11-01,10.1,40.8,43.3,37.9,0.0
1985-11-02,10.1,45.0,47.5,41.7,0.0
1985-11-03,10.1,47.7,56.8,44.2,0.0
1985-11-04,11.3,36.3,44.2,29.7,0.2
1985-11-05,11.5,31.6,34.2,29.8,0.1
1985-11-06,12.1,38.1,40.6,33.4,0.1
1985-11-07,14.0,36.7,40.5,31.1,0.4
1985-11-08,15.1,29.7,31.5,27.5,1.1
