date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,WTEQ_DAILY
2006-10-01,0.0,0.0,49.6,0.0
2006-10-02,0.6,0.0,45.0,0.0
2006-10-03,0.8,0.0,43.3,0.0
2006-10-04,1.3,0.0,46.0,0.0
2006-10-05,1.6,0.0,46.4,0.0
2006-10-06,2.0,0.0,41.4,0.0
2006-10-07,2.1,0.0,37.0,0.0
2006-10-08,2.2,0.0,37.9,0.0
2006-10-09,2.5,0.0,35.8,0.0
2006-10-10,2.5,0.0,34.7,0.0
2006-10-11,2.5,0.0,35.6,0.0
2006-10-12,2.5,0.0,37.2,0.0
2006-10-13,2.5,0.0,40.8,0.0
2006-10-14,2.5,0.0,39.0,0.0
2006-10-15,2.5,0.0,40.8,0.0
2006-10-16,3.1,1.0,32.2,0.1
2006-10-17,3.5,2.0,27.0,0.3
2006-10-18,3.5,1.0,24.6,0.1
2006-10-19,3.8,0.0,31.8,0.0
2006-10-20,3.9,4.0,31.5,0.3
2006-10-21,3.9,0.0,25.9,0.0
2006-10-22,4.0,0.0,27.5,0.0
2006-10-23,4.0,0.0,37.0,0.0
2006-10-24,4.2,0.0,40.3,0.0
2006-10-25,4.4,4.0,27.5,0.3
2006-10-26,4.5,2.0,25.7,0.3
2006-10-27,4.6,1.0,30.9,0.3
2006-10-28,4.6,0.0,36.9,0.0
2006-10-29,4.6,0.0,38.8,0.0
2006-10-30,4.6,0.0,33.8,0.0
2006-10-31,4.6,0.0,27.9,0.0
2006-11-01,4.7,0.0,25.2,0.0
2006-11-02,4.7,0.0,37.8,0.0
2006-11-03,4.7,0.0,35.4,0.0
2006-11-04,4.7,0.0,31.8,0.0
2006-11-05,4.7,0.0,31.6,0.0
2006-11-06,4.7,0.0,39.2,0.0
2006-11-07,4.7,0.0,44.6,0.0
2006-11-08,4.7,0.0,46.2,0.0
2006-11-09,5.0,3.0,28.2,0.3
2006-11-10,5.3,2.0,26.6,0.4
2006-11-11,5.4,3.0,30.0,0.5
2006-11-12,5.4,4.0,21.0,0.7
