date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,WTEQ_DAILY
2008-10-01,0.0,0.0,47.8,0.0
2008-10-02,0.0,0.0,50.0,0.0
2008-10-03,0.3,0.0,45.3,0.0
2008-10-04,0.5,0.0,39.4,0.0
2008-10-05,0.8,0.0,34.5,0.0
2008-10-06,0.8,0.0,36.5,0.0
2008-10-07,0.8,0.0,40.6,0.0
2008-10-08,0.8,0.0,45.3,0.0
2008-10-09,0.8,0.0,42.8,0.0
2008-10-10,0.8,0.0,31.3,0.0
2008-10-11,1.1,2.0,26.8,0.1
2008-10-12,1.2,1.0,21.0,0.1
2008-10-13,1.2,1.0,21.6,0.1
2008-10-14,1.3,0.0,30.9,0.0
2008-10-15,1.3,0.0,38.7,0.0
2008-10-16,1.3,0.0,40.5,0.0
2008-10-17,1.3,0.0,43.5,0.0
2008-10-18,1.3,0.0,45.7,0.0
2008-10-19,1.3,0.0,41.9,0.0
2008-10-20,1.3,0.0,42.1,0.0
2008-10-21,1.3,0.0,31.1,0.0
2008-10-22,1.3,0.0,25.7,0.0
2008-10-23,1.3,0.0,33.4,0.0
2008-10-24,1.3,0.0,34.7,0.0
2008-10-25,1.3,0.0,39.9,0.0
2008-10-26,1.3,0.0,39.9,0.0
2008-10-27,1.3,0.0,45.7,0.0
2008-10-28,1.3,0.0,44.1,0.0
2008-10-29,1.3,0.0,43.7,0.0
2008-10-30,1.3,0.0,43.7,0.0
2008-10-31,1.3,0.0,45.1,0.0
2008-11-01,1.3,0.0,46.0,0.0
2008-11-02,2.0,0.0,36.3,0.0
2008-11-03,2.2,1.0,33.1,0.2
2008-11-04,2.9,7.0,27.7,0.8
2008-11-05,2.9,7.0,16.0,0.8
2008-11-06,3.0,6.0,11.7,0.8
2008-11-07,3.1,4.0,28.8,0.8
2008-11-08,3.1,3.0,31.5,0.8
2008-11-09,3.2,3.0,33.4,0.9
2008-11-10,3.7,9.0,30.4,1.4
2008-11-11,3.7,8.0,28.2,1.4
2008-11-12,3.9,6.0,33.1,1.4
2008-11-13,3.9,6.0,34.2,1.4
2008-11-14,3.9,7.0,21.6,1.4
2008-11-15,3.9,7.0,26.8,1.4
2008-11-16,4.0,6.0,35.2,1.4
2008-11-17,4.0,5.0,39.0,1.4
2008-11-18,4.0,5.0,41.7,1.4
2008-11-19,4.0,5.0,36.3,1.4
2008-11-20,4.0,5.0,35.2,1.4
2008-11-21,4.0,5.0,29.7,1.4
2008-11-22,4.0,5.0,34.2,1.4
2008-11-23,4.0,5.0,27.5,1.4
2008-11-24,4.0,5.0,32.7,1.4
2008-11-25,4.0,5.0,36.3,1.5
2008-11-26,4.0,5.0,36.7,1.6
2008-11-27,4.0,5.0,32.0,1.6
2008-11-28,4.2,7.0,27.3,1.8
2008-11-29,4.4,7.0,29.3,2.0
2008-11-30,4.4,7.0,31.6,2.0
2008-12-01,4.4,6.0,33.6,2.1
2008-12-02,4.7,8.0,32.5,2.3
2008-12-03,4.7,10.0,24.3,2.4
2008-12-04,4.9,12.0,20.5,2.5
2008-12-05,4.9,10.0,19.0,2.5
2008-12-06,4.9,10.0,32.0,2.5
2008-12-07,4.9,10.0,33.6,2.5
2008-12-08,5.4,17.0,22.3,2.9
2008-12-09,5.4,15.0,14.4,2.9
2008-12-10,5.4,13.0,26.2,2.9
2008-12-11,5.4,12.0,25.7,2.9
2008-12-12,5.4,12.0,30.9,2.9
2008-12-13,6.0,20.0,16.9,3.5
2008-12-14,6.1,18.0,5.7,3.6
2008-12-15,6.2,17.0,9.1,3.7
2008-12-16,6.4,20.0,9.9,3.9
