date,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY
2004-10-01,35.6,37.8,34.3
2004-10-02,41.0,49.6,34.7
2004-10-03,40.5,50.9,32.4
2004-10-04,38.7,51.4,31.3
2004-10-05,41.4,54.1,32.5
2004-10-06,37.6,42.8,34.7
2004-10-07,43.0,51.4,34.3
2004-10-08,43.3,55.6,33.6
2004-10-09,44.1,57.0,36.0
2004-10-10,42.3,55.0,31.5
2004-10-11,37.6,45.9,31.5
2004-10-12,42.1,52.5,31.5
2004-10-13,30.7,36.9,27.0
2004-10-14,38.5,43.3,29.8
2004-10-15,37.0,47.8,29.5
2004-10-16,46.2,54.1,39.4
2004-10-17,44.2,53.6,36.3
2004-10-18,36.0,41.7,31.5
2004-10-19,37.8,44.8,34.2
2004-10-20,43.0,50.4,33.1
2004-10-21,44.1,52.0,34.7
2004-10-22,31.5,43.0,24.8
2004-10-23,36.1,43.3,27.3
2004-10-24,35.2,39.7,31.6
2004-10-25,36.3,45.5,27.7
2004-10-26,37.6,46.8,30.9
2004-10-27,40.5,53.6,31.8
2004-10-28,41.7,52.5,30.7
2004-10-29,26.6,31.5,23.5
2004-10-30,28.0,32.2,25.9
2004-10-31,28.0,35.8,21.4
2004-11-01,18.7,27.9,6.6
2004-11-02,27.0,42.3,6.6
2004-11-03,36.1,46.4,26.1
2004-11-04,35.2,45.0,21.9
2004-11-05,41.7,46.9,37.4
2004-11-06,42.1,48.0,35.4
2004-11-07,40.8,52.0,33.1
2004-11-08,40.5,52.5,32.5
2004-11-09,39.6,48.7,32.7
2004-11-10,29.7,35.4,19.9
2004-11-11,28.6,35.4,17.1
2004-11-12,29.8,34.0,27.1
2004-11-13,25.9,32.2,20.5
2004-11-14,27.3,34.7,21.2
2004-11-15,33.3,43.0,20.5
2004-11-16,37.9,47.7,30.0
2004-11-17,36.3,44.8,28.9
2004-11-18,32.4,36.9,27.1
2004-11-19,30.2,35.2,22.3
2004-11-20,18.9,22.3,16.5
2004-11-21,25.2,31.6,11.7
2004-11-22,29.1,34.2,19.0
2004-11-23,24.3,32.2,19.0
2004-11-24,22.5,27.0,18.9
2004-11-25,30.7,34.3,26.8
2004-11-26,23.9,31.5,14.0
2004-11-27,17.4,21.9,13.6
2004-11-28,10.6,16.7,2.3
2004-11-29,4.3,9.7,-7.8
2004-11-30,14.4,19.4,5.5
2004-12-01,15.4,18.7,11.3
2004-12-02,17.4,21.7,10.6
2004-12-03,24.4,30.2,18.1
