date,PREC_DAILY,SNWD_DAILY,WTEQ_DAILY
2004-10-01,0.0,0.0,0.0
2004-10-02,0.0,0.0,0.0
2004-10-03,0.0,0.0,0.0
2004-10-04,0.0,0.0,0.0
2004-10-05,0.2,0.0,0.0
2004-10-06,0.2,0.0,0.0
2004-10-07,0.2,0.0,0.0
2004-10-08,0.2,0.0,0.0
2004-10-09,0.2,0.0,0.0
2004-10-10,0.2,0.0,0.0
2004-10-11,0.2,0.0,0.0
2004-10-12,0.2,0.0,0.0
2004-10-13,0.2,0.0,0.0
2004-10-14,0.2,0.0,0.0
2004-10-15,0.2,0.0,0.0
2004-10-16,0.2,0.0,0.0
2004-10-17,0.4,0.0,0.0
2004-10-18,0.7,3.0,0.3
2004-10-19,1.9,11.0,1.5
2004-10-20,4.3,23.0,4.1
2004-10-21,4.9,27.0,4.7
2004-10-22,5.0,27.0,4.8
2004-10-23,5.3,26.0,4.9
2004-10-24,5.4,26.0,5.0
2004-10-25,6.2,35.0,5.8
2004-10-26,6.3,32.0,5.8
2004-10-27,7.0,35.0,6.5
2004-10-28,7.6,39.0,7.0
2004-10-29,7.6,35.0,7.0
2004-10-30,7.7,34.0,7.0
2004-10-31,7.7,34.0,7.0
2004-11-01,7.7,33.0,7.0
2004-11-02,7.8,32.0,6.9
2004-11-03,7.8,31.0,6.8
2004-11-04,7.8,30.0,6.8
2004-11-05,7.8,30.0,6.7
2004-11-06,7.8,29.0,6.7
2004-11-07,7.9,28.0,6.6
2004-11-08,8.3,30.0,7.1
2004-11-09,8.7,36.0,7.6
2004-11-10,8.8,35.0,7.7
2004-11-11,9.1,38.0,8.2
2004-11-12,9.5,40.0,8.5
2004-11-13,9.6,40.0,8.5
2004-11-14,9.6,38.0,8.5
2004-11-15,9.6,37.0,8.5
2004-11-16,9.6,36.0,8.5
2004-11-17,9.6,36.0,8.5
2004-11-18,9.6,35.0,8.5
2004-11-19,9.6,34.0,8.5
2004-11-20,9.6,35.0,8.5
2004-11-21,9.6,36.0,8.5
2004-11-22,9.6,35.0,8.5
2004-11-23,9.6,34.0,8.5
2004-11-24,9.6,34.0,8.5
2004-11-25,9.6,33.0,8.5
2004-11-26,9.6,34.0,8.5
2004-11-27,9.7,38.0,8.5
2004-11-28,9.7,38.0,8.5
2004-11-29,9.7,37.0,8.5
2004-11-30,9.7,36.0,8.5
2004-12-01,9.7,36.0,8.5
2004-12-02,9.7,35.0,8.5
2004-12-03,10.0,36.0,8.5
2004-12-04,10.0,35.0,8.5
