site_id,inu_pc_smn,inu_pc_smx,inu_pc_slt,inu_pc_umn,inu_pc_umx,inu_pc_ult,lka_pc_sse,lka_pc_use,dor_pc_pva,slp_dg_sav,slp_dg_uav,sgr_dk_sav,tmp_dc_uyr,ari_ix_sav,ari_ix_uav,cmi_ix_uyr,snw_pc_uyr,glc_pc_s01,glc_pc_s02,glc_pc_s03,glc_pc_s04,glc_pc_s05,glc_pc_s06,glc_pc_s07,glc_pc_s08,glc_pc_s09,glc_pc_s10,glc_pc_s11,glc_pc_s12,glc_pc_s13,glc_pc_s14,glc_pc_s15,glc_pc_s16,glc_pc_s17,glc_pc_s18,glc_pc_s19,glc_pc_s20,glc_pc_s21,glc_pc_s22,glc_pc_u01,glc_pc_u02,glc_pc_u03,glc_pc_u04,glc_pc_u05,glc_pc_u06,glc_pc_u07,glc_pc_u08,glc_pc_u09,glc_pc_u10,glc_pc_u11,glc_pc_u12,glc_pc_u13,glc_pc_u14,glc_pc_u15,glc_pc_u16,glc_pc_u17,glc_pc_u18,glc_pc_u19,glc_pc_u20,glc_pc_u21,glc_pc_u22,wet_pc_sg1,wet_pc_sg2,wet_pc_ug1,wet_pc_ug2,for_pc_sse,for_pc_use,crp_pc_sse,crp_pc_use,pst_pc_sse,pst_pc_use,ire_pc_sse,ire_pc_use,gla_pc_sse,gla_pc_use,prm_pc_sse,prm_pc_use,pac_pc_sse,pac_pc_use,cly_pc_sav,cly_pc_uav,slt_pc_sav,slt_pc_uav,snd_pc_sav,snd_pc_uav,soc_th_sav,soc_th_uav,swc_pc_syr,swc_pc_uyr,swc_pc_s01,swc_pc_s02,swc_pc_s03,swc_pc_s04,swc_pc_s05,swc_pc_s06,swc_pc_s07,swc_pc_s08,swc_pc_s09,swc_pc_s10,swc_pc_s11,swc_pc_s12,kar_pc_sse,kar_pc_use,ero_kh_sav,ero_kh_uav,ppd_pk_sav,ppd_pk_uav,urb_pc_sse,urb_pc_use,nli_ix_sav,nli_ix_uav,rdd_mk_sav,rdd_mk_uav,hft_ix_s93,hft_ix_u93,hft_ix_s09,hft_ix_u09,dis_m3_pyr,dis_m3_pmn,dis_m3_pmx,run_mm_syr,lkv_mc_usu,rev_mc_usu,ria_ha_ssu,ria_ha_usu,riv_tc_ssu,riv_tc_usu,gwt_cm_sav,pre_mm_uyr,pet_mm_syr,pet_mm_s01,pet_mm_s02,pet_mm_s03,pet_mm_s04,pet_mm_s05,pet_mm_s06,pet_mm_s07,pet_mm_s08,pet_mm_s09,pet_mm_s10,pet_mm_s11,pet_mm_s12,pet_mm_uyr,aet_mm_syr,aet_mm_s01,aet_mm_s02,aet_mm_s03,aet_mm_s04,aet_mm_s05,aet_mm_s06,aet_mm_s07,aet_mm_s08,aet_mm_s09,aet_mm_s10,aet_mm_s11,aet_mm_s12,aet_mm_uyr,pop_ct_ssu,pop_ct_usu,clz_cl_smj,cls_cl_smj,glc_cl_smj,pnv_cl_smj,wet_cl_smj,tbi_cl_smj,tec_cl_smj,fmh_cl_smj,fec_cl_smj,lit_cl_smj
american_river_folsom_lake,1.28125,1.84375,5.5,1.34375,1.625,5.21875,13.71875,9.25,346.0,143.65625,152.78125,472.34375,45.25,76.34375,86.46875,-14.4375,41.1875,0.0,0.0,0.0,84.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34375,11.21875,2.90625,0.96875,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.375,17.46875,1.46875,1.875,0.0,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,11.53125,9.28125,19.46875,18.5,84.5,78.53125,1.71875,0.875,9.375,11.125,0.09375,0.0,0.0625,0.0625,0.6875,1.46875,48.90625,67.25,12.21875,11.59375,28.625,28.34375,59.1875,59.125,40.71875,41.625,60.65625,65.8125,79.21875,93.03125,96.71875,93.75,81.09375,61.8125,43.65625,31.0,25.75,26.5625,37.90625,58.15625,0.0,0.0,6116.15625,9701.90625,2.3931875193084124,1.2224374803518003,0.0,0.0,111.5,50.0,46.53125,29.15625,13.96875,10.25,15.875,11.53125,335.9240018129349,83.97200003266335,692.2180087566376,11251,6957,6040,934.6039962768555,6108.565035820007,6934.86208152771,33318.48875808716,18509,22973,32366,974,1183,1790,2533,3637,4539,5285,4703,3383,2233,1209,895,27792,16744,766,1091,1709,2305,2770,2547,2039,1291,779,536,422,497,16046,10.783000141847879,31.566999640665017,7,27,4,4,1.0,5,366,5,125,9
animas_r_at_durango,1.0909090909090908,1.0909090909090908,1.2727272727272727,0.09090909090909091,0.09090909090909091,0.5454545454545454,1.5454545454545454,0.6363636363636364,30.363636363636363,190.0,200.8181818181818,461.90909090909093,0.8181818181818182,95.27272727272727,107.81818181818181,2.1818181818181817,48.45454545454545,0.0,0.0,0.0,92.72727272727273,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,4.909090909090909,0.18181818181818182,0.0,1.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,90.9090909090909,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,5.818181818181818,0.18181818181818182,0.0,2.727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.7272727272727273,0.6363636363636364,0.6363636363636364,92.72727272727273,90.9090909090909,0.9090909090909091,0.2727272727272727,21.363636363636363,31.363636363636363,0.45454545454545453,0.09090909090909091,0.0,0.0,6.090909090909091,9.090909090909092,17.727272727272727,13.545454545454545,11.545454545454545,11.909090909090908,35.63636363636363,36.27272727272727,52.72727272727273,52.0,66.45454545454545,68.36363636363636,73.9090909090909,79.81818181818181,86.0,90.27272727272727,91.81818181818181,90.18181818181819,81.63636363636364,67.36363636363636,57.09090909090909,55.63636363636363,57.36363636363637,61.63636363636363,69.0909090909091,78.27272727272727,31.181818181818183,39.90909090909091,5626.727272727273,6676.363636363636,9.92899967306717,2.2441817820072174,0.7272727272727273,0.09090909090909091,315.27272727272725,181.8181818181818,100.72727272727273,76.63636363636364,42.0,31.0,49.45454545454545,36.90909090909091,51.20400083065033,2.0109999924898148,231.8189980983734,1530,115,111,309.2829999923706,1044.4500036239624,2121.0389652252197,5929.426019668579,7676,8962,9431,202,258,443,719,1132,1486,1640,1404,994,645,313,197,8726,6136,165,220,391,623,880,936,896,755,546,376,203,143,6255,20.650000509573147,28.00299906730652,6,37,4,5,11.0,5,353,4,130,3
boise_r_nr_boise,0.32075471698113206,0.32075471698113206,1.6415094339622642,0.03773584905660377,0.03773584905660377,2.2264150943396226,8.226415094339623,1.7735849056603774,218.9056603773585,163.52830188679246,169.0943396226415,257.0,25.264150943396228,55.924528301886795,59.64150943396226,-40.37735849056604,42.37735849056604,0.0,0.0,0.0,61.24528301886792,0.0,0.0,0.0,0.0,0.09433962264150944,0.0,0.018867924528301886,36.0188679245283,2.509433962264151,0.03773584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.77358490566037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.132075471698112,2.0377358490566038,0.03773584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6037735849056605,0.5094339622641509,1.2830188679245282,1.0754716981132075,61.24528301886792,69.77358490566037,1.509433962264151,1.3018867924528301,18.037735849056602,14.641509433962264,0.16981132075471697,0.018867924528301886,0.0,0.0,0.018867924528301886,0.018867924528301886,4.943396226415095,9.528301886792454,14.716981132075471,13.075471698113208,40.37735849056604,40.0377358490566,45.0377358490566,47.0377358490566,39.56603773584906,44.15094339622642,53.58490566037736,56.35849056603774,66.88679245283019,79.37735849056604,84.28301886792453,80.75471698113208,69.88679245283019,56.075471698113205,41.056603773584904,29.11320754716981,24.88679245283019,26.169811320754718,34.56603773584906,49.471698113207545,2.981132075471698,7.2075471698113205,3434.396226415094,3953.5849056603774,1.3227358540708973,0.3356792467409077,0.09433962264150944,0.0,108.16981132075472,28.30188679245283,25.18867924528302,11.283018867924529,13.981132075471699,9.226415094339623,17.867924528301888,11.830188679245284,243.1959991455078,51.99200004339218,684.0019968748093,8833,4983,4979,1094.0410072803497,7355.933017730713,6563.113007545471,35205.574120521545,38771,28444,51104,687,1111,2274,3948,6289,7974,9894,8559,5461,3101,1173,632,48524,23676,435,849,1882,3126,4253,4262,3737,2358,1327,788,376,283,23939,10.817000022623688,20.03500007337425,8,37,4,4,1.0,5,367,7,121,9
boysen_reservoir_inflow,3.611464968152866,3.611464968152866,6.464968152866242,0.31210191082802546,0.31210191082802546,2.910828025477707,27.97452229299363,5.426751592356688,61.34394904458599,56.21656050955414,80.29299363057325,157.71974522292993,31.019108280254777,34.05095541401274,44.388535031847134,-55.80891719745223,29.05095541401274,0.0,0.0,0.0,21.605095541401273,0.0,0.0,0.0,0.0,0.3885350318471338,0.0,2.5414012738853504,58.10828025477707,13.229299363057326,2.0955414012738856,0.14012738853503184,1.8535031847133758,0.0,0.0,0.0,0.0,0.0,0.03184713375796178,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.7261146496815286,0.0,1.5095541401273886,53.51592356687898,7.350318471337579,1.9554140127388535,0.2356687898089172,0.6242038216560509,0.0,0.0,0.0,0.0,0.0,0.01910828025477707,6.617834394904459,3.910828025477707,6.75796178343949,6.3949044585987265,21.605095541401273,34.0,3.9044585987261144,2.3630573248407645,68.50955414012739,61.4203821656051,4.528662420382165,2.3184713375796178,0.16560509554140126,0.2929936305732484,2.248407643312102,4.547770700636943,10.02547770700637,15.904458598726114,-48.611464968152866,14.35031847133758,-28.146496815286625,35.93630573248408,-14.910828025477707,49.52866242038217,-43.52866242038217,25.656050955414013,30.312101910828027,38.92993630573248,34.031847133757964,35.681528662420384,36.439490445859875,37.146496815286625,37.318471337579616,34.76433121019108,28.636942675159236,22.78980891719745,21.235668789808916,22.738853503184714,24.88535031847134,27.528662420382165,23.32484076433121,17.420382165605094,1562.4649681528663,2444.8407643312103,4.174579649083286,1.0223057301133682,0.2356687898089172,0.025477707006369428,266.38216560509557,100.63694267515923,70.18471337579618,33.732484076433124,44.503184713375795,30.280254777070063,48.45859872611465,32.6687898089172,779.23799957335,243.31100103165954,2263.5180032253265,17208,9636,3747,2737.0200004577637,34212.00588321686,14637.675970077515,159070.012008667,82122,55112,152123,2173,3471,7168,12240,19002,24300,28741,24723,15626,8960,3643,2090,139933,40418,607,1026,2180,3947,6435,7693,7351,5092,3041,1813,752,452,47024,40.09900040633511,478.4640041240491,8,54,12,12,11.0,13,438,6,142,3
colville_r_at_kettle_falls,1.3,1.3,1.9,0.75,0.75,1.55,4.5,8.95,0.0,99.5,103.1,176.25,65.1,58.85,61.55,-38.5,33.4,0.0,0.0,0.0,71.75,0.0,4.1,0.0,0.0,0.0,0.0,0.0,15.65,5.2,0.0,0.0,0.95,0.0,0.0,0.0,1.9,0.0,0.25,0.0,0.0,0.0,74.95,0.0,6.05,0.0,0.0,0.0,0.0,0.0,13.6,1.65,0.0,0.0,0.85,0.0,0.0,0.0,2.85,0.0,0.0,0.8,0.5,0.9,0.25,75.8,80.95,8.45,5.85,11.25,7.25,1.05,0.65,0.0,0.0,0.0,0.0,5.9,6.4,5.9,5.7,41.5,41.0,52.45,53.0,66.25,71.8,55.15,57.25,70.5,79.9,82.95,78.45,68.05,55.85,42.25,31.8,28.0,29.9,39.4,54.7,34.9,43.8,920.35,648.05,10.083199979364872,6.950449939072132,0.0,0.0,646.65,390.0,126.8,90.4,53.95,39.25,55.15,41.15,66.71300020813942,24.93199996650219,166.09200114011765,3740,1359,0,358.6479992866516,1371.2269916534424,1477.9180097579956,4925.00599193573,11227,11045,18504,192,371,878,1612,2495,3018,3619,3085,1872,904,292,169,18188,8991,127,285,712,1241,1652,1623,1434,948,517,261,105,83,9183,21.95199976861477,80.03300040960312,8,54,4,4,1.0,5,361,6,120,1
detroit_lake_inflow,0.375,0.375,1.875,0.125,0.125,2.5,21.875,5.375,0.0,156.625,144.625,508.5,55.75,248.75,245.125,58.25,37.25,0.0,0.0,0.0,98.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,98.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,1.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.875,4.125,7.5,6.75,98.625,98.375,0.0,0.0,0.5,0.625,0.0,0.0,0.125,0.0,0.0,0.0,22.0,31.75,10.75,10.75,40.625,40.0,49.0,49.375,102.375,100.625,85.0,84.625,100.0,100.0,100.0,100.0,97.625,88.75,70.125,53.25,51.0,67.375,89.875,100.0,0.0,0.0,1810.75,2019.25,0.514374999795109,0.2851250027306378,0.0,0.0,75.5,37.5,95.5,86.0,26.5,18.625,29.625,23.0,121.8610007762909,26.20300018787384,228.8630051612854,10274,108,0,308.5060043334961,780.3009834289551,1760.3700256347656,4047.159942626953,4878,15855,6639,123,185,341,528,793,1014,1224,1068,701,401,158,108,6535,5083,123,185,341,528,772,880,815,552,356,268,158,108,4996,0.45000000251457095,0.9689999944530427,5,32,4,4,1.0,5,352,7,121,2
dillon_reservoir_inflow,0.2,0.2,2.8,0.0,0.0,2.0,15.6,9.8,0.0,158.2,159.4,285.6,-10.6,91.6,96.0,-6.8,54.4,0.0,0.0,0.0,94.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.2,2.4,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.8,0.0,94.2,93.2,0.2,0.4,3.4,4.4,0.6,0.4,0.0,0.0,16.6,19.0,14.8,10.6,10.0,10.2,35.0,35.2,55.0,54.6,70.6,69.2,72.8,75.2,80.6,86.0,88.6,89.6,85.2,74.8,64.4,58.6,56.6,56.8,62.2,71.0,72.0,79.6,3739.2,4355.2,21.895799446105958,20.75420045852661,0.0,0.0,1655.0,1500.0,376.8,330.2,99.6,92.0,114.0,107.4,5.322999954223633,1.4200000017881393,20.632000207901,716,22,0,90.97799968719482,119.12899875640869,247.80399894714355,298.7450008392334,3201,3175,3536,55,81,150,260,424,571,660,564,386,228,99,57,3446,2380,40,65,129,227,350,409,409,322,211,125,58,35,2409,17.69299989938736,24.905000269412994,6,20,4,6,1.0,5,353,4,130,9
fontenelle_reservoir_inflow,0.6666666666666666,0.6666666666666666,4.395061728395062,0.037037037037037035,0.037037037037037035,1.0123456790123457,8.395061728395062,8.469135802469136,78.17283950617283,59.48148148148148,85.28395061728395,138.66666666666666,0.6049382716049383,41.925925925925924,52.96296296296296,-47.28395061728395,45.2962962962963,0.0,0.0,0.0,40.7037037037037,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.1728395061728395,38.851851851851855,17.123456790123456,0.2716049382716049,0.18518518518518517,2.580246913580247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.32098765432099,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.08641975308641975,24.54320987654321,12.0,0.4691358024691358,0.38271604938271603,1.9506172839506173,0.0,0.0,0.0,0.0,0.0,0.0,13.395061728395062,12.580246913580247,12.012345679012345,11.246913580246913,40.7037037037037,60.32098765432099,6.185185185185185,4.197530864197531,47.76543209876543,37.97530864197531,6.864197530864198,3.6666666666666665,0.09876543209876543,0.2222222222222222,2.1604938271604937,4.6419753086419755,12.222222222222221,23.962962962962962,14.617283950617283,13.358024691358025,32.592592592592595,33.098765432098766,52.65432098765432,53.333333333333336,26.555555555555557,31.77777777777778,39.02469135802469,47.876543209876544,45.160493827160494,49.17283950617284,51.148148148148145,50.53086419753087,47.382716049382715,41.72839506172839,34.0,27.938271604938272,26.48148148148148,27.753086419753085,30.765432098765434,35.54320987654321,5.432098765432099,5.506172839506172,1650.3456790123457,2491.4444444444443,1.7236789940902388,0.6581975281250054,0.0,0.0,284.8641975308642,154.320987654321,54.60493827160494,22.419753086419753,27.938271604938272,17.40740740740741,31.28395061728395,19.17283950617284,715.99899995327,322.8190014511347,1530.4999986886978,16618,7961,2660,1906.94500041008,19989.81300354004,12016.033010482788,99782.36499786377,33227,32231,69540,763,1248,2786,5208,8722,11290,13641,11787,7474,4247,1599,764,64792,23923,301,549,1298,2434,3879,4402,4295,3106,1889,1099,432,231,27516,10.835000099963509,136.08300089812838,7,37,4,6,11.0,13,438,4,130,1
green_r_bl_howard_a_hanson_dam,17.0,36.0,59.75,32.5,60.0,83.0,4.75,1.25,53.25,179.75,188.25,419.75,56.0,298.5,298.0,65.0,38.25,0.0,0.0,0.0,97.5,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,99.75,99.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25,9.5,8.0,7.5,48.5,48.5,43.25,43.5,162.0,158.75,91.25,90.25,100.0,100.0,100.0,100.0,98.75,94.0,80.5,67.0,68.25,85.0,98.75,100.0,0.0,0.0,1798.75,1809.25,0.010999999823980033,0.0182499997317791,0.0,0.0,162.5,75.0,7.25,4.5,15.25,15.5,15.75,16.25,60.41800022125244,14.240000009536743,111.91899871826172,5378,177,169,158.8509979248047,374.4319953918457,856.5839920043945,1819.381965637207,2600,8272,2905,46,77,150,245,376,448,528,460,305,164,64,41,2840,2478,46,77,150,245,369,416,412,304,208,146,64,41,2380,0.006999999983236194,0.023000000044703484,5,32,4,4,1.0,5,352,5,103,2
hungry_horse_reservoir_inflow,2.6875,3.0,5.8125,0.46875,0.5625,1.375,17.75,4.5625,43.375,186.25,196.21875,291.0,22.375,86.625,86.8125,-13.34375,47.5625,0.0,0.0,0.0,92.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.65625,0.09375,0.3125,0.03125,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.71875,0.09375,0.34375,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.84375,1.03125,0.5625,92.875,90.5625,0.25,0.21875,4.59375,7.28125,0.0,0.0,0.0,0.0,0.03125,0.0,64.9375,82.5,13.15625,13.125,38.6875,38.21875,48.03125,48.40625,48.3125,46.9375,73.875,74.125,87.5,95.65625,97.4375,94.78125,88.125,78.59375,63.96875,50.6875,47.0625,50.15625,58.90625,73.125,19.59375,21.59375,1044.71875,1274.15625,0.0877812491999066,0.0155624999642896,0.0,0.0,21.1875,0.0,2.09375,0.75,2.1875,1.03125,2.1875,1.59375,734.7370091676712,228.69399666786194,2034.9579815864563,18139,5067,3678,1270.3799977302551,10058.342956542969,13148.789047241211,78966.7904663086,21526,21348,25402,305,539,1080,1977,3238,4178,5104,4374,2560,1323,468,264,24779,17246,251,512,1043,1853,2813,3217,3116,2163,1193,650,255,180,17033,0.33600001386366785,0.5649999985471368,7,37,4,6,11.0,5,361,6,120,6
