stationId,durCode,SENSOR_NUM,sensorType,date,obsDate,value,dataFlag,units
BLD,D,2,RAIN,2005-10-1 00:00,2005-10-1 00:00,0.0, ,INCHES
BLD,D,2,RAIN,2005-10-2 00:00,2005-10-2 00:00,0.0, ,INCHES
BLD,D,2,RAIN,2005-10-3 00:00,2005-10-3 00:00,0.0, ,INCHES
BLD,D,2,RAIN,2005-10-4 00:00,2005-10-4 00:00,0.0, ,INCHES
BLD,D,2,RAIN,2005-10-5 00:00,2005-10-5 00:00,0.0, ,INCHES
BLD,D,2,RAIN,2005-10-6 00:00,2005-10-6 00:00,0.0, ,INCHES
BLD,D,2,RAIN,2005-10-7 00:00,2005-10-7 00:00,0.0, ,INCHES
BLD,D,2,RAIN,2005-10-8 00:00,2005-10-8 00:00,0.03, ,INCHES
BLD,D,2,RAIN,2005-10-9 00:00,2005-10-9 00:00,0.03, ,INCHES
BLD,D,2,RAIN,2005-10-10 00:00,2005-10-10 00:00,0.03, ,INCHES
BLD,D,2,RAIN,2005-10-11 00:00,2005-10-11 00:00,0.03, ,INCHES
BLD,D,2,RAIN,2005-10-12 00:00,2005-10-12 00:00,0.03, ,INCHES
BLD,D,2,RAIN,2005-10-13 00:00,2005-10-13 00:00,0.03, ,INCHES
BLD,D,2,RAIN,2005-10-14 00:00,2005-10-14 00:00,0.03, ,INCHES
BLD,D,2,RAIN,2005-10-15 00:00,2005-10-15 00:00,0.14, ,INCHES
BLD,D,2,RAIN,2005-10-16 00:00,2005-10-16 00:00,0.14, ,INCHES
BLD,D,2,RAIN,2005-10-17 00:00,2005-10-17 00:00,0.14, ,INCHES
BLD,D,2,RAIN,2005-10-18 00:00,2005-10-18 00:00,0.14, ,INCHES
BLD,D,2,RAIN,2005-10-19 00:00,2005-10-19 00:00,0.14, ,INCHES
BLD,D,2,RAIN,2005-10-20 00:00,2005-10-20 00:00,0.14, ,INCHES
BLD,D,2,RAIN,2005-10-21 00:00,2005-10-21 00:00,0.14, ,INCHES
BLD,D,2,RAIN,2005-10-22 00:00,2005-10-22 00:00,0.14, ,INCHES
BLD,D,2,RAIN,2005-10-23 00:00,2005-10-23 00:00,0.14, ,INCHES
BLD,D,2,RAIN,2005-10-24 00:00,2005-10-24 00:00,0.26, ,INCHES
BLD,D,2,RAIN,2005-10-25 00:00,2005-10-25 00:00,0.82, ,INCHES
BLD,D,2,RAIN,2005-10-26 00:00,2005-10-26 00:00,0.84, ,INCHES
BLD,D,2,RAIN,2005-10-27 00:00,2005-10-27 00:00,1.79, ,INCHES
BLD,D,2,RAIN,2005-10-28 00:00,2005-10-28 00:00,1.81, ,INCHES
BLD,D,2,RAIN,2005-10-29 00:00,2005-10-29 00:00,1.81, ,INCHES
BLD,D,2,RAIN,2005-10-30 00:00,2005-10-30 00:00,1.81, ,INCHES
BLD,D,2,RAIN,2005-10-31 00:00,2005-10-31 00:00,1.81, ,INCHES
BLD,D,2,RAIN,2005-11-1 00:00,2005-11-1 00:00,1.81, ,INCHES
BLD,D,2,RAIN,2005-11-2 00:00,2005-11-2 00:00,1.86, ,INCHES
BLD,D,2,RAIN,2005-11-3 00:00,2005-11-3 00:00,1.88, ,INCHES
BLD,D,2,RAIN,2005-11-4 00:00,2005-11-4 00:00,2.18, ,INCHES
BLD,D,2,RAIN,2005-11-5 00:00,2005-11-5 00:00,2.18, ,INCHES
BLD,D,2,RAIN,2005-11-6 00:00,2005-11-6 00:00,2.18, ,INCHES
BLD,D,2,RAIN,2005-11-7 00:00,2005-11-7 00:00,2.69, ,INCHES
BLD,D,2,RAIN,2005-11-8 00:00,2005-11-8 00:00,2.88, ,INCHES
BLD,D,2,RAIN,2005-11-9 00:00,2005-11-9 00:00,2.88, ,INCHES
BLD,D,2,RAIN,2005-11-10 00:00,2005-11-10 00:00,2.88, ,INCHES
BLD,D,2,RAIN,2005-11-11 00:00,2005-11-11 00:00,2.88, ,INCHES
BLD,D,2,RAIN,2005-11-12 00:00,2005-11-12 00:00,2.88, ,INCHES
BLD,D,2,RAIN,2005-11-13 00:00,2005-11-13 00:00,2.88, ,INCHES
BLD,D,2,RAIN,2005-11-14 00:00,2005-11-14 00:00,2.88, ,INCHES
BLD,D,2,RAIN,2005-11-15 00:00,2005-11-15 00:00,2.88, ,INCHES
BLD,D,2,RAIN,2005-11-16 00:00,2005-11-16 00:00,2.88, ,INCHES
BLD,D,2,RAIN,2005-11-17 00:00,2005-11-17 00:00,2.88, ,INCHES
BLD,D,2,RAIN,2005-11-18 00:00,2005-11-18 00:00,2.88, ,INCHES
BLD,D,2,RAIN,2005-11-19 00:00,2005-11-19 00:00,2.88, ,INCHES
BLD,D,2,RAIN,2005-11-20 00:00,2005-11-20 00:00,2.88, ,INCHES
BLD,D,2,RAIN,2005-11-21 00:00,2005-11-21 00:00,2.88, ,INCHES
BLD,D,2,RAIN,2005-11-22 00:00,2005-11-22 00:00,2.88, ,INCHES
BLD,D,2,RAIN,2005-11-23 00:00,2005-11-23 00:00,2.88, ,INCHES
