site_id,site_name
12362500,S F Flathead River nr Columbia Falls MT
13037500,Snake River NR Heise ID
7099400,Arkansas River above Pueblo CO
6639000,"Sweetwater River Near Alcova, WY"
6054500,Missouri River at Toston MT
9361500,"Animas River at Durango, CO"
9251000,"Yampa River Near Maybell, CO"
12301933,Kootenai River BL Libby Dam NR Libby MT
13202000,Boise River NR Boise ID
12105900,"Green River Below Howard A Hanson Dam, WA"
9109000,"Taylor River Below Taylor Park Reservoir, CO"
9050700,"Blue River Below Dillon, CO"
9080190,"Ruedi Reservoir Near Basalt, CO"
9211150,"Fontenelle Reservoir Near Fontenelle, WY"
10128500,"Weber River Near Oakley, UT"
11251000,San Joaquin R BL Friant CA 
11266500,Merced R A Pohono Bridge NR Yosemite CA
11446220,American R BL Folsom Dam NR Folsom CA 
12409000,"Colville R at Kettle Falls, WA"
12451000,"Stehekin River at Stehekin, WA"
14181500,North Santiam River at Niagara OR
9406000,"Virgin River at Virgin, UT"
6259000,"Wind River Below Boysen Reservoir, WY"
8378500,"Pecos River Near Pecos, NM"
13183000,Owyhee River Below Owyhee Dam
