,Date,Discharge cubic feet per second
0,1987-01-29,51.0
1,1987-01-30,51.0
2,1987-01-31,50.0
3,1987-02-01,49.0
4,1987-02-02,49.0
5,1987-02-03,49.0
6,1987-02-04,49.0
7,1987-02-05,49.0
8,1987-02-06,51.0
9,1987-02-07,51.0
10,1987-02-08,51.0
11,1987-02-09,53.0
12,1987-02-10,53.0
13,1987-02-11,53.0
14,1987-02-12,53.0
15,1987-02-13,53.0
16,1987-02-14,53.0
17,1987-02-15,53.0
18,1987-02-16,53.0
19,1987-02-17,53.0
20,1987-02-18,53.0
21,1987-02-19,53.0
22,1987-02-20,53.0
23,1987-02-21,53.0
24,1987-02-22,53.0
25,1987-02-23,51.0
26,1987-02-24,51.0
27,1987-02-25,53.0
28,1987-02-26,51.0
29,1987-02-27,51.0
30,1987-02-28,50.0
31,1987-03-01,49.0
32,1987-03-02,49.0
33,1987-03-03,55.0
34,1987-03-04,55.0
35,1987-03-05,55.0
36,1987-03-06,53.0
37,1987-03-07,53.0
38,1987-03-08,53.0
39,1987-03-09,53.0
40,1987-03-10,52.0
41,1987-03-11,51.0
42,1987-03-12,51.0
43,1987-03-13,53.0
44,1987-03-14,53.0
45,1987-03-15,53.0
46,1987-03-16,55.0
47,1987-03-17,55.0
48,1987-03-18,51.0
49,1987-03-19,47.0
50,1987-03-20,46.0
51,1987-03-21,48.0
52,1987-03-22,48.0
53,1987-03-23,48.0
54,1987-03-24,48.0
55,1987-03-25,46.0
56,1987-03-26,46.0
57,1987-03-27,46.0
58,1987-03-28,46.0
59,1987-03-29,46.0
60,1987-03-30,46.0
61,1987-03-31,47.0
62,1987-04-01,48.0
63,1987-04-02,48.0
64,1987-04-03,48.0
65,1987-04-04,48.0
66,1987-04-05,48.0
67,1987-04-06,48.0
68,1987-04-07,48.0
69,1987-04-08,48.0
70,1987-04-09,48.0
71,1987-04-10,48.0
72,1987-04-11,48.0
73,1987-04-12,49.0
74,1987-04-13,49.0
75,1987-04-14,50.0
76,1987-04-15,51.0
77,1987-04-16,50.0
78,1987-04-17,49.0
79,1987-04-18,49.0
80,1987-04-19,49.0
81,1987-04-20,51.0
82,1987-04-21,51.0
83,1987-04-22,51.0
84,1987-04-23,51.0
85,1987-04-24,51.0
86,1987-04-25,51.0
87,1987-04-26,50.0
88,1987-04-27,49.0
89,1987-04-28,49.0
90,1987-04-29,49.0
91,1987-04-30,49.0
92,1987-05-01,49.0
93,1987-05-02,49.0
94,1987-05-03,49.0
95,1987-05-04,49.0
96,1987-05-05,49.0
97,1987-05-06,49.0
98,1987-05-07,49.0
99,1987-05-08,51.0
100,1987-05-09,51.0
101,1987-05-10,51.0
102,1987-05-11,51.0
103,1987-05-12,51.0
104,1987-05-13,50.0
105,1987-05-14,49.0
106,1987-05-15,87.0
107,1987-05-16,340.0
108,1987-05-17,674.0
109,1987-05-18,873.0
110,1987-05-19,943.0
111,1987-05-20,965.0
112,1987-05-21,951.0
113,1987-05-22,909.0
114,1987-05-23,861.0
115,1987-05-24,832.0
116,1987-05-25,804.0
117,1987-05-26,771.0
118,1987-05-27,725.0
119,1987-05-28,693.0
120,1987-05-29,654.0
121,1987-05-30,630.0
122,1987-05-31,624.0
123,1987-06-01,642.0
124,1987-06-02,700.0
125,1987-06-03,738.0
126,1987-06-04,770.0
127,1987-06-05,811.0
128,1987-06-06,846.0
129,1987-06-07,874.0
130,1987-06-08,922.0
131,1987-06-09,992.0
132,1987-06-10,1060.0
133,1987-06-11,1060.0
134,1987-06-12,1040.0
135,1987-06-13,1010.0
136,1987-06-14,993.0
137,1987-06-15,979.0
138,1987-06-16,972.0
139,1987-06-17,951.0
140,1987-06-18,903.0
141,1987-06-19,867.0
142,1987-06-20,825.0
143,1987-06-21,784.0
144,1987-06-22,745.0
145,1987-06-23,719.0
146,1987-06-24,686.0
147,1987-06-25,654.0
148,1987-06-26,618.0
149,1987-06-27,588.0
150,1987-06-28,570.0
151,1987-06-29,564.0
152,1987-06-30,582.0
153,1987-07-01,576.0
154,1987-07-02,552.0
155,1987-07-03,513.0
156,1987-07-04,475.0
157,1987-07-05,445.0
158,1987-07-06,425.0
159,1987-07-07,395.0
160,1987-07-08,372.0
161,1987-07-09,354.0
162,1987-07-10,331.0
163,1987-07-11,309.0
164,1987-07-12,313.0
165,1987-07-13,317.0
166,1987-07-14,313.0
167,1987-07-15,295.0
168,1987-07-16,287.0
169,1987-07-17,283.0
170,1987-07-18,304.0
171,1987-07-19,304.0
172,1987-07-20,287.0
173,1987-07-21,304.0
174,1987-07-22,308.0
175,1987-07-23,275.0
176,1987-07-24,227.0
177,1987-07-25,278.0
178,1987-07-26,326.0
179,1987-07-27,326.0
180,1987-07-28,362.0
181,1987-07-29,419.0
182,1987-07-30,400.0
183,1987-07-31,390.0
184,1987-08-01,390.0
185,1987-08-02,381.0
186,1987-08-03,363.0
187,1987-08-04,331.0
188,1987-08-05,280.0
189,1987-08-06,304.0
190,1987-08-07,291.0
191,1987-08-08,287.0
192,1987-08-09,275.0
193,1987-08-10,263.0
194,1987-08-11,244.0
195,1987-08-12,251.0
196,1987-08-13,251.0
197,1987-08-14,225.0
198,1987-08-15,219.0
199,1987-08-16,219.0
200,1987-08-17,231.0
201,1987-08-18,201.0
202,1987-08-19,190.0
