,Data provided for site 07099400,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,ts_id,parameter,statistic,Description
1,253225,00010,00001,"Temperature, water, degrees Celsius"
2,17877,00010,00002,"Temperature, water, degrees Celsius"
3,17878,00010,00003,"Temperature, water, degrees Celsius"
4,17880,00060,00003,"Discharge, cubic feet per second"
5,258403,00095,00003,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius([(2)])"
6,210309,00300,00001,"Dissolved oxygen, water, unfiltered, milligrams per liter"
7,210310,00300,00002,"Dissolved oxygen, water, unfiltered, milligrams per liter"
8,210311,00300,00003,"Dissolved oxygen, water, unfiltered, milligrams per liter"
9,,,,
10,Data-value qualification codes included in this output:,,,
11,A,Approved for publication -- Processing and review completed.,,
12,Eqp,Value affected by equipment malfunction.,,
13,P,Provisional data subject to revision.,,
14,[4],Returned when there is no matching qualifier.,,
15,e,Value has been estimated.,,
