date,PREC_DAILY,SNWD_DAILY,WTEQ_DAILY
2002-10-01,0.2,0.0,0.0
2002-10-02,1.1,3.0,0.3
2002-10-03,1.1,2.0,0.2
2002-10-04,1.1,0.0,0.0
2002-10-05,1.1,0.0,0.0
2002-10-06,1.1,0.0,0.0
2002-10-07,1.1,0.0,0.0
2002-10-08,1.1,0.0,0.0
2002-10-09,1.1,0.0,0.0
2002-10-10,1.1,0.0,0.0
2002-10-11,1.1,0.0,0.0
2002-10-12,1.2,0.0,0.0
2002-10-13,1.2,0.0,0.0
2002-10-14,1.2,0.0,0.0
2002-10-15,1.2,0.0,0.0
2002-10-16,1.2,0.0,0.0
2002-10-17,1.2,0.0,0.0
2002-10-18,1.2,0.0,0.0
2002-10-19,1.2,0.0,0.0
2002-10-20,1.2,0.0,0.0
2002-10-21,1.2,0.0,0.0
2002-10-22,1.4,0.0,0.0
2002-10-23,1.4,0.0,0.0
2002-10-24,1.4,0.0,0.0
2002-10-25,1.8,0.0,0.0
2002-10-26,1.8,0.0,0.0
2002-10-27,1.8,0.0,0.0
2002-10-28,2.2,3.0,0.1
2002-10-29,2.2,0.0,0.0
2002-10-30,2.2,0.0,0.0
2002-10-31,2.2,0.0,0.0
2002-11-01,2.2,0.0,0.0
2002-11-02,2.2,0.0,0.0
2002-11-03,2.2,0.0,0.0
2002-11-04,2.4,0.0,0.0
2002-11-05,2.4,0.0,0.0
2002-11-06,2.5,0.0,0.0
2002-11-07,2.7,0.0,0.0
2002-11-08,3.0,0.0,0.0
2002-11-09,3.2,0.0,0.0
2002-11-10,3.3,0.0,0.0
2002-11-11,3.3,0.0,0.0
2002-11-12,3.4,0.0,0.0
2002-11-13,3.4,0.0,0.0
2002-11-14,3.4,0.0,0.0
2002-11-15,3.4,0.0,0.0
2002-11-16,3.4,0.0,0.0
2002-11-17,3.4,0.0,0.0
2002-11-18,3.6,0.0,0.0
2002-11-19,3.6,0.0,0.0
2002-11-20,3.7,0.0,0.0
2002-11-21,3.7,0.0,0.0
2002-11-22,3.7,0.0,0.0
2002-11-23,3.7,0.0,0.0
2002-11-24,3.7,0.0,0.0
2002-11-25,3.7,0.0,0.0
2002-11-26,3.7,0.0,0.0
2002-11-27,3.7,0.0,0.0
2002-11-28,3.7,0.0,0.0
2002-11-29,3.7,0.0,0.0
2002-11-30,3.8,2.0,0.2
2002-12-01,3.8,1.0,0.3
2002-12-02,3.8,1.0,0.2
2002-12-03,3.8,0.0,0.0
2002-12-04,3.8,0.0,0.0
2002-12-05,3.8,0.0,0.0
2002-12-06,3.8,0.0,0.0
2002-12-07,3.8,0.0,0.0
2002-12-08,3.8,0.0,0.0
2002-12-09,3.8,0.0,0.0
2002-12-10,3.8,0.0,0.0
2002-12-11,3.8,0.0,0.0
2002-12-12,3.8,0.0,0.0
2002-12-13,3.8,0.0,0.0
2002-12-14,3.9,0.0,0.0
2002-12-15,3.9,0.0,0.0
2002-12-16,4.4,3.0,0.4
2002-12-17,4.6,9.0,0.7
2002-12-18,4.6,8.0,0.7
2002-12-19,4.6,7.0,0.7
2002-12-20,4.7,9.0,0.9
2002-12-21,4.7,8.0,0.9
2002-12-22,4.7,8.0,0.9
2002-12-23,4.7,8.0,0.9
2002-12-24,4.7,9.0,0.9
2002-12-25,4.7,9.0,0.9
2002-12-26,4.9,8.0,1.2
2002-12-27,5.0,8.0,1.2
2002-12-28,5.0,8.0,1.3
2002-12-29,5.0,8.0,1.3
2002-12-30,5.1,9.0,1.4
2002-12-31,5.1,9.0,1.4
2003-01-01,5.1,9.0,1.4
2003-01-02,5.2,9.0,1.4
2003-01-03,5.2,8.0,1.4
2003-01-04,5.2,7.0,1.4
2003-01-05,5.2,8.0,1.5
2003-01-06,5.3,9.0,1.7
2003-01-07,5.3,9.0,1.7
2003-01-08,5.3,8.0,1.7
2003-01-09,5.3,8.0,1.7
2003-01-10,5.3,10.0,1.7
2003-01-11,5.3,9.0,1.7
2003-01-12,5.3,9.0,1.7
2003-01-13,5.3,9.0,1.7
2003-01-14,5.3,8.0,1.7
2003-01-15,5.3,9.0,1.7
2003-01-16,5.3,8.0,1.7
2003-01-17,5.3,8.0,1.7
2003-01-18,5.3,9.0,1.7
2003-01-19,5.3,8.0,1.7
2003-01-20,5.3,8.0,1.6
2003-01-21,5.3,8.0,1.6
2003-01-22,5.3,8.0,1.6
2003-01-23,5.3,8.0,1.6
2003-01-24,5.4,8.0,1.7
2003-01-25,5.4,8.0,1.7
2003-01-26,5.4,8.0,1.7
2003-01-27,5.4,7.0,1.7
2003-01-28,5.4,6.0,1.7
2003-01-29,5.4,7.0,1.7
2003-01-30,5.4,6.0,1.7
2003-01-31,5.4,5.0,1.7
2003-02-01,5.4,4.0,1.7
2003-02-02,5.4,14.0,1.7
2003-02-03,5.4,12.0,1.7
2003-02-04,5.4,12.0,1.7
2003-02-05,5.4,12.0,1.7
2003-02-06,5.4,11.0,1.7
2003-02-07,5.6,11.0,1.7
2003-02-08,5.8,11.0,1.7
2003-02-09,5.9,11.0,1.7
2003-02-10,6.2,10.0,1.7
2003-02-11,6.2,10.0,1.9
2003-02-12,6.7,11.0,2.6
2003-02-13,7.0,12.0,2.8
2003-02-14,7.0,12.0,2.8
2003-02-15,7.0,11.0,2.8
2003-02-16,7.1,11.0,3.0
2003-02-17,7.1,11.0,3.0
2003-02-18,7.1,12.0,3.0
2003-02-19,7.1,12.0,3.0
2003-02-20,7.1,12.0,3.0
2003-02-21,7.1,11.0,3.0
2003-02-22,7.1,12.0,3.0
2003-02-23,7.1,12.0,3.0
2003-02-24,7.2,15.0,3.7
2003-02-25,7.6,21.0,4.4
2003-02-26,7.7,24.0,4.4
2003-02-27,7.9,29.0,4.6
2003-02-28,7.9,26.0,4.6
2003-03-01,8.2,23.0,5.2
2003-03-02,8.2,26.0,5.2
2003-03-03,8.3,25.0,5.2
2003-03-04,8.3,24.0,5.2
2003-03-05,8.4,25.0,5.2
2003-03-06,8.4,23.0,5.2
2003-03-07,8.4,22.0,5.2
2003-03-08,8.4,20.0,4.7
2003-03-09,8.5,20.0,4.6
2003-03-10,8.5,18.0,4.5
2003-03-11,8.6,16.0,4.3
2003-03-12,8.6,15.0,4.2
2003-03-13,8.6,13.0,4.0
2003-03-14,8.6,11.0,4.0
2003-03-15,8.7,13.0,4.5
2003-03-16,8.8,16.0,4.6
2003-03-17,8.8,21.0,4.9
2003-03-18,8.8,19.0,4.9
2003-03-19,8.8,18.0,4.9
2003-03-20,9.0,18.0,4.9
2003-03-21,9.0,17.0,4.9
2003-03-22,9.1,15.0,4.5
2003-03-23,9.1,13.0,4.4
2003-03-24,9.1,14.0,3.8
2003-03-25,9.1,13.0,3.5
2003-03-26,9.1,12.0,2.8
2003-03-27,9.1,12.0,2.8
2003-03-28,9.1,12.0,2.8
2003-03-29,9.6,12.0,2.8
2003-03-30,9.7,10.0,2.7
2003-03-31,9.7,8.0,2.5
2003-04-01,9.7,6.0,2.0
2003-04-02,9.7,3.0,1.7
2003-04-03,9.7,5.0,1.6
2003-04-04,9.7,6.0,1.5
2003-04-05,9.7,8.0,1.1
2003-04-06,9.7,7.0,0.8
2003-04-07,9.7,6.0,0.7
2003-04-08,9.7,5.0,0.4
2003-04-09,9.7,2.0,0.2
2003-04-10,9.7,0.0,0.0
2003-04-11,9.7,0.0,0.0
2003-04-12,9.7,0.0,0.0
2003-04-13,9.7,0.0,0.0
2003-04-14,9.7,0.0,0.0
2003-04-15,9.8,0.0,0.1
2003-04-16,9.8,0.0,0.0
2003-04-17,9.8,0.0,0.0
2003-04-18,9.9,0.0,0.1
2003-04-19,10.0,1.0,0.2
2003-04-20,10.0,0.0,0.0
2003-04-21,10.0,0.0,0.0
2003-04-22,10.3,0.0,0.0
2003-04-23,10.3,0.0,0.0
2003-04-24,10.3,0.0,0.0
2003-04-25,10.3,0.0,0.0
2003-04-26,10.3,0.0,0.0
2003-04-27,10.3,0.0,0.0
2003-04-28,10.3,0.0,0.0
2003-04-29,10.3,0.0,0.0
2003-04-30,10.3,0.0,0.0
2003-05-01,10.3,0.0,0.0
2003-05-02,10.3,0.0,0.0
2003-05-03,10.7,0.0,0.0
2003-05-04,10.7,0.0,0.0
2003-05-05,10.7,0.0,0.0
2003-05-06,10.7,0.0,0.0
2003-05-07,10.9,0.0,0.0
2003-05-08,10.9,0.0,0.0
2003-05-09,11.0,0.0,0.0
2003-05-10,11.0,0.0,0.0
2003-05-11,11.0,0.0,0.0
2003-05-12,11.0,0.0,0.0
2003-05-13,11.0,0.0,0.0
2003-05-14,11.0,0.0,0.0
2003-05-15,11.6,0.0,0.0
2003-05-16,11.6,0.0,0.0
2003-05-17,11.6,0.0,0.0
2003-05-18,11.6,0.0,0.0
2003-05-19,11.6,0.0,0.0
2003-05-20,11.6,0.0,0.0
2003-05-21,11.6,0.0,0.0
2003-05-22,11.6,0.0,0.0
2003-05-23,11.6,0.0,0.0
2003-05-24,11.6,0.0,0.0
2003-05-25,11.6,0.0,0.0
2003-05-26,11.6,0.0,0.0
2003-05-27,11.6,0.0,0.0
2003-05-28,11.6,0.0,0.0
2003-05-29,11.6,0.0,0.0
2003-05-30,11.6,0.0,0.0
2003-05-31,11.7,0.0,0.0
2003-06-01,11.7,0.0,0.0
2003-06-02,11.9,0.0,0.0
2003-06-03,11.9,0.0,0.0
2003-06-04,11.9,0.0,0.0
2003-06-05,11.9,0.0,0.0
2003-06-06,11.9,0.0,0.0
2003-06-07,11.9,0.0,0.0
2003-06-08,11.9,0.0,0.0
2003-06-09,11.9,0.0,0.0
2003-06-10,11.9,0.0,0.0
2003-06-11,11.9,0.0,0.0
2003-06-12,11.9,0.0,0.0
2003-06-13,11.9,0.0,0.0
2003-06-14,11.9,0.0,0.0
2003-06-15,11.9,0.0,0.0
2003-06-16,11.9,0.0,0.0
2003-06-17,11.9,0.0,0.0
2003-06-18,11.9,0.0,0.0
2003-06-19,12.2,0.0,0.0
2003-06-20,12.2,0.0,0.0
2003-06-21,12.2,0.0,0.0
2003-06-22,12.2,0.0,0.0
2003-06-23,12.2,0.0,0.0
2003-06-24,12.2,0.0,0.0
2003-06-25,12.2,0.0,0.0
2003-06-26,12.2,0.0,0.0
2003-06-27,12.2,0.0,0.0
2003-06-28,12.2,0.0,0.0
2003-06-29,12.2,0.0,0.0
2003-06-30,12.2,0.0,0.0
2003-07-01,12.2,0.0,0.0
2003-07-02,12.2,0.0,0.0
2003-07-03,12.2,0.0,0.0
2003-07-04,12.2,0.0,0.0
2003-07-05,12.2,0.0,0.0
2003-07-06,12.2,0.0,0.0
2003-07-07,12.2,0.0,0.0
2003-07-08,12.2,0.0,0.0
2003-07-09,12.2,0.0,0.0
2003-07-10,12.2,0.0,0.0
2003-07-11,12.2,0.0,0.0
2003-07-12,12.2,0.0,0.0
2003-07-13,12.2,0.0,0.0
2003-07-14,12.2,0.0,0.0
2003-07-15,12.2,0.0,0.0
2003-07-16,12.2,0.0,0.0
2003-07-17,12.2,0.0,0.0
2003-07-18,12.2,0.0,0.0
2003-07-19,12.2,0.0,0.0
2003-07-20,12.2,0.0,0.0
2003-07-21,12.3,0.0,0.0
