stationId,durCode,SENSOR_NUM,sensorType,date,obsDate,value,dataFlag,units
LOS,D,3,SNOW WC,1987-1-8 00:00,1987-1-8 00:00,226.8, ,INCHES
LOS,D,3,SNOW WC,1987-1-9 00:00,1987-1-9 00:00,242.4, ,INCHES
LOS,D,3,SNOW WC,1987-1-10 00:00,1987-1-10 00:00,4.19, ,INCHES
LOS,D,3,SNOW WC,1987-1-11 00:00,1987-1-11 00:00,4.85, ,INCHES
LOS,D,3,SNOW WC,1987-1-12 00:00,1987-1-12 00:00,4.85, ,INCHES
LOS,D,3,SNOW WC,1987-1-13 00:00,1987-1-13 00:00,-9999.0, ,INCHES
LOS,D,3,SNOW WC,1987-1-14 00:00,1987-1-14 00:00,-9999.0, ,INCHES
LOS,D,3,SNOW WC,1987-1-15 00:00,1987-1-15 00:00,-9999.0, ,INCHES
LOS,D,3,SNOW WC,1987-1-16 00:00,1987-1-16 00:00,-9999.0, ,INCHES
LOS,D,3,SNOW WC,1987-1-17 00:00,1987-1-17 00:00,-9999.0, ,INCHES
LOS,D,3,SNOW WC,1987-1-18 00:00,1987-1-18 00:00,-9999.0, ,INCHES
LOS,D,3,SNOW WC,1987-1-19 00:00,1987-1-19 00:00,6.81, ,INCHES
LOS,D,3,SNOW WC,1987-1-20 00:00,1987-1-20 00:00,7.46, ,INCHES
LOS,D,3,SNOW WC,1987-1-21 00:00,1987-1-21 00:00,8.11, ,INCHES
LOS,D,3,SNOW WC,1987-1-22 00:00,1987-1-22 00:00,7.46, ,INCHES
LOS,D,3,SNOW WC,1987-1-23 00:00,1987-1-23 00:00,7.46, ,INCHES
LOS,D,3,SNOW WC,1987-1-24 00:00,1987-1-24 00:00,7.46, ,INCHES
LOS,D,3,SNOW WC,1987-1-25 00:00,1987-1-25 00:00,-9999.0, ,INCHES
LOS,D,3,SNOW WC,1987-1-26 00:00,1987-1-26 00:00,-9999.0, ,INCHES
LOS,D,3,SNOW WC,1987-1-27 00:00,1987-1-27 00:00,-9999.0, ,INCHES
LOS,D,3,SNOW WC,1987-1-28 00:00,1987-1-28 00:00,-9999.0, ,INCHES
