date,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY
1996-10-01,38.1,,25.2
1996-10-02,45.9,,
1996-10-03,50.0,,
1996-10-04,45.1,,
1996-10-05,40.5,,31.1
1996-10-06,43.7,,31.5
1996-10-07,42.1,,
1996-10-08,44.4,,
1996-10-09,51.4,,
1996-10-10,47.5,,
1996-10-11,43.5,,
1996-10-12,46.0,,
1996-10-13,30.9,,25.2
1996-10-14,30.4,,21.4
1996-10-15,22.3,30.6,16.5
1996-10-16,18.0,26.8,9.9
1996-10-17,29.7,,23.2
1996-10-18,22.5,37.4,18.3
1996-10-19,46.4,19.2,13.6
1996-10-20,16.9,25.2,7.2
1996-10-21,26.8,,21.7
1996-10-22,23.7,29.3,44.6
1996-10-23,37.4,31.3,21.0
1996-10-24,20.7,41.0,17.8
1996-10-25,15.1,21.0,8.1
1996-10-26,19.9,27.9,12.6
1996-10-27,33.8,,23.2
1996-10-28,9.5,28.8,0.7
1996-10-29,4.8,20.1,-4.7
1996-10-30,14.5,30.4,1.9
1996-10-31,22.6,,13.6
1996-11-01,29.8,,20.5
1996-11-02,33.8,,37.4
1996-11-03,23.5,30.7,14.7
1996-11-04,14.7,20.3,9.9
1996-11-05,17.8,23.7,11.5
1996-11-06,17.4,42.8,13.5
1996-11-07,27.0,,18.0
1996-11-08,33.3,,27.5
1996-11-09,34.2,,26.8
1996-11-10,32.4,,26.2
1996-11-11,34.3,,28.0
1996-11-12,30.4,,24.6
1996-11-13,22.5,27.1,10.2
1996-11-14,1.9,10.0,-1.3
1996-11-15,5.5,11.5,-0.4
1996-11-16,16.7,41.0,8.8
1996-11-17,42.8,25.0,16.7
1996-11-18,23.9,30.4,18.0
1996-11-19,14.9,30.4,4.6
1996-11-20,19.2,26.2,5.5
1996-11-21,26.4,31.8,17.8
1996-11-22,12.6,17.8,6.3
1996-11-23,21.6,26.2,12.6
1996-11-24,42.8,25.0,17.8
1996-11-25,15.6,20.5,10.2
1996-11-26,20.7,26.2,12.7
1996-11-27,23.9,28.6,18.0
1996-11-28,15.1,19.6,9.1
1996-11-29,12.9,18.7,7.0
1996-11-30,19.8,26.2,12.9
1996-12-01,10.0,50.0,6.3
1996-12-02,10.6,16.7,3.9
1996-12-03,9.1,19.0,2.1
1996-12-04,17.8,20.7,14.5
1996-12-05,14.4,44.6,10.6
1996-12-06,16.3,21.6,10.2
1996-12-07,28.6,,21.6
1996-12-08,31.1,,28.2
1996-12-09,33.8,,25.7
1996-12-10,17.8,26.4,12.4
1996-12-11,19.2,23.9,11.7
1996-12-12,16.0,22.6,8.2
1996-12-13,15.4,18.1,9.5
1996-12-14,50.0,18.1,55.4
1996-12-15,-0.9,9.5,-5.1
1996-12-16,-3.6,-1.8,-6.3
1996-12-17,6.6,51.8,-1.1
1996-12-18,15.1,44.6,12.6
1996-12-19,18.5,44.6,9.1
1996-12-20,6.6,8.8,2.3
1996-12-21,10.0,48.2,5.7
1996-12-22,10.0,48.2,5.7
1996-12-23,10.0,10.6,7.5
1996-12-24,-1.8,8.8,-11.4
1996-12-25,13.5,22.8,-4.5
1996-12-26,21.9,24.6,10.9
1996-12-27,10.0,51.8,7.5
1996-12-28,21.9,29.8,10.9
1996-12-29,28.8,29.8,26.4
1996-12-30,32.2,,28.0
1996-12-31,30.4,,26.4
1997-01-01,28.8,29.8,41.0
1997-01-02,21.9,28.2,12.6
1997-01-03,10.0,50.0,5.7
1997-01-04,6.6,51.8,2.3
1997-01-05,10.0,48.2,4.1
1997-01-06,18.5,21.0,16.0
1997-01-07,20.1,22.8,16.0
1997-01-08,16.7,44.6,5.7
1997-01-09,8.2,50.0,-11.4
1997-01-10,-13.9,-5.4,-16.6
1997-01-11,-8.7,0.0,-16.6
1997-01-12,11.7,24.6,-6.3
1997-01-13,18.5,28.2,12.6
1997-01-14,4.8,51.8,-8.0
1997-01-15,8.2,51.8,-1.1
1997-01-16,20.1,26.4,10.9
1997-01-17,28.8,29.8,24.6
1997-01-18,28.8,,24.6
1997-01-19,28.8,31.6,41.0
1997-01-20,20.1,22.8,14.4
1997-01-21,15.1,44.6,12.6
1997-01-22,13.5,46.4,9.1
1997-01-23,4.8,8.8,-1.1
1997-01-24,6.6,51.8,-1.1
1997-01-25,8.2,50.0,-2.9
1997-01-26,8.2,46.4,-2.9
1997-01-27,20.1,24.6,16.0
1997-01-28,21.9,24.6,17.8
1997-01-29,28.8,,41.0
1997-01-30,25.3,29.8,42.8
1997-01-31,23.5,26.4,19.6
1997-02-01,16.7,22.8,9.1
1997-02-02,15.1,24.6,9.1
1997-02-03,11.7,26.4,4.1
1997-02-04,13.5,28.2,5.7
1997-02-05,16.7,28.2,9.1
1997-02-06,18.5,,12.6
1997-02-07,20.1,,12.6
1997-02-08,16.7,26.4,9.1
1997-02-09,16.7,21.0,10.9
1997-02-10,13.5,28.2,7.5
1997-02-11,18.5,44.6,14.4
1997-02-12,16.7,44.6,14.4
1997-02-13,23.5,24.6,17.8
1997-02-14,27.0,29.8,41.0
1997-02-15,28.8,,41.0
1997-02-16,27.0,,16.0
1997-02-17,20.1,24.6,17.8
1997-02-18,21.9,26.4,16.0
1997-02-19,16.7,22.8,14.4
1997-02-20,16.7,22.8,10.9
1997-02-21,11.7,48.2,2.3
1997-02-22,11.7,44.6,-1.1
1997-02-23,20.1,,7.5
1997-02-24,21.9,28.2,14.4
1997-02-25,16.7,21.0,10.9
1997-02-26,13.5,46.4,2.3
1997-02-27,8.2,48.2,0.7
1997-02-28,15.1,44.6,9.1
1997-03-01,20.1,28.2,9.1
1997-03-02,13.5,44.6,7.5
1997-03-03,13.5,44.6,7.5
1997-03-04,16.7,44.6,9.1
1997-03-05,21.9,31.6,16.0
1997-03-06,23.5,29.8,16.0
1997-03-07,15.1,22.8,9.1
1997-03-08,21.9,28.2,9.1
1997-03-09,23.5,26.4,19.6
1997-03-10,25.3,,19.6
1997-03-11,16.7,,-4.5
1997-03-12,-3.6,7.0,-13.2
1997-03-13,60.8,48.2,-6.3
1997-03-14,15.1,26.4,-1.1
1997-03-15,30.4,,26.4
1997-03-16,27.0,,19.6
1997-03-17,33.8,,41.0
1997-03-18,38.8,,
1997-03-19,35.4,,42.8
1997-03-20,27.0,,16.0
1997-03-21,30.4,,42.8
1997-03-22,27.0,31.6,16.0
1997-03-23,20.1,26.4,14.4
1997-03-24,30.4,,16.0
1997-03-25,38.8,,31.5
1997-03-26,23.5,31.6,16.0
1997-03-27,20.1,26.4,10.9
1997-03-28,21.9,,10.9
1997-03-29,32.2,,19.6
1997-03-30,27.0,,12.6
1997-03-31,16.7,21.0,12.6
1997-04-01,20.1,,7.5
1997-04-02,27.0,,17.8
1997-04-03,13.5,21.0,7.5
1997-04-04,8.2,48.2,2.3
1997-04-05,15.1,26.4,2.3
1997-04-06,10.0,44.6,2.3
1997-04-07,16.7,,0.7
1997-04-08,11.7,22.8,2.3
1997-04-09,6.6,48.2,-1.1
1997-04-10,11.7,29.8,-4.5
1997-04-11,20.1,,5.7
1997-04-12,27.0,,14.4
1997-04-13,27.0,,42.8
1997-04-14,30.4,,16.0
1997-04-15,40.6,,26.4
1997-04-16,37.2,,28.0
1997-04-17,37.2,,26.4
1997-04-18,35.4,,29.8
1997-04-19,32.2,,41.0
1997-04-20,25.3,,19.6
1997-04-21,28.8,,19.6
1997-04-22,30.4,,19.6
1997-04-23,28.8,,24.6
1997-04-24,28.8,,42.8
1997-04-25,37.2,,42.8
1997-04-26,37.2,,42.8
1997-04-27,28.8,,19.6
1997-04-28,28.8,,42.8
1997-04-29,30.4,,41.0
1997-04-30,27.0,,42.8
1997-05-01,27.0,,42.8
1997-05-02,37.2,,19.6
1997-05-03,35.4,,26.4
1997-05-04,37.2,,24.6
1997-05-05,35.4,,26.4
1997-05-06,27.0,,19.6
1997-05-07,37.2,,19.6
1997-05-08,45.7,,29.8
1997-05-09,40.6,,26.4
1997-05-10,38.8,,41.0
1997-05-11,45.7,,28.0
1997-05-12,44.1,,
1997-05-13,44.1,,
1997-05-14,49.1,,
1997-05-15,50.9,,
1997-05-16,42.3,,26.4
1997-05-17,23.5,26.4,17.8
1997-05-18,38.8,,42.8
1997-05-19,44.1,,31.5
1997-05-20,44.1,,
1997-05-21,42.3,,
1997-05-22,40.6,,
1997-05-23,37.2,,31.5
1997-05-24,33.8,,29.8
1997-05-25,38.8,,29.8
1997-05-26,40.6,,
1997-05-27,42.3,,29.8
1997-05-28,42.3,,
1997-05-29,47.5,,
1997-05-30,47.5,,
1997-05-31,44.1,,
1997-06-01,44.1,,
1997-06-02,50.9,,
1997-06-03,55.9,,
1997-06-04,49.1,,
1997-06-05,47.5,,
1997-06-06,49.1,,
1997-06-07,44.1,,
1997-06-08,45.7,,
1997-06-09,45.7,,
1997-06-10,44.1,,
1997-06-11,44.1,,
1997-06-12,45.7,,
1997-06-13,47.5,,
1997-06-14,47.5,,
1997-06-15,45.7,,
1997-06-16,49.1,,
1997-06-17,47.5,,
1997-06-18,42.3,,
1997-06-19,40.6,,29.8
1997-06-20,45.7,,31.5
1997-06-21,45.7,,
1997-06-22,40.6,,31.5
1997-06-23,35.4,,31.5
1997-06-24,45.7,,31.5
1997-06-25,54.3,,
1997-06-26,50.0,,
1997-06-27,49.5,,
1997-06-28,43.0,,
1997-06-29,36.1,,31.3
1997-06-30,34.7,,30.4
1997-07-01,37.2,,28.6
1997-07-02,41.9,,31.6
1997-07-03,46.8,,
1997-07-04,51.3,,
1997-07-05,50.4,,
1997-07-06,50.0,,
1997-07-07,54.0,,
1997-07-08,55.4,,
1997-07-09,45.0,,
1997-07-10,43.2,,
1997-07-11,47.3,,
1997-07-12,48.4,,
1997-07-13,57.0,,
1997-07-14,59.9,,
1997-07-15,58.6,,
1997-07-16,55.2,,
1997-07-17,50.0,,
1997-07-18,50.9,,
1997-07-19,48.0,,
