date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,WTEQ_DAILY
2010-10-01,0.0,0.0,56.5,0.0
2010-10-02,0.4,0.0,53.6,0.0
2010-10-03,0.5,0.0,48.2,0.0
2010-10-04,2.0,0.0,41.7,0.0
2010-10-05,4.7,0.0,37.8,0.0
2010-10-06,4.9,0.0,37.9,0.0
2010-10-07,4.9,0.0,37.4,0.0
2010-10-08,4.9,0.0,39.6,0.0
2010-10-09,4.9,0.0,42.1,0.0
2010-10-10,4.9,0.0,44.4,0.0
2010-10-11,4.9,0.0,47.7,0.0
2010-10-12,4.9,0.0,46.6,0.0
2010-10-13,4.9,0.0,45.7,0.0
2010-10-14,4.9,0.0,47.1,0.0
2010-10-15,4.9,0.0,46.8,0.0
2010-10-16,4.9,0.0,46.6,0.0
2010-10-17,5.4,0.0,43.0,0.0
2010-10-18,5.6,0.0,38.7,0.0
2010-10-19,5.6,0.0,41.7,0.0
2010-10-20,5.7,0.0,41.9,0.0
2010-10-21,5.7,0.0,38.3,0.0
2010-10-22,5.9,0.0,36.0,0.0
2010-10-23,6.2,0.0,35.6,0.0
2010-10-24,6.2,0.0,37.6,0.0
2010-10-25,6.2,0.0,30.7,0.0
2010-10-26,6.2,0.0,27.9,0.0
2010-10-27,6.3,0.0,28.2,0.0
2010-10-28,6.3,0.0,37.6,0.0
2010-10-29,6.4,0.0,41.5,0.0
2010-10-30,6.4,0.0,34.2,0.0
2010-10-31,6.5,0.0,35.1,0.0
2010-11-01,6.5,0.0,40.6,0.0
2010-11-02,6.5,0.0,51.1,0.0
2010-11-03,6.5,0.0,49.6,0.0
2010-11-04,6.5,0.0,47.1,0.0
2010-11-05,6.5,0.0,46.8,0.0
2010-11-06,6.5,0.0,40.5,0.0
2010-11-07,6.5,0.0,38.5,0.0
2010-11-08,7.2,6.0,29.5,0.9
2010-11-09,7.2,5.0,20.7,0.8
2010-11-10,7.4,7.0,23.9,1.0
2010-11-11,7.4,7.0,22.5,1.2
2010-11-12,7.4,6.0,29.7,1.1
2010-11-13,7.4,5.0,27.9,1.1
2010-11-14,7.5,5.0,29.7,1.2
2010-11-15,7.5,5.0,30.9,1.2
2010-11-16,7.5,5.0,33.8,1.2
2010-11-17,7.5,5.0,32.4,1.2
2010-11-18,7.5,5.0,34.9,1.2
2010-11-19,7.5,5.0,33.4,1.2
2010-11-20,8.9,14.0,29.5,2.7
2010-11-21,10.9,30.0,21.9,5.1
2010-11-22,10.9,27.0,14.9,5.1
2010-11-23,11.4,30.0,16.2,5.5
2010-11-24,11.4,30.0,10.8,5.5
2010-11-25,11.4,29.0,15.6,5.5
2010-11-26,11.4,27.0,27.7,5.5
2010-11-27,11.4,27.0,24.8,5.5
2010-11-28,12.7,49.0,15.3,7.0
2010-11-29,12.7,41.0,10.6,7.0
2010-11-30,12.7,37.0,27.7,7.0
2010-12-01,12.7,35.0,33.8,7.0
2010-12-02,12.8,33.0,34.9,7.0
2010-12-03,12.8,31.0,35.4,7.0
2010-12-04,12.8,30.0,33.4,6.9
2010-12-05,12.8,29.0,33.4,6.9
2010-12-06,13.4,33.0,32.0,7.6
2010-12-07,13.5,32.0,30.6,7.6
2010-12-08,13.6,31.0,35.8,7.6
2010-12-09,13.6,30.0,36.9,7.6
2010-12-10,13.6,29.0,35.4,7.6
2010-12-11,13.6,28.0,32.4,7.6
2010-12-12,13.6,28.0,38.3,7.5
2010-12-13,13.6,27.0,40.1,7.4
2010-12-14,13.6,26.0,35.4,7.4
2010-12-15,13.6,27.0,29.7,7.5
2010-12-16,13.7,28.0,26.1,7.5
2010-12-17,13.9,30.0,24.1,7.8
2010-12-18,14.6,31.0,31.1,8.6
2010-12-19,17.9,41.0,33.3,12.4
2010-12-20,20.4,58.0,32.0,17.3
2010-12-21,24.5,75.0,30.7,20.3
2010-12-22,27.3,86.0,30.6,23.0
2010-12-23,27.5,85.0,26.4,23.3
2010-12-24,27.5,81.0,25.5,23.3
2010-12-25,27.5,75.0,27.0,23.3
2010-12-26,28.0,82.0,25.7,23.8
2010-12-27,28.0,80.0,23.5,23.8
2010-12-28,28.0,77.0,25.9,23.8
2010-12-29,29.6,93.0,21.0,25.5
2010-12-30,29.6,87.0,1.9,25.5
2010-12-31,29.6,86.0,-1.7,25.5
2011-01-01,29.6,83.0,13.8,25.5
2011-01-02,29.6,82.0,20.3,25.5
2011-01-03,29.6,81.0,18.0,25.5
2011-01-04,29.6,80.0,19.2,25.5
2011-01-05,29.6,80.0,27.3,25.5
2011-01-06,29.6,78.0,30.6,25.5
2011-01-07,29.6,77.0,29.5,25.5
2011-01-08,29.6,76.0,29.7,25.5
2011-01-09,29.6,75.0,20.3,25.5
2011-01-10,29.6,76.0,6.1,25.5
2011-01-11,29.6,75.0,19.9,25.5
2011-01-12,29.6,74.0,28.8,25.5
2011-01-13,29.6,73.0,34.2,25.5
2011-01-14,29.6,73.0,30.7,25.5
2011-01-15,29.6,72.0,34.7,25.5
