date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,WTEQ_DAILY
2010-10-01,0.0,0.0,57.9,0.0
2010-10-02,0.0,0.0,57.7,0.0
2010-10-03,0.0,0.0,57.7,0.0
2010-10-04,0.0,0.0,49.6,0.0
2010-10-05,0.4,0.0,45.3,0.0
2010-10-06,1.1,0.0,44.2,0.0
2010-10-07,1.6,0.0,42.4,0.0
2010-10-08,1.8,0.0,39.2,0.0
2010-10-09,1.8,0.0,41.9,0.0
2010-10-10,1.8,0.0,43.9,0.0
2010-10-11,1.8,0.0,46.6,0.0
2010-10-12,1.8,0.0,43.2,0.0
2010-10-13,1.8,0.0,43.0,0.0
2010-10-14,1.8,0.0,45.9,0.0
2010-10-15,1.8,0.0,48.7,0.0
2010-10-16,1.8,0.0,47.1,0.0
2010-10-17,1.9,0.0,46.0,0.0
2010-10-18,2.1,0.0,40.1,0.0
2010-10-19,2.1,0.0,40.1,0.0
2010-10-20,2.1,0.0,43.0,0.0
2010-10-21,2.1,0.0,44.6,0.0
2010-10-22,2.1,0.0,41.0,0.0
2010-10-23,2.4,0.0,40.1,0.0
2010-10-24,3.9,1.0,36.7,0.2
2010-10-25,4.5,2.0,30.6,0.5
2010-10-26,4.5,2.0,26.6,0.5
2010-10-27,4.5,2.0,26.8,0.5
2010-10-28,4.5,2.0,31.6,0.5
2010-10-29,4.5,1.0,37.9,0.4
2010-10-30,4.6,1.0,38.1,0.3
2010-10-31,4.6,1.0,35.1,0.2
2010-11-01,4.6,1.0,35.4,0.4
2010-11-02,4.6,1.0,41.5,0.4
2010-11-03,4.6,1.0,41.4,0.4
2010-11-04,4.6,1.0,41.2,0.3
2010-11-05,4.6,1.0,43.0,0.3
2010-11-06,4.6,1.0,42.8,0.3
2010-11-07,4.6,1.0,38.7,0.3
2010-11-08,5.1,2.0,33.6,0.8
2010-11-09,5.5,3.0,25.3,0.8
2010-11-10,5.6,4.0,19.4,0.8
2010-11-11,5.6,4.0,21.4,0.8
2010-11-12,5.6,4.0,22.5,0.8
2010-11-13,5.6,4.0,23.2,0.9
2010-11-14,5.7,3.0,28.2,1.1
2010-11-15,5.7,4.0,30.7,1.1
2010-11-16,5.7,5.0,28.8,1.1
2010-11-17,5.7,5.0,26.2,1.1
2010-11-18,5.7,4.0,29.1,1.1
2010-11-19,5.7,4.0,29.5,1.1
2010-11-20,6.2,9.0,30.2,1.8
2010-11-21,6.7,12.0,24.1,2.1
2010-11-22,7.0,12.0,15.1,2.4
2010-11-23,7.8,23.0,18.0,2.9
2010-11-24,7.8,18.0,0.5,2.9
2010-11-25,7.8,17.0,1.6,2.9
2010-11-26,7.8,15.0,15.6,2.9
2010-11-27,7.8,14.0,19.8,2.9
2010-11-28,7.9,15.0,20.1,2.9
2010-11-29,7.9,14.0,15.6,2.9
2010-11-30,7.9,13.0,12.9,2.9
2010-12-01,7.9,13.0,23.2,3.0
2010-12-02,7.9,12.0,28.9,3.0
2010-12-03,7.9,13.0,34.5,3.0
2010-12-04,7.9,12.0,32.9,3.0
2010-12-05,8.0,12.0,30.9,3.0
2010-12-06,8.1,11.0,27.3,3.1
2010-12-07,8.1,13.0,26.4,3.1
2010-12-08,8.1,13.0,28.6,3.1
2010-12-09,8.1,13.0,31.3,3.1
2010-12-10,8.3,15.0,28.8,3.3
2010-12-11,8.3,14.0,26.8,3.3
2010-12-12,8.3,14.0,28.4,3.3
2010-12-13,8.3,14.0,33.3,3.3
2010-12-14,8.3,14.0,31.6,3.3
2010-12-15,8.6,15.0,24.3,3.5
2010-12-16,8.6,15.0,14.0,3.5
2010-12-17,8.6,14.0,11.5,3.5
2010-12-18,8.8,19.0,25.0,3.8
2010-12-19,10.6,33.0,30.4,5.9
2010-12-20,11.6,38.0,27.3,6.8
2010-12-21,12.2,43.0,25.5,7.5
2010-12-22,13.2,44.0,31.5,8.2
2010-12-23,13.2,40.0,30.6,8.2
2010-12-24,13.2,39.0,22.6,8.0
2010-12-25,13.2,38.0,24.4,7.9
2010-12-26,13.2,37.0,22.5,7.9
2010-12-27,13.3,35.0,16.7,7.9
2010-12-28,13.3,35.0,16.5,7.9
2010-12-29,13.6,40.0,21.4,8.3
2010-12-30,13.6,40.0,9.9,8.3
2010-12-31,13.6,39.0,-11.7,8.3
2011-01-01,13.6,38.0,-6.0,8.3
