date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,WTEQ_DAILY
2010-10-01,0.0,0.0,55.8,0.0
2010-10-02,0.0,0.0,54.5,0.0
2010-10-03,0.1,0.0,50.7,0.0
2010-10-04,1.3,0.0,45.0,0.0
2010-10-05,4.1,0.0,43.2,0.0
2010-10-06,4.8,0.0,43.0,0.0
2010-10-07,4.8,0.0,43.7,0.0
2010-10-08,4.8,0.0,40.8,0.0
2010-10-09,4.8,0.0,45.1,0.0
2010-10-10,4.8,0.0,47.5,0.0
2010-10-11,4.8,0.0,49.5,0.0
2010-10-12,4.8,0.0,49.3,0.0
2010-10-13,4.8,0.0,44.4,0.0
2010-10-14,4.8,0.0,45.9,0.0
2010-10-15,4.9,0.0,46.8,0.0
2010-10-16,4.9,0.0,47.3,0.0
2010-10-17,5.5,0.0,45.1,0.0
2010-10-18,5.9,0.0,42.8,0.0
2010-10-19,5.9,0.0,42.8,0.0
2010-10-20,5.9,0.0,45.3,0.0
2010-10-21,6.1,0.0,41.5,0.0
2010-10-22,6.3,0.0,39.0,0.0
2010-10-23,6.3,0.0,39.6,0.0
2010-10-24,6.3,0.0,42.8,0.0
2010-10-25,6.3,0.0,36.5,0.0
2010-10-26,6.3,0.0,32.9,0.0
2010-10-27,6.3,0.0,29.7,0.0
2010-10-28,6.3,0.0,34.7,0.0
2010-10-29,6.3,0.0,42.4,0.0
2010-10-30,6.4,0.0,38.8,0.0
2010-10-31,6.4,0.0,37.4,0.0
2010-11-01,6.4,0.0,41.0,0.0
2010-11-02,6.4,0.0,47.1,0.0
2010-11-03,6.4,0.0,45.5,0.0
2010-11-04,6.4,0.0,42.4,0.0
2010-11-05,6.4,0.0,42.6,0.0
2010-11-06,6.4,0.0,38.3,0.0
2010-11-07,6.4,0.0,43.7,0.0
2010-11-08,6.9,0.0,35.8,0.0
2010-11-09,6.9,0.0,25.7,0.0
2010-11-10,6.9,0.0,25.2,0.0
2010-11-11,6.9,0.0,27.3,0.0
2010-11-12,6.9,0.0,29.7,0.0
2010-11-13,6.9,0.0,30.9,0.0
2010-11-14,6.9,0.0,33.1,0.0
2010-11-15,6.9,0.0,35.4,0.0
2010-11-16,6.9,0.0,35.8,0.0
2010-11-17,6.9,0.0,30.9,0.0
2010-11-18,6.9,0.0,37.2,0.0
2010-11-19,6.9,0.0,40.1,0.0
2010-11-20,7.3,1.0,35.6,0.8
2010-11-21,9.0,15.0,27.9,2.9
2010-11-22,9.0,12.0,19.4,2.9
2010-11-23,9.0,12.0,22.5,2.9
2010-11-24,9.1,13.0,14.0,3.0
2010-11-25,9.1,11.0,7.2,3.0
2010-11-26,9.1,12.0,16.2,3.0
2010-11-27,9.2,13.0,22.8,3.1
2010-11-28,9.2,13.0,22.5,3.0
2010-11-29,9.2,6.0,15.3,3.0
2010-11-30,9.2,7.0,15.3,2.8
2010-12-01,9.2,7.0,28.8,2.8
2010-12-02,9.2,6.0,32.7,2.8
2010-12-03,9.2,6.0,40.5,2.7
2010-12-04,9.2,6.0,32.9,2.7
2010-12-05,9.2,6.0,29.3,2.7
2010-12-06,9.4,7.0,32.7,2.9
2010-12-07,9.4,6.0,27.3,2.9
2010-12-08,9.4,6.0,29.8,2.9
2010-12-09,9.4,6.0,32.4,2.9
2010-12-10,9.4,5.0,36.1,2.9
2010-12-11,9.4,6.0,33.6,2.9
2010-12-12,9.4,6.0,33.6,2.9
2010-12-13,9.4,5.0,34.7,2.9
2010-12-14,9.4,4.0,39.9,2.9
2010-12-15,9.4,5.0,34.7,2.8
2010-12-16,9.5,6.0,27.9,2.8
2010-12-17,9.6,7.0,27.5,3.0
2010-12-18,9.8,7.0,34.0,3.4
2010-12-19,11.7,6.0,36.7,3.5
2010-12-20,14.5,10.0,35.4,4.7
2010-12-21,16.4,21.0,34.3,6.6
2010-12-22,18.0,28.0,33.8,8.5
2010-12-23,18.4,24.0,32.5,8.4
2010-12-24,18.4,25.0,27.9,8.4
2010-12-25,18.4,24.0,26.4,8.4
2010-12-26,18.6,27.0,26.8,8.5
2010-12-27,18.7,26.0,21.7,8.6
2010-12-28,18.8,25.0,19.8,9.0
2010-12-29,20.0,37.0,26.2,10.2
2010-12-30,20.0,31.0,6.3,10.2
2010-12-31,20.0,31.0,-7.2,10.2
2011-01-01,20.0,30.0,-4.7,10.2
2011-01-02,20.0,29.0,13.6,10.2
2011-01-03,20.0,30.0,20.8,10.2
2011-01-04,20.0,30.0,14.4,10.2
2011-01-05,20.0,29.0,14.0,10.2
2011-01-06,20.0,29.0,20.1,10.2
2011-01-07,20.0,29.0,20.3,10.2
2011-01-08,20.0,28.0,23.0,10.2
2011-01-09,20.0,28.0,23.5,10.2
2011-01-10,20.0,29.0,5.5,10.2
2011-01-11,20.0,29.0,8.8,10.2
2011-01-12,20.0,28.0,21.0,10.2
2011-01-13,20.1,27.0,26.2,10.2
2011-01-14,20.1,27.0,33.8,10.2
2011-01-15,20.1,27.0,30.2,10.2
2011-01-16,20.1,26.0,34.7,10.2
2011-01-17,20.1,25.0,39.4,10.2
2011-01-18,20.1,25.0,32.0,10.0
2011-01-19,20.1,25.0,30.0,10.0
2011-01-20,20.1,25.0,25.2,10.0
2011-01-21,20.1,25.0,30.0,10.0
2011-01-22,20.1,25.0,28.2,10.0
2011-01-23,20.1,25.0,23.4,10.0
2011-01-24,20.1,25.0,26.4,10.0
2011-01-25,20.1,25.0,26.8,10.0
2011-01-26,20.1,25.0,28.4,10.0
2011-01-27,20.1,26.0,29.3,10.0
2011-01-28,20.1,25.0,28.4,9.9
2011-01-29,20.1,25.0,29.5,9.8
2011-01-30,20.1,25.0,29.7,9.8
2011-01-31,20.1,25.0,22.8,9.8
2011-02-01,20.2,26.0,8.8,9.8
2011-02-02,20.2,25.0,3.4,9.8
2011-02-03,20.2,25.0,16.7,9.8
2011-02-04,20.2,24.0,30.7,9.8
2011-02-05,20.2,24.0,35.1,9.8
