date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2010-10-01,0.0,0.0,52.5,64.2,44.4,0.0
2010-10-02,0.0,0.0,59.9,72.7,45.1,0.0
2010-10-03,0.0,0.0,66.4,76.5,58.5,0.0
2010-10-04,0.1,0.0,58.1,65.3,49.1,0.0
2010-10-05,0.5,0.0,44.6,50.7,40.6,0.0
2010-10-06,0.5,0.0,49.6,61.7,40.1,0.0
2010-10-07,0.5,0.0,52.7,61.5,45.9,0.0
2010-10-08,0.5,0.0,46.0,50.0,43.0,0.0
2010-10-09,0.5,0.0,48.6,59.9,42.1,0.0
2010-10-10,0.5,0.0,50.9,57.0,45.5,0.0
2010-10-11,0.8,0.0,39.7,48.7,31.6,0.0
2010-10-12,0.8,0.0,39.6,49.5,28.9,0.0
2010-10-13,0.8,0.0,49.3,59.0,43.5,0.0
2010-10-14,0.8,0.0,54.1,64.9,45.9,0.0
2010-10-15,0.8,0.0,47.8,59.7,32.2,0.0
2010-10-16,0.8,0.0,38.8,48.0,30.2,0.0
2010-10-17,0.8,0.0,42.1,50.2,36.0,0.0
2010-10-18,0.8,0.0,40.8,51.3,32.9,0.0
2010-10-19,0.8,0.0,45.1,55.0,36.1,0.0
2010-10-20,0.8,0.0,48.2,61.0,39.2,0.0
2010-10-21,0.8,0.0,51.1,62.2,43.7,0.0
2010-10-22,0.8,0.0,50.0,59.5,43.9,0.0
2010-10-23,0.8,0.0,44.8,53.2,38.1,0.0
2010-10-24,1.5,0.0,37.6,40.6,32.7,0.0
2010-10-25,1.7,2.0,31.3,36.0,29.1,0.1
2010-10-26,1.9,3.0,28.4,32.9,27.0,0.2
2010-10-27,1.9,2.0,30.6,38.5,27.0,0.2
2010-10-28,1.9,2.0,37.8,45.5,28.0,0.3
2010-10-29,1.9,2.0,39.9,45.3,34.3,0.3
2010-10-30,1.9,0.0,41.4,52.3,32.7,0.0
2010-10-31,2.0,0.0,37.2,43.2,31.3,0.0
2010-11-01,2.0,0.0,40.6,47.5,31.3,0.0
2010-11-02,2.0,0.0,45.0,50.7,37.6,0.0
2010-11-03,2.0,0.0,39.7,49.8,32.5,0.0
2010-11-04,2.0,0.0,46.4,57.6,35.6,0.0
2010-11-05,2.0,0.0,50.7,59.4,42.1,0.0
2010-11-06,2.0,0.0,50.4,56.5,44.2,0.0
2010-11-07,2.0,0.0,47.8,55.0,41.4,0.0
2010-11-08,2.8,9.0,32.5,41.2,26.6,0.8
2010-11-09,3.1,8.0,26.4,35.4,20.1,0.8
2010-11-10,3.1,6.0,22.8,30.0,17.2,0.7
2010-11-11,3.1,6.0,23.4,29.7,16.0,0.7
2010-11-12,3.1,5.0,28.4,34.2,23.2,0.7
2010-11-13,3.2,6.0,26.8,35.2,22.6,0.8
2010-11-14,3.2,6.0,31.1,36.1,26.2,0.9
2010-11-15,3.4,7.0,32.9,38.1,31.5,1.2
2010-11-16,4.0,11.0,21.0,35.2,9.5,1.7
2010-11-17,4.1,11.0,27.7,34.5,13.1,1.8
2010-11-18,4.2,11.0,28.4,37.2,19.8,1.8
2010-11-19,4.4,13.0,19.0,26.2,13.3,1.8
2010-11-20,4.8,14.0,0.5,13.3,-9.6,2.1
2010-11-21,4.8,13.0,5.2,26.8,-8.3,2.1
