datetime,00060_2_Mean,00060_2_Mean_cd,site_no,00060_Mean,00060_Mean_cd
1985-10-01 00:00:00+00:00,79.3,A,13214000,79.0,A
1985-10-02 00:00:00+00:00,74.9,A,13214000,75.0,A
1985-10-03 00:00:00+00:00,79.8,A,13214000,80.0,A
1985-10-04 00:00:00+00:00,80.0,A,13214000,80.0,A
1985-10-05 00:00:00+00:00,78.0,A,13214000,78.0,A
1985-10-06 00:00:00+00:00,76.1,A,13214000,76.0,A
1985-10-07 00:00:00+00:00,75.4,A,13214000,75.0,A
1985-10-08 00:00:00+00:00,79.9,A,13214000,80.0,A
1985-10-09 00:00:00+00:00,76.9,A,13214000,77.0,A
1985-10-10 00:00:00+00:00,75.7,A,13214000,76.0,A
1985-10-11 00:00:00+00:00,84.7,A,13214000,85.0,A
1985-10-12 00:00:00+00:00,84.5,A,13214000,84.0,A
1985-10-13 00:00:00+00:00,88.4,A,13214000,88.0,A
1985-10-14 00:00:00+00:00,85.5,A,13214000,86.0,A
1985-10-15 00:00:00+00:00,84.9,A,13214000,85.0,A
1985-10-16 00:00:00+00:00,80.4,A,13214000,80.0,A
1985-10-17 00:00:00+00:00,78.0,A,13214000,78.0,A
1985-10-18 00:00:00+00:00,78.0,A,13214000,78.0,A
1985-10-19 00:00:00+00:00,84.1,A,13214000,84.0,A
1985-10-20 00:00:00+00:00,78.4,A,13214000,78.0,A
1985-10-21 00:00:00+00:00,86.0,A,13214000,86.0,A
1985-10-22 00:00:00+00:00,85.3,A,13214000,85.0,A
1985-10-23 00:00:00+00:00,97.7,A,13214000,98.0,A
1985-10-24 00:00:00+00:00,105.0,A,13214000,105.0,A
1985-10-25 00:00:00+00:00,109.0,A,13214000,109.0,A
1985-10-26 00:00:00+00:00,100.0,A,13214000,100.0,A
1985-10-27 00:00:00+00:00,96.2,A,13214000,96.0,A
1985-10-28 00:00:00+00:00,91.7,A,13214000,92.0,A
1985-10-29 00:00:00+00:00,89.2,A,13214000,89.0,A
1985-10-30 00:00:00+00:00,87.0,A,13214000,87.0,A
1985-10-31 00:00:00+00:00,86.1,A,13214000,86.0,A
1985-11-01 00:00:00+00:00,85.7,A,13214000,86.0,A
1985-11-02 00:00:00+00:00,86.7,A,13214000,87.0,A
1985-11-03 00:00:00+00:00,86.0,A,13214000,86.0,A
1985-11-04 00:00:00+00:00,86.0,A,13214000,86.0,A
1985-11-05 00:00:00+00:00,85.3,A,13214000,85.0,A
1985-11-06 00:00:00+00:00,89.8,A,13214000,90.0,A
1985-11-07 00:00:00+00:00,89.1,A,13214000,89.0,A
1985-11-08 00:00:00+00:00,96.3,A,13214000,96.0,A
1985-11-09 00:00:00+00:00,102.0,A,13214000,102.0,A
1985-11-10 00:00:00+00:00,98.8,A,13214000,99.0,A
1985-11-11 00:00:00+00:00,84.1,A,13214000,84.0,A
1985-11-12 00:00:00+00:00,74.4,A,13214000,74.0,A
1985-11-13 00:00:00+00:00,74.8,A,13214000,75.0,A
1985-11-14 00:00:00+00:00,75.0,A,13214000,75.0,A
1985-11-15 00:00:00+00:00,79.9,A,13214000,80.0,A
1985-11-16 00:00:00+00:00,81.5,A,13214000,82.0,A
1985-11-17 00:00:00+00:00,99.2,A,13214000,99.0,A
1985-11-18 00:00:00+00:00,83.7,A,13214000,84.0,A
1985-11-19 00:00:00+00:00,87.4,A,13214000,87.0,A
1985-11-20 00:00:00+00:00,82.2,A,13214000,82.0,A
1985-11-21 00:00:00+00:00,88.6,A,13214000,89.0,A
1985-11-22 00:00:00+00:00,82.0,A,13214000,82.0,A
1985-11-23 00:00:00+00:00,75.0,A,13214000,75.0,A
1985-11-24 00:00:00+00:00,69.0,A,13214000,69.0,A
1985-11-25 00:00:00+00:00,74.8,A,13214000,75.0,A
1985-11-26 00:00:00+00:00,85.4,A,13214000,85.0,A
1985-11-27 00:00:00+00:00,95.6,A,13214000,96.0,A
1985-11-28 00:00:00+00:00,98.6,A,13214000,99.0,A
1985-11-29 00:00:00+00:00,92.0,A,13214000,92.0,A
1985-11-30 00:00:00+00:00,92.0,A,13214000,92.0,A
1985-12-01 00:00:00+00:00,104.0,A,13214000,104.0,A
1985-12-02 00:00:00+00:00,108.0,A,13214000,108.0,A
1985-12-03 00:00:00+00:00,104.0,A,13214000,104.0,A
1985-12-04 00:00:00+00:00,101.0,A,13214000,101.0,A
1985-12-05 00:00:00+00:00,98.4,A,13214000,98.0,A
1985-12-06 00:00:00+00:00,95.6,A,13214000,96.0,A
1985-12-07 00:00:00+00:00,96.6,A,13214000,97.0,A
1985-12-08 00:00:00+00:00,95.0,A,13214000,95.0,A
1985-12-09 00:00:00+00:00,91.8,A,13214000,92.0,A
1985-12-10 00:00:00+00:00,82.0,A,13214000,82.0,A
1985-12-11 00:00:00+00:00,68.0,A,13214000,68.0,A
1985-12-12 00:00:00+00:00,74.0,A,13214000,74.0,A
1985-12-13 00:00:00+00:00,82.0,A,13214000,82.0,A
1985-12-14 00:00:00+00:00,82.0,A,13214000,82.0,A
1985-12-15 00:00:00+00:00,91.0,A,13214000,91.0,A
1985-12-16 00:00:00+00:00,90.0,A,13214000,90.0,A
1985-12-17 00:00:00+00:00,88.0,A,13214000,88.0,A
1985-12-18 00:00:00+00:00,88.0,A,13214000,88.0,A
1985-12-19 00:00:00+00:00,82.0,A,13214000,82.0,A
1985-12-20 00:00:00+00:00,77.0,A,13214000,77.0,A
1985-12-21 00:00:00+00:00,78.0,A,13214000,78.0,A
1985-12-22 00:00:00+00:00,79.0,A,13214000,79.0,A
1985-12-23 00:00:00+00:00,80.0,A,13214000,80.0,A
1985-12-24 00:00:00+00:00,84.0,A,13214000,84.0,A
1985-12-25 00:00:00+00:00,83.0,A,13214000,83.0,A
1985-12-26 00:00:00+00:00,77.0,A,13214000,77.0,A
1985-12-27 00:00:00+00:00,75.0,A,13214000,75.0,A
1985-12-28 00:00:00+00:00,79.0,A,13214000,79.0,A
1985-12-29 00:00:00+00:00,79.0,A,13214000,79.0,A
1985-12-30 00:00:00+00:00,85.0,A,13214000,85.0,A
1985-12-31 00:00:00+00:00,87.0,A,13214000,87.0,A
1986-01-01 00:00:00+00:00,110.0,A,13214000,110.0,A
1986-01-02 00:00:00+00:00,120.0,A,13214000,120.0,A
1986-01-03 00:00:00+00:00,118.0,A,13214000,118.0,A
1986-01-04 00:00:00+00:00,108.0,A,13214000,108.0,A
1986-01-05 00:00:00+00:00,117.0,A,13214000,117.0,A
1986-01-06 00:00:00+00:00,125.0,A,13214000,125.0,A
1986-01-07 00:00:00+00:00,115.0,A,13214000,115.0,A
1986-01-08 00:00:00+00:00,110.0,A,13214000,110.0,A
1986-01-09 00:00:00+00:00,125.0,A,13214000,125.0,A
1986-01-10 00:00:00+00:00,120.0,A,13214000,120.0,A
1986-01-11 00:00:00+00:00,112.0,A,13214000,112.0,A
1986-01-12 00:00:00+00:00,110.0,A,13214000,110.0,A
1986-01-13 00:00:00+00:00,110.0,A,13214000,110.0,A
1986-01-14 00:00:00+00:00,110.0,A,13214000,110.0,A
1986-01-15 00:00:00+00:00,118.0,A,13214000,118.0,A
1986-01-16 00:00:00+00:00,130.0,A,13214000,130.0,A
1986-01-17 00:00:00+00:00,202.0,A,13214000,202.0,A
1986-01-18 00:00:00+00:00,146.0,A,13214000,146.0,A
1986-01-19 00:00:00+00:00,129.0,A,13214000,129.0,A
1986-01-20 00:00:00+00:00,119.0,A,13214000,119.0,A
1986-01-21 00:00:00+00:00,118.0,A,13214000,118.0,A
1986-01-22 00:00:00+00:00,113.0,A,13214000,113.0,A
1986-01-23 00:00:00+00:00,109.0,A,13214000,109.0,A
1986-01-24 00:00:00+00:00,107.0,A,13214000,107.0,A
1986-01-25 00:00:00+00:00,106.0,A,13214000,106.0,A
1986-01-26 00:00:00+00:00,102.0,A,13214000,102.0,A
1986-01-27 00:00:00+00:00,99.8,A,13214000,100.0,A
1986-01-28 00:00:00+00:00,97.8,A,13214000,98.0,A
1986-01-29 00:00:00+00:00,98.6,A,13214000,99.0,A
