date,PREC_DAILY
1980-10-01,0.0
1980-10-02,0.0
1980-10-03,0.0
1980-10-04,0.0
1980-10-05,0.0
1980-10-06,0.0
1980-10-07,0.0
1980-10-08,0.0
1980-10-09,0.0
1980-10-10,0.0
1980-10-11,0.0
1980-10-12,0.0
1980-10-13,0.2
1980-10-14,0.4
1980-10-15,0.4
1980-10-16,0.4
1980-10-17,0.5
1980-10-18,0.5
1980-10-19,0.5
1980-10-20,0.5
1980-10-21,0.5
1980-10-22,0.5
1980-10-23,0.5
1980-10-24,0.5
1980-10-25,0.8
1980-10-26,1.2
1980-10-27,1.2
1980-10-28,1.2
1980-10-29,1.3
1980-10-30,1.4
1980-10-31,1.5
1980-11-01,1.5
1980-11-02,1.5
1980-11-03,1.5
1980-11-04,1.5
1980-11-05,1.5
1980-11-06,1.5
1980-11-07,2.1
1980-11-08,2.1
1980-11-09,2.1
1980-11-10,2.3
1980-11-11,2.4
1980-11-12,2.4
1980-11-13,2.4
1980-11-14,2.4
1980-11-15,2.4
1980-11-16,2.5
1980-11-17,2.6
1980-11-18,2.6
1980-11-19,2.6
1980-11-20,2.6
1980-11-21,2.7
1980-11-22,2.7
1980-11-23,2.7
1980-11-24,2.7
1980-11-25,2.7
1980-11-26,2.8
1980-11-27,2.8
1980-11-28,2.9
1980-11-29,2.9
1980-11-30,3.0
1980-12-01,3.2
1980-12-02,3.3
1980-12-03,5.1
1980-12-04,5.2
1980-12-05,5.2
1980-12-06,5.2
1980-12-07,5.4
1980-12-08,5.5
1980-12-09,5.5
1980-12-10,5.5
1980-12-11,5.5
1980-12-12,5.5
1980-12-13,5.5
1980-12-14,5.5
1980-12-15,5.5
1980-12-16,5.5
1980-12-17,5.5
1980-12-18,5.5
1980-12-19,5.5
1980-12-20,5.5
1980-12-21,5.6
1980-12-22,5.6
1980-12-23,5.7
1980-12-24,5.7
1980-12-25,5.7
1980-12-26,5.7
1980-12-27,5.7
1980-12-28,5.7
1980-12-29,5.7
1980-12-30,5.7
1980-12-31,5.7
1981-01-01,5.7
1981-01-02,5.8
1981-01-03,6.3
1981-01-04,6.5
1981-01-05,6.5
1981-01-06,6.5
1981-01-07,6.5
1981-01-08,6.5
1981-01-09,6.5
1981-01-10,6.5
1981-01-11,6.6
1981-01-12,6.6
1981-01-13,6.6
1981-01-14,6.6
1981-01-15,6.7
1981-01-16,6.7
1981-01-17,6.7
1981-01-18,6.8
1981-01-19,6.8
1981-01-20,7.0
1981-01-21,7.0
1981-01-22,7.0
1981-01-23,7.2
1981-01-24,7.3
1981-01-25,7.3
1981-01-26,8.7
1981-01-27,10.7
1981-01-28,12.3
1981-01-29,12.6
1981-01-30,12.7
1981-01-31,12.8
1981-02-01,12.9
1981-02-02,12.9
1981-02-03,12.9
1981-02-04,12.9
1981-02-05,12.9
1981-02-06,12.9
1981-02-07,12.9
1981-02-08,13.1
1981-02-09,13.2
1981-02-10,13.3
1981-02-11,13.5
1981-02-12,13.5
1981-02-13,14.4
1981-02-14,14.5
1981-02-15,14.8
1981-02-16,14.9
1981-02-17,14.9
1981-02-18,14.9
1981-02-19,14.9
1981-02-20,14.9
1981-02-21,14.9
1981-02-22,15.0
1981-02-23,15.1
1981-02-24,15.7
1981-02-25,15.8
1981-02-26,15.8
1981-02-27,16.0
1981-02-28,16.0
1981-03-01,16.1
1981-03-02,16.1
1981-03-03,16.1
1981-03-04,16.1
1981-03-05,16.1
1981-03-06,16.1
1981-03-07,16.1
1981-03-08,16.1
1981-03-09,16.1
1981-03-10,16.2
1981-03-11,16.2
1981-03-12,16.3
1981-03-13,16.3
1981-03-14,16.3
1981-03-15,16.4
1981-03-16,16.4
1981-03-17,16.5
1981-03-18,16.7
1981-03-19,17.3
1981-03-20,17.6
1981-03-21,18.1
1981-03-22,18.1
1981-03-23,18.1
1981-03-24,18.3
1981-03-25,19.5
1981-03-26,19.8
1981-03-27,19.8
1981-03-28,20.0
1981-03-29,20.0
1981-03-30,20.1
1981-03-31,20.3
1981-04-01,20.8
1981-04-02,20.8
1981-04-03,20.8
1981-04-04,20.8
1981-04-05,20.8
1981-04-06,20.8
1981-04-07,20.8
1981-04-08,20.8
1981-04-09,20.8
1981-04-10,20.8
1981-04-11,20.8
1981-04-12,20.8
1981-04-13,20.8
1981-04-14,20.8
1981-04-15,20.8
1981-04-16,20.8
1981-04-17,21.0
1981-04-18,21.0
1981-04-19,21.2
1981-04-20,21.4
1981-04-21,21.4
1981-04-22,21.4
1981-04-23,21.6
1981-04-24,21.6
1981-04-25,21.6
1981-04-26,21.6
1981-04-27,21.6
1981-04-28,21.6
1981-04-29,21.8
1981-04-30,21.8
1981-05-01,21.8
1981-05-02,21.8
1981-05-03,21.8
