date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
1986-10-01,0.2,30.0,39.7,22.3,0.2
1986-10-02,0.3,29.3,37.6,21.6,0.2
1986-10-03,0.3,27.1,44.6,14.5,0.2
1986-10-04,0.3,29.8,37.0,19.0,0.0
1986-10-05,0.3,34.0,56.5,20.1,0.0
1986-10-06,0.3,36.7,60.3,17.4,0.0
1986-10-07,0.3,37.0,58.6,17.2,0.0
1986-10-08,0.4,34.7,58.3,19.4,0.0
1986-10-09,0.4,32.5,57.2,13.6,0.0
1986-10-10,0.5,23.2,32.0,15.3,0.1
1986-10-11,0.6,20.3,38.7,6.8,0.0
1986-10-12,0.6,21.7,51.8,-0.9,0.0
1986-10-13,0.6,25.7,48.0,6.3,0.0
1986-10-14,0.6,25.2,49.8,8.2,0.0
1986-10-15,0.6,26.6,59.5,7.2,0.0
1986-10-16,0.6,26.4,58.8,6.8,0.0
1986-10-17,0.6,28.9,55.8,9.1,0.0
1986-10-18,0.6,30.0,44.8,15.4,0.0
1986-10-19,0.6,31.6,56.5,19.2,0.0
1986-10-20,0.6,32.7,53.6,16.9,0.0
1986-10-21,0.6,36.1,52.5,20.7,0.0
1986-10-22,0.6,28.2,56.7,13.3,0.0
1986-10-23,0.6,27.1,53.8,11.3,0.0
1986-10-24,0.6,31.8,54.0,16.0,0.0
1986-10-25,0.6,30.2,53.6,15.8,0.0
1986-10-26,0.6,30.0,50.4,14.0,0.0
1986-10-27,0.6,33.1,48.2,20.8,0.0
1986-10-28,0.6,19.9,23.2,16.3,0.0
1986-10-29,0.6,28.2,43.9,12.9,0.0
1986-10-30,1.1,27.3,34.7,19.4,0.5
1986-10-31,1.2,20.7,37.0,10.2,0.5
1986-11-01,1.2,16.7,44.6,3.2,0.6
1986-11-02,1.2,21.4,38.5,3.6,0.7
1986-11-03,1.2,24.6,45.7,12.7,0.7
1986-11-04,1.2,25.7,41.4,10.8,0.8
1986-11-05,1.4,29.7,33.1,25.5,1.1
1986-11-06,1.9,17.8,27.0,7.3,1.3
1986-11-07,1.9,3.0,18.7,-15.7,1.3
1986-11-08,2.0,9.7,18.9,1.0,1.5
1986-11-09,2.5,6.6,16.2,-24.0,1.5
