date,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2018-10-01,0.0,43.2,45.0,35.2,0.0
2018-10-02,0.0,38.7,44.2,28.6,0.0
2018-10-03,0.0,37.9,46.6,22.8,0.0
2018-10-04,0.0,37.6,45.9,28.4,0.0
2018-10-05,1.0,33.6,36.7,32.0,0.3
2018-10-06,0.0,36.7,45.0,32.9,0.0
2018-10-07,0.0,38.3,41.7,33.4,0.0
2018-10-08,0.0,40.8,42.3,35.1,0.0
2018-10-09,0.0,39.2,44.2,30.9,0.0
2018-10-10,0.0,39.6,48.4,31.3,0.0
2018-10-11,0.0,42.3,50.5,30.7,0.0
2018-10-12,0.0,43.3,52.7,34.7,0.0
2018-10-13,0.0,41.2,50.9,34.5,0.0
2018-10-14,0.0,43.5,52.0,33.8,0.0
2018-10-15,0.0,54.3,62.8,48.2,0.0
2018-10-16,0.0,55.2,63.0,50.4,0.0
2018-10-17,0.0,54.5,62.4,48.9,0.0
2018-10-18,0.0,53.4,62.4,42.3,0.0
2018-10-19,0.0,57.7,66.0,52.7,0.0
2018-10-20,0.0,58.5,67.3,48.9,0.0
2018-10-21,0.0,57.0,65.1,52.0,0.0
2018-10-22,0.0,55.6,64.6,49.6,0.0
2018-10-23,0.0,47.7,56.7,37.0,0.0
2018-10-24,0.0,38.1,45.3,31.5,0.0
2018-10-25,0.0,39.7,43.7,32.5,0.1
2018-10-26,0.0,42.3,45.9,36.3,0.0
2018-10-27,0.0,40.1,47.5,33.3,0.1
2018-10-28,0.0,35.6,42.4,26.2,0.0
2018-10-29,3.0,33.3,33.8,27.0,0.6
2018-10-30,2.0,33.6,36.1,32.0,0.7
2018-10-31,1.0,38.8,45.1,31.8,0.2
2018-11-01,0.0,42.8,45.9,34.7,0.0
2018-11-02,0.0,38.8,42.8,33.3,0.0
2018-11-03,0.0,36.3,37.0,29.8,0.0
2018-11-04,0.0,35.6,40.5,29.7,0.0
