date,PREC_DAILY,SNWD_DAILY,WTEQ_DAILY
2018-10-01,0.0,0.0,0.0
2018-10-02,0.0,0.0,0.0
2018-10-03,0.0,0.0,0.0
2018-10-04,0.0,0.0,0.0
2018-10-05,0.1,0.0,0.0
2018-10-06,0.2,0.0,0.0
2018-10-07,0.4,0.0,0.0
2018-10-08,0.5,0.0,0.0
2018-10-09,0.6,0.0,0.0
2018-10-10,0.7,0.0,0.0
2018-10-11,0.7,0.0,0.0
2018-10-12,0.7,0.0,0.0
2018-10-13,0.7,0.0,0.0
2018-10-14,1.0,0.0,0.0
2018-10-15,1.2,0.0,0.0
2018-10-16,1.3,0.0,0.0
2018-10-17,1.4,0.0,0.0
2018-10-18,1.4,0.0,0.0
2018-10-19,1.4,0.0,0.0
2018-10-20,1.5,0.0,0.0
2018-10-21,1.5,0.0,0.0
2018-10-22,1.5,0.0,0.0
2018-10-23,2.5,0.0,0.0
2018-10-24,3.5,0.0,0.0
2018-10-25,3.5,0.0,0.0
2018-10-26,3.5,0.0,0.0
2018-10-27,3.6,0.0,0.0
2018-10-28,3.6,0.0,0.0
2018-10-29,3.6,0.0,0.0
2018-10-30,4.0,3.0,0.4
2018-10-31,4.3,2.0,0.4
2018-11-01,4.4,2.0,0.4
2018-11-02,4.4,1.0,0.2
2018-11-03,4.4,0.0,0.0
2018-11-04,4.5,0.0,0.0
2018-11-05,4.5,0.0,0.0
2018-11-06,4.5,0.0,0.0
2018-11-07,4.5,0.0,0.0
2018-11-08,4.5,0.0,0.0
2018-11-09,4.5,0.0,0.0
2018-11-10,4.5,0.0,0.0
2018-11-11,4.5,1.0,0.1
2018-11-12,4.7,1.0,0.2
2018-11-13,4.9,1.0,0.3
2018-11-14,4.9,1.0,0.3
2018-11-15,4.9,1.0,0.2
2018-11-16,4.9,1.0,0.1
2018-11-17,4.9,1.0,0.1
2018-11-18,4.9,1.0,0.1
2018-11-19,4.9,1.0,0.1
2018-11-20,4.9,1.0,0.2
2018-11-21,4.9,1.0,0.2
2018-11-22,5.0,4.0,0.3
2018-11-23,5.1,3.0,0.5
2018-11-24,5.1,2.0,0.5
2018-11-25,5.1,2.0,0.5
2018-11-26,5.2,2.0,0.6
2018-11-27,5.2,2.0,0.6
2018-11-28,5.2,2.0,0.6
2018-11-29,5.3,2.0,0.7
2018-11-30,5.4,3.0,0.8
2018-12-01,5.5,3.0,0.9
2018-12-02,5.7,7.0,1.2
2018-12-03,5.7,6.0,1.2
2018-12-04,5.7,5.0,1.2
2018-12-05,5.9,5.0,1.3
2018-12-06,5.9,5.0,1.3
2018-12-07,5.9,6.0,1.4
2018-12-08,5.9,6.0,1.4
2018-12-09,5.9,6.0,1.4
2018-12-10,6.0,6.0,1.5
2018-12-11,6.0,6.0,1.4
2018-12-12,6.0,6.0,1.4
2018-12-13,6.1,6.0,1.5
2018-12-14,6.1,6.0,1.5
2018-12-15,6.1,5.0,1.5
2018-12-16,6.1,5.0,1.5
2018-12-17,6.1,5.0,1.5
2018-12-18,6.1,5.0,1.5
2018-12-19,6.1,5.0,1.5
2018-12-20,6.1,5.0,1.5
2018-12-21,6.1,5.0,1.5
2018-12-22,6.1,5.0,1.5
2018-12-23,6.1,5.0,1.5
