date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
1990-10-01,0.0,44.6,60.8,32.2,0.0
1990-10-02,0.0,28.2,32.0,25.5,0.0
1990-10-03,0.0,29.5,38.5,24.6,0.0
1990-10-04,0.0,42.3,51.6,38.1,0.0
1990-10-05,0.5,30.2,43.2,24.1,0.0
1990-10-06,0.5,23.7,28.8,17.2,0.0
1990-10-07,0.7,22.6,30.6,16.5,0.0
1990-10-08,0.9,28.0,33.1,22.8,0.0
1990-10-09,1.0,35.6,45.1,27.3,0.1
1990-10-10,1.0,29.3,33.1,24.6,0.2
1990-10-11,1.1,25.5,34.0,19.2,0.2
1990-10-12,1.1,29.3,34.0,26.2,0.3
1990-10-13,1.3,24.8,28.0,21.7,0.4
1990-10-14,1.7,22.8,25.2,18.3,0.7
1990-10-15,2.9,28.9,31.6,25.0,2.1
1990-10-16,3.3,24.6,29.7,21.4,2.3
1990-10-17,3.3,25.9,33.8,19.6,2.4
1990-10-18,4.5,31.8,38.1,26.6,3.9
1990-10-19,4.6,23.7,26.6,20.8,3.9
1990-10-20,4.7,21.6,23.2,16.9,3.9
1990-10-21,6.0,27.3,31.5,17.8,5.4
1990-10-22,6.0,24.6,29.8,21.7,5.3
1990-10-23,6.2,24.6,37.6,18.7,5.2
1990-10-24,6.2,33.4,45.7,24.6,5.3
1990-10-25,6.2,42.8,55.0,34.5,5.3
1990-10-26,6.2,31.6,38.5,25.9,5.3
1990-10-27,6.2,46.2,55.0,32.0,5.3
1990-10-28,6.2,34.3,50.2,27.1,5.3
1990-10-29,6.2,32.5,40.1,26.2,5.4
1990-10-30,6.2,37.2,42.1,32.9,5.4
1990-10-31,7.1,31.5,38.8,24.4,6.6
1990-11-01,7.4,20.5,24.8,17.6,6.6
1990-11-02,7.5,16.5,20.5,12.2,6.6
1990-11-03,7.7,18.3,26.4,9.0,7.0
1990-11-04,8.7,27.3,29.1,24.6,7.9
1990-11-05,9.2,20.3,24.6,10.6,8.1
1990-11-06,9.2,16.0,21.0,9.3,8.2
1990-11-07,9.3,20.5,23.7,13.3,8.4
1990-11-08,9.7,24.3,26.8,23.4,8.7
1990-11-09,10.1,31.5,32.7,27.0,9.0
1990-11-10,10.3,34.3,38.3,32.7,9.1
1990-11-11,10.3,38.7,47.8,34.3,9.1
1990-11-12,10.3,45.1,54.1,35.1,9.1
1990-11-13,10.9,40.8,49.5,30.7,9.6
1990-11-14,11.3,22.8,30.6,17.4,10.1
1990-11-15,11.4,20.5,22.3,17.4,10.1
1990-11-16,11.4,24.8,35.2,17.1,10.1
1990-11-17,11.5,27.1,32.4,23.0,10.2
1990-11-18,11.6,25.5,27.0,23.0,10.3
1990-11-19,11.9,25.2,27.9,22.8,10.6
1990-11-20,12.2,17.2,25.7,11.8,10.9
1990-11-21,12.6,16.7,21.4,11.3,11.5
1990-11-22,12.7,27.0,28.8,21.4,11.7
1990-11-23,12.9,29.1,31.6,27.5,11.8
1990-11-24,14.2,30.2,31.3,29.1,13.3
1990-11-25,15.0,26.6,31.6,19.2,14.3
1990-11-26,15.0,14.4,18.5,10.0,14.4
1990-11-27,15.2,14.2,16.5,11.8,14.6
1990-11-28,15.2,15.6,21.0,12.6,14.7
1990-11-29,15.6,24.4,28.9,18.9,15.1
1990-11-30,15.7,12.9,18.5,9.5,15.2
1990-12-01,16.0,13.6,16.0,10.6,15.4
1990-12-02,16.1,10.6,14.5,7.9,15.4
1990-12-03,16.1,22.1,28.8,14.7,15.6
1990-12-04,16.1,25.3,32.0,19.2,15.6
1990-12-05,16.1,17.2,18.9,15.8,15.6
1990-12-06,16.2,20.1,24.1,17.1,15.6
1990-12-07,16.2,21.0,31.8,17.6,15.6
1990-12-08,16.3,30.9,36.1,19.4,15.7
1990-12-09,16.8,33.4,37.8,30.4,16.2
1990-12-10,18.4,31.1,32.5,27.9,18.0
1990-12-11,18.7,19.8,27.9,15.4,18.4
1990-12-12,18.7,12.6,19.6,5.9,18.4
1990-12-13,18.7,13.3,15.6,8.6,18.4
1990-12-14,18.8,10.9,13.1,6.4,18.5
1990-12-15,18.8,14.2,20.8,6.4,18.6
1990-12-16,19.2,14.2,16.2,12.0,18.8
1990-12-17,20.2,18.5,23.4,11.8,20.2
1990-12-18,20.4,1.4,23.4,-22.9,20.2
1990-12-19,20.6,-25.1,-22.9,-26.9,20.2
1990-12-20,20.7,-26.0,-23.3,-27.8,20.2
1990-12-21,20.7,-23.8,-8.7,-29.2,20.2
1990-12-22,20.7,-17.5,-10.7,-21.6,20.2
1990-12-23,20.8,-6.3,-0.6,-18.0,20.7
1990-12-24,21.0,1.6,5.5,-0.4,21.0
1990-12-25,21.2,3.7,12.0,-0.2,21.4
1990-12-26,21.7,8.6,15.3,0.3,22.0
1990-12-27,22.3,11.5,18.7,-12.6,22.4
1990-12-28,22.4,-22.4,-13.4,-29.4,22.5
1990-12-29,22.4,-24.0,-12.3,-33.3,22.7
