date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
1992-10-01,0.0,58.6,68.0,51.1,0.0
1992-10-02,0.2,42.6,52.0,29.5,0.0
1992-10-03,0.2,40.3,63.9,22.5,0.0
1992-10-04,0.2,40.1,65.5,21.4,0.0
1992-10-05,0.2,43.3,70.3,22.6,0.0
1992-10-06,0.2,39.9,63.5,23.7,0.0
1992-10-07,0.2,43.2,68.7,20.3,0.0
1992-10-08,0.2,49.8,68.9,29.7,0.0
1992-10-09,0.2,46.0,72.0,27.1,0.0
1992-10-10,0.2,45.5,73.6,24.3,0.0
1992-10-11,0.2,48.0,75.6,28.2,0.0
1992-10-12,0.2,51.6,77.9,30.4,0.0
1992-10-13,0.2,49.8,70.3,30.0,0.0
1992-10-14,0.2,49.8,66.4,30.6,0.0
1992-10-15,0.2,45.0,67.6,20.3,0.0
1992-10-16,0.2,49.3,68.7,31.8,0.0
1992-10-17,0.2,47.3,70.9,25.7,0.0
1992-10-18,0.2,51.1,66.2,33.3,0.0
1992-10-19,0.2,45.0,71.1,25.3,0.0
1992-10-20,0.2,46.0,65.3,23.4,0.0
1992-10-21,0.2,41.7,52.3,25.5,0.0
1992-10-22,0.2,37.2,61.5,19.9,0.0
1992-10-23,0.2,40.6,66.6,22.8,0.0
1992-10-24,0.4,41.7,60.3,26.8,0.0
1992-10-25,0.4,42.1,62.4,27.9,0.0
1992-10-26,0.4,43.2,64.2,28.0,0.0
1992-10-27,0.5,40.8,57.9,30.4,0.0
1992-10-28,0.6,39.7,51.6,34.2,0.0
1992-10-29,2.0,35.8,38.8,33.6,0.0
1992-10-30,2.5,33.4,37.8,29.5,0.0
1992-10-31,2.6,36.0,44.4,27.7,0.0
1992-11-01,2.6,43.0,56.8,32.0,0.0
1992-11-02,2.6,42.4,57.4,30.4,0.0
1992-11-03,2.6,31.8,48.4,20.3,0.0
1992-11-04,2.6,37.8,60.1,19.6,0.0
1992-11-05,2.6,37.6,56.1,25.3,0.0
1992-11-06,2.6,38.8,64.6,23.2,0.0
