date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
1992-10-01,0.0,62.2,73.4,55.8,0.0
1992-10-02,0.0,58.3,68.5,49.1,0.0
1992-10-03,0.3,45.0,49.1,39.4,0.0
1992-10-04,0.3,40.3,48.2,35.2,0.0
1992-10-05,0.3,42.4,52.2,35.6,0.0
1992-10-06,0.3,,,,0.0
1992-10-07,0.3,,,,0.0
1992-10-08,0.3,,,,0.0
1992-10-09,0.3,,,,0.0
1992-10-10,0.3,,,,0.0
1992-10-11,0.5,,,,0.0
1992-10-12,0.8,,,204.4,0.0
1992-10-13,1.1,,,,0.0
1992-10-14,1.1,,,,0.0
1992-10-15,1.1,,,,0.0
1992-10-16,1.2,,,,0.0
1992-10-17,1.2,,,,0.0
1992-10-18,1.6,,,,0.0
1992-10-19,1.7,,,,0.0
1992-10-20,2.1,,,,0.0
1992-10-21,2.3,,,,0.0
1992-10-22,2.3,,,204.4,0.0
1992-10-23,2.3,,,,0.0
1992-10-24,2.3,,,204.4,0.0
1992-10-25,2.6,,,,0.0
1992-10-26,2.6,,,,0.0
1992-10-27,2.6,38.5,46.6,32.7,0.0
1992-10-28,2.6,,,,0.0
1992-10-29,3.3,,,,0.3
1992-10-30,3.5,,,,0.3
1992-10-31,4.1,,,,0.7
1992-11-01,4.9,,,,0.9
1992-11-02,5.4,,,,1.1
1992-11-03,5.4,,,,1.1
1992-11-04,5.6,38.5,38.8,38.1,1.5
1992-11-05,5.8,,,,1.9
1992-11-06,6.3,,,,2.4
1992-11-07,6.9,,,,3.1
1992-11-08,7.3,,,,3.4
1992-11-09,7.3,,,,3.4
1992-11-10,7.8,,,,3.9
1992-11-11,8.1,,,,4.2
1992-11-12,8.1,,,,4.2
1992-11-13,8.1,34.7,44.2,30.4,4.2
1992-11-14,8.1,,,,4.2
1992-11-15,8.2,,,,4.3
1992-11-16,8.5,,,,4.4
1992-11-17,8.7,,,,4.6
1992-11-18,8.9,,,,4.8
1992-11-19,9.4,,,,5.0
1992-11-20,9.6,,,,5.2
1992-11-21,11.3,,,,7.8
1992-11-22,11.7,,,,7.8
1992-11-23,11.7,,,,7.6
1992-11-24,11.7,,,,7.6
1992-11-25,11.7,,,,7.6
1992-11-26,11.7,,,,7.8
1992-11-27,11.9,,,,8.1
1992-11-28,12.1,,,,8.3
1992-11-29,12.7,,,,9.1
1992-11-30,13.0,,,,9.6
1992-12-01,13.0,,,,9.9
1992-12-02,13.0,,,,9.9
1992-12-03,13.0,,,,9.9
1992-12-04,13.0,,,,9.9
1992-12-05,13.0,,,,9.9
1992-12-06,13.0,,,,9.9
1992-12-07,13.5,,,,10.4
1992-12-08,14.7,,,,11.4
1992-12-09,15.4,,,,12.1
1992-12-10,16.8,,,,13.5
1992-12-11,17.2,,,,13.8
1992-12-12,17.2,,,,14.0
1992-12-13,17.7,,,,14.2
1992-12-14,18.3,,,,14.7
1992-12-15,18.5,,,,14.9
1992-12-16,18.6,,,,15.0
1992-12-17,19.0,,,,15.4
1992-12-18,19.0,15.1,21.6,7.3,15.5
1992-12-19,19.5,,,,16.0
1992-12-20,20.0,,,,16.5
1992-12-21,20.1,,,,16.6
1992-12-22,20.2,,,,16.7
1992-12-23,20.2,,,,16.7
1992-12-24,20.2,28.6,35.6,23.2,16.7
1992-12-25,20.6,,,,17.1
1992-12-26,21.0,,,,17.5
1992-12-27,21.0,,,,17.5
1992-12-28,21.2,,,,17.6
1992-12-29,21.5,,,,17.9
1992-12-30,21.5,,,,17.9
1992-12-31,21.6,,,,18.0
1993-01-01,21.6,,,,18.0
1993-01-02,22.0,,,,18.7
1993-01-03,22.0,,,,18.7
1993-01-04,23.0,,,,19.7
1993-01-05,23.0,,,,19.7
1993-01-06,23.1,,,,19.7
1993-01-07,23.1,,,,19.7
1993-01-08,23.1,,,,19.7
1993-01-09,23.1,,,,19.7
1993-01-10,23.2,,,,20.0
1993-01-11,23.2,,,,20.1
1993-01-12,23.2,8.2,17.1,3.7,20.1
1993-01-13,23.2,,,,20.1
1993-01-14,23.2,,,,20.1
