date,PREC_DAILY,SNWD_DAILY,WTEQ_DAILY
2005-10-01,0.0,0.0,0.0
2005-10-02,0.0,0.0,0.0
2005-10-03,0.0,0.0,0.0
2005-10-04,0.2,0.0,0.0
2005-10-05,0.2,0.0,0.0
2005-10-06,0.2,0.0,0.0
2005-10-07,0.3,0.0,0.0
2005-10-08,0.4,0.0,0.0
2005-10-09,0.4,0.0,0.0
2005-10-10,0.4,0.0,0.0
2005-10-11,0.4,0.0,0.0
2005-10-12,0.4,0.0,0.0
2005-10-13,0.4,0.0,0.0
2005-10-14,0.4,0.0,0.0
2005-10-15,0.4,0.0,0.0
2005-10-16,0.4,0.0,0.0
2005-10-17,0.5,0.0,0.0
2005-10-18,0.5,0.0,0.0
2005-10-19,0.6,0.0,0.0
2005-10-20,0.6,0.0,0.0
2005-10-21,0.6,0.0,0.0
2005-10-22,0.6,0.0,0.0
2005-10-23,0.6,0.0,0.0
2005-10-24,0.6,0.0,0.0
2005-10-25,0.6,0.0,0.0
2005-10-26,0.6,0.0,0.0
2005-10-27,1.0,2.0,0.3
2005-10-28,1.4,2.0,0.3
2005-10-29,1.6,5.0,0.4
2005-10-30,1.6,3.0,0.4
2005-10-31,1.6,3.0,0.4
2005-11-01,1.7,2.0,0.4
2005-11-02,1.7,1.0,0.3
2005-11-03,1.7,0.0,0.0
2005-11-04,2.3,6.0,0.8
2005-11-05,2.5,6.0,1.1
2005-11-06,2.6,5.0,1.1
2005-11-07,2.6,4.0,1.0
2005-11-08,2.7,4.0,1.0
2005-11-09,2.7,2.0,0.7
2005-11-10,2.7,2.0,0.4
2005-11-11,2.7,1.0,0.3
2005-11-12,2.9,3.0,0.4
2005-11-13,3.1,8.0,1.0
2005-11-14,4.2,13.0,2.1
2005-11-15,4.3,12.0,2.1
2005-11-16,4.3,11.0,2.2
2005-11-17,4.3,11.0,2.2
2005-11-18,4.3,11.0,2.3
2005-11-19,4.3,11.0,2.2
2005-11-20,4.3,11.0,2.2
2005-11-21,4.3,11.0,2.2
2005-11-22,4.3,11.0,2.2
2005-11-23,4.4,10.0,2.2
2005-11-24,4.4,10.0,2.2
2005-11-25,4.4,11.0,2.4
2005-11-26,5.0,19.0,3.1
2005-11-27,5.1,19.0,3.2
2005-11-28,5.2,16.0,3.2
2005-11-29,5.7,23.0,4.1
2005-11-30,6.0,23.0,4.2
2005-12-01,6.7,23.0,4.9
2005-12-02,7.5,30.0,5.7
2005-12-03,7.6,37.0,6.4
2005-12-04,7.8,33.0,6.5
2005-12-05,8.4,31.0,6.7
2005-12-06,8.8,35.0,7.5
2005-12-07,8.8,34.0,7.5
2005-12-08,8.8,32.0,7.5
2005-12-09,8.8,32.0,7.5
2005-12-10,8.8,30.0,7.5
2005-12-11,8.9,30.0,7.6
2005-12-12,8.9,30.0,7.6
2005-12-13,8.9,29.0,7.6
2005-12-14,8.9,29.0,7.6
2005-12-15,8.9,29.0,7.6
2005-12-16,8.9,29.0,7.6
2005-12-17,9.0,27.0,7.7
2005-12-18,9.4,36.0,8.2
2005-12-19,9.8,36.0,8.7
2005-12-20,9.8,35.0,8.8
2005-12-21,9.9,35.0,8.8
2005-12-22,10.2,36.0,9.1
2005-12-23,10.4,37.0,9.3
2005-12-24,10.4,37.0,9.4
2005-12-25,10.5,36.0,9.5
2005-12-26,10.8,43.0,10.1
2005-12-27,11.2,41.0,10.2
2005-12-28,11.5,38.0,10.7
2005-12-29,11.8,37.0,11.0
2005-12-30,12.1,47.0,12.1
2005-12-31,13.9,52.0,13.7
2006-01-01,15.0,55.0,14.0
2006-01-02,16.0,62.0,15.7
2006-01-03,17.4,62.0,16.6
2006-01-04,17.5,58.0,16.6
2006-01-05,17.5,61.0,16.7
2006-01-06,17.6,59.0,16.8
2006-01-07,17.6,53.0,16.8
2006-01-08,17.7,62.0,17.1
2006-01-09,18.0,59.0,17.2
