date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
1995-10-01,1.2,11.0,37.9,48.7,29.1,0.0
1995-10-02,3.4,7.0,44.2,47.3,39.4,0.0
1995-10-03,3.4,6.0,35.8,44.8,32.0,0.0
1995-10-04,3.5,9.0,35.1,40.1,31.6,0.0
1995-10-05,4.0,10.0,41.5,46.2,35.1,0.0
1995-10-06,4.0,9.0,37.2,41.5,33.8,0.0
1995-10-07,4.2,9.0,38.7,48.4,32.0,0.0
1995-10-08,4.2,5.0,36.5,40.3,31.8,0.0
1995-10-09,4.6,9.0,36.7,40.6,32.9,0.0
1995-10-10,6.2,5.0,41.5,45.5,37.2,0.0
1995-10-11,6.8,2.0,32.0,37.8,29.8,1.2
1995-10-12,7.5,5.0,31.1,34.7,29.1,1.8
1995-10-13,8.0,6.0,37.9,49.8,29.3,1.8
1995-10-14,8.4,4.0,53.4,66.9,40.6,1.7
1995-10-15,8.4,0.0,50.5,61.0,39.9,1.0
1995-10-16,8.8,,37.8,40.6,34.5,0.0
1995-10-17,9.6,,37.9,42.6,30.0,0.0
1995-10-18,9.6,2.0,35.8,46.6,27.3,0.0
1995-10-19,9.8,1.0,44.4,48.9,41.2,0.0
1995-10-20,9.8,0.0,37.8,46.8,30.6,0.0
1995-10-21,11.0,,28.9,30.7,26.2,1.1
1995-10-22,11.4,4.0,28.8,33.8,22.3,1.1
1995-10-23,11.4,2.0,34.9,40.5,31.1,1.1
1995-10-24,11.4,0.0,35.8,39.0,33.6,1.0
1995-10-25,13.2,,36.7,42.4,33.6,0.4
1995-10-26,13.2,,34.7,41.4,30.6,0.0
1995-10-27,13.2,,34.0,41.7,28.2,0.0
1995-10-28,13.2,,42.3,48.4,37.6,0.0
1995-10-29,13.2,,32.2,37.2,27.1,0.0
1995-10-30,13.2,,27.9,31.1,25.3,0.0
1995-10-31,13.2,,26.8,33.3,23.0,0.0
1995-11-01,13.2,,26.2,30.6,21.6,0.0
1995-11-02,13.2,,32.4,37.6,27.1,0.0
1995-11-03,13.2,,34.7,40.3,31.5,0.0
1995-11-04,13.4,,36.7,43.2,27.9,0.2
1995-11-05,14.7,7.0,28.0,29.1,26.8,2.0
1995-11-06,16.0,15.0,29.5,33.3,27.3,3.3
1995-11-07,16.5,,37.9,40.6,33.8,3.2
1995-11-08,18.3,0.0,37.8,42.1,26.8,2.1
1995-11-09,19.8,,25.5,26.8,24.1,3.5
1995-11-10,21.6,13.0,30.0,39.4,23.5,4.2
1995-11-11,24.5,4.0,36.7,41.0,31.6,3.6
1995-11-12,25.1,,33.1,42.1,30.6,3.6
1995-11-13,26.4,,44.8,46.0,42.1,2.0
1995-11-14,26.4,3.0,46.2,56.7,38.5,1.7
1995-11-15,26.4,0.0,42.8,47.8,40.1,1.1
1995-11-16,26.4,0.0,39.9,42.8,37.2,0.8
1995-11-17,26.7,,43.5,49.1,35.4,0.3
1995-11-18,27.2,,31.6,35.1,30.0,0.2
1995-11-19,27.2,,35.6,39.9,30.7,0.0
1995-11-20,27.3,,40.6,46.4,36.3,0.0
1995-11-21,27.6,,41.5,47.7,39.0,0.0
1995-11-22,27.7,,38.8,39.9,35.6,0.0
1995-11-23,28.1,,38.8,42.1,35.2,0.0
1995-11-24,29.6,,39.7,42.1,35.4,0.0
1995-11-25,30.9,9.0,31.1,36.1,28.0,1.7
1995-11-26,32.0,13.0,27.9,29.1,26.6,3.2
1995-11-27,36.2,,32.0,39.9,27.1,4.9
1995-11-28,37.3,5.0,38.5,40.3,36.5,3.5
1995-11-29,40.4,0.0,38.5,41.4,35.2,2.5
1995-11-30,42.2,,33.4,34.9,31.6,3.0
1995-12-01,43.4,14.0,27.9,31.6,25.2,4.4
1995-12-02,43.9,21.0,25.5,26.4,24.4,5.6
1995-12-03,45.7,20.0,27.7,34.3,22.8,6.3
1995-12-04,45.9,20.0,21.4,31.5,18.3,6.5
1995-12-05,46.1,20.0,23.9,27.1,20.8,6.6
1995-12-06,46.2,21.0,27.0,32.9,20.7,6.6
1995-12-07,46.4,20.0,22.5,29.3,18.9,6.8
1995-12-08,46.8,,19.9,25.9,17.4,7.2
1995-12-09,47.3,20.0,34.9,38.1,26.4,6.8
1995-12-10,47.7,17.0,36.9,41.2,33.8,6.9
1995-12-11,48.2,,33.1,36.1,31.5,7.3
1995-12-12,48.9,15.0,34.3,37.9,29.3,7.1
1995-12-13,49.2,16.0,28.8,29.8,27.5,7.4
1995-12-14,50.2,25.0,28.0,31.3,26.1,8.4
1995-12-15,50.4,24.0,27.0,29.7,25.0,8.6
1995-12-16,50.4,25.0,25.9,29.7,24.4,8.6
1995-12-17,50.4,24.0,25.7,29.5,24.1,8.6
1995-12-18,50.4,24.0,28.4,32.7,24.4,8.6
1995-12-19,50.4,22.0,30.2,32.5,25.2,8.6
1995-12-20,50.4,22.0,28.0,32.9,25.2,8.6
1995-12-21,50.5,22.0,23.9,26.4,21.7,8.7
1995-12-22,50.6,22.0,23.7,25.7,21.6,8.8
1995-12-23,50.6,22.0,28.0,33.4,22.8,8.8
1995-12-24,50.6,22.0,28.6,35.6,22.6,8.8
1995-12-25,50.6,22.0,29.1,36.9,24.3,8.8
1995-12-26,50.6,22.0,33.4,39.7,25.7,8.8
1995-12-27,50.6,24.0,30.2,36.1,25.2,8.8
1995-12-28,51.4,29.0,29.1,31.1,25.7,9.6
1995-12-29,51.5,,34.7,37.4,30.9,9.7
1995-12-30,51.8,,35.8,39.9,30.6,10.0
1995-12-31,52.5,25.0,30.0,31.6,28.2,10.7
1996-01-01,52.6,25.0,33.4,39.9,27.9,10.8
1996-01-02,52.6,24.0,37.9,41.4,32.4,10.8
1996-01-03,54.1,25.0,28.9,32.2,24.6,11.5
1996-01-04,55.0,32.0,24.1,25.5,23.5,12.5
1996-01-05,55.7,36.0,27.1,32.4,23.9,13.4
1996-01-06,55.9,34.0,34.7,36.9,32.0,13.6
1996-01-07,56.8,31.0,34.2,35.8,32.0,13.8
1996-01-08,56.8,31.0,34.0,38.7,32.0,13.8
1996-01-09,57.8,32.0,31.5,35.2,27.0,14.3
1996-01-10,58.0,33.0,29.8,32.9,26.1,14.5
