date,PREC_DAILY,TAVG_DAILY,TMIN_DAILY,WTEQ_DAILY
1995-10-01,0.0,44.6,37.4,0.0
1995-10-02,0.0,48.6,36.5,0.0
1995-10-03,0.0,46.0,30.0,0.0
1995-10-04,0.0,35.1,27.9,0.0
1995-10-05,0.0,44.6,32.0,0.0
1995-10-06,0.0,44.4,39.7,0.0
1995-10-07,0.0,44.6,38.1,0.0
1995-10-08,0.0,44.6,37.9,0.0
1995-10-09,0.0,48.4,38.8,0.0
1995-10-10,0.0,52.2,45.9,0.0
1995-10-11,0.0,43.3,36.7,0.0
1995-10-12,0.0,38.3,32.5,0.0
1995-10-13,0.0,44.8,36.1,0.0
1995-10-14,0.0,54.3,46.9,0.0
1995-10-15,0.0,49.1,42.1,0.0
1995-10-16,0.0,45.7,40.1,0.0
1995-10-17,0.0,53.1,44.8,0.0
1995-10-18,0.0,46.4,38.5,0.0
1995-10-19,0.0,48.6,37.9,0.0
1995-10-20,0.0,49.5,45.0,0.0
1995-10-21,0.0,39.6,22.5,0.0
1995-10-22,0.0,25.5,18.0,0.0
1995-10-23,0.0,35.8,26.8,0.0
1995-10-24,0.0,38.1,30.6,0.0
1995-10-25,0.0,41.2,31.6,0.0
1995-10-26,0.0,48.4,43.3,0.0
1995-10-27,0.0,51.1,44.1,0.0
1995-10-28,0.0,49.8,44.4,0.0
1995-10-29,0.0,47.3,42.3,0.0
1995-10-30,0.0,43.5,37.6,0.0
1995-10-31,0.1,38.1,32.5,0.0
1995-11-01,0.1,36.9,32.4,0.0
1995-11-02,0.1,34.9,29.7,0.0
1995-11-03,0.1,34.3,28.8,0.0
1995-11-04,0.1,37.2,30.6,0.0
1995-11-05,0.1,33.4,28.8,0.0
1995-11-06,0.1,34.5,27.5,0.0
1995-11-07,0.1,42.6,37.0,0.0
1995-11-08,0.1,38.8,34.5,0.0
1995-11-09,0.1,33.3,27.5,0.0
1995-11-10,0.1,35.6,27.3,0.0
1995-11-11,0.1,42.1,36.1,0.0
1995-11-12,0.1,41.2,35.1,0.0
1995-11-13,0.1,47.3,41.7,0.0
1995-11-14,0.1,49.8,43.9,0.0
1995-11-15,0.1,44.1,38.5,0.0
1995-11-16,0.1,41.0,35.4,0.0
1995-11-17,0.1,46.4,40.5,0.0
1995-11-18,0.1,38.3,34.3,0.0
1995-11-19,0.1,41.7,36.1,0.0
1995-11-20,0.1,45.3,40.8,0.0
1995-11-21,0.1,36.5,32.4,0.0
1995-11-22,0.1,40.3,35.6,0.0
1995-11-23,0.1,45.3,37.9,0.0
1995-11-24,0.1,44.2,39.7,0.0
1995-11-25,0.6,36.9,27.9,0.4
1995-11-26,0.8,21.6,17.1,1.4
1995-11-27,0.8,27.1,16.9,1.4
1995-11-28,0.8,36.7,33.4,1.4
1995-11-29,0.8,39.0,34.9,1.4
1995-11-30,0.8,37.8,35.1,1.4
1995-12-01,1.0,33.4,30.4,1.4
1995-12-02,1.4,28.4,24.1,1.9
1995-12-03,1.7,31.1,25.7,2.1
1995-12-04,2.1,34.7,32.5,2.4
1995-12-05,2.2,34.3,30.0,2.5
1995-12-06,2.2,32.0,28.8,2.5
1995-12-07,2.4,31.8,26.4,2.7
1995-12-08,2.4,35.1,31.6,2.7
1995-12-09,2.4,37.4,33.8,2.7
1995-12-10,2.4,35.6,27.9,2.7
