date,PREC_DAILY,SNWD_DAILY,WTEQ_DAILY
1995-10-01,0.0,,0.0
1995-10-02,0.0,,0.0
1995-10-03,0.3,,0.1
1995-10-04,0.6,,0.1
1995-10-05,0.6,,0.0
1995-10-06,0.6,,0.0
1995-10-07,0.6,,0.0
1995-10-08,0.6,,0.0
1995-10-09,0.6,,0.0
1995-10-10,0.6,,0.0
1995-10-11,0.6,,0.0
1995-10-12,0.6,,0.0
1995-10-13,0.6,,0.0
1995-10-14,0.6,,0.0
1995-10-15,0.6,,0.0
1995-10-16,0.6,,0.0
1995-10-17,0.6,,0.0
1995-10-18,0.6,,0.0
1995-10-19,0.6,,0.0
1995-10-20,0.6,,0.0
1995-10-21,0.8,,0.1
1995-10-22,1.4,,0.6
1995-10-23,1.5,,0.5
1995-10-24,1.5,,0.5
1995-10-25,1.5,,0.5
1995-10-26,1.5,,0.3
1995-10-27,1.5,,0.2
1995-10-28,1.5,,0.0
1995-10-29,1.5,,0.0
1995-10-30,1.5,,0.0
1995-10-31,1.6,,0.0
1995-11-01,1.6,,0.0
1995-11-02,1.6,,0.0
1995-11-03,1.6,,0.0
1995-11-04,1.6,,0.0
1995-11-05,1.6,,0.0
1995-11-06,1.6,,0.0
1995-11-07,1.6,,0.0
1995-11-08,1.6,,0.0
1995-11-09,3.0,,1.4
1995-11-10,3.3,,1.5
1995-11-11,3.3,,1.6
1995-11-12,3.7,,1.7
1995-11-13,3.7,,1.7
1995-11-14,3.7,,1.6
1995-11-15,3.7,,1.5
1995-11-16,3.7,,1.5
1995-11-17,3.7,,1.2
1995-11-18,3.8,,1.2
1995-11-19,3.8,,1.2
1995-11-20,3.8,,1.2
1995-11-21,3.8,,1.2
1995-11-22,3.8,5.0,1.2
1995-11-23,3.8,4.0,1.2
1995-11-24,3.8,4.0,1.2
1995-11-25,3.9,3.0,1.2
1995-11-26,4.8,5.0,2.1
1995-11-27,4.9,6.0,2.3
1995-11-28,5.1,7.0,2.5
1995-11-29,5.2,4.0,2.5
1995-11-30,5.2,5.0,2.5
1995-12-01,5.2,4.0,2.5
1995-12-02,5.2,4.0,2.5
1995-12-03,5.2,4.0,2.3
1995-12-04,5.7,7.0,2.8
1995-12-05,6.1,6.0,3.1
1995-12-06,6.2,6.0,3.2
1995-12-07,6.3,7.0,3.2
1995-12-08,6.3,8.0,3.2
1995-12-09,6.3,7.0,3.2
1995-12-10,6.4,8.0,3.3
1995-12-11,6.4,8.0,3.3
1995-12-12,6.6,6.0,3.4
1995-12-13,6.8,9.0,3.5
1995-12-14,6.8,9.0,3.5
1995-12-15,6.8,9.0,3.5
1995-12-16,6.9,7.0,3.5
1995-12-17,6.9,7.0,3.5
1995-12-18,6.9,10.0,3.5
1995-12-19,6.9,10.0,3.5
1995-12-20,6.9,10.0,3.5
1995-12-21,6.9,10.0,3.5
1995-12-22,6.9,10.0,3.5
1995-12-23,6.9,10.0,3.5
1995-12-24,6.9,11.0,3.5
1995-12-25,6.9,10.0,3.5
1995-12-26,6.9,10.0,3.5
1995-12-27,6.9,11.0,3.5
1995-12-28,6.9,10.0,3.5
1995-12-29,7.0,10.0,3.5
1995-12-30,7.4,10.0,3.9
1995-12-31,8.0,16.0,4.6
1996-01-01,8.1,18.0,4.9
1996-01-02,8.2,18.0,5.0
1996-01-03,8.3,16.0,5.0
1996-01-04,8.4,18.0,5.1
1996-01-05,8.4,18.0,5.1
1996-01-06,8.5,17.0,5.2
1996-01-07,8.5,17.0,5.2
1996-01-08,8.6,16.0,5.2
1996-01-09,8.6,16.0,5.2
1996-01-10,8.6,17.0,5.2
1996-01-11,8.6,16.0,5.2
1996-01-12,8.6,16.0,5.2
1996-01-13,8.6,16.0,5.2
1996-01-14,8.6,16.0,5.2
1996-01-15,8.7,14.0,5.2
1996-01-16,9.4,23.0,6.0
1996-01-17,9.8,24.0,6.5
1996-01-18,10.0,26.0,6.8
1996-01-19,11.0,36.0,7.9
1996-01-20,11.1,35.0,8.0
1996-01-21,11.5,37.0,8.4
1996-01-22,11.5,35.0,8.4
1996-01-23,11.6,34.0,8.5
1996-01-24,12.3,36.0,9.3
1996-01-25,12.8,41.0,9.8
1996-01-26,12.8,40.0,9.8
1996-01-27,13.2,40.0,10.2
1996-01-28,13.5,40.0,10.5
1996-01-29,13.8,40.0,10.8
1996-01-30,14.4,44.0,11.5
1996-01-31,14.8,49.0,12.0
