date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2009-10-01,0.0,0.0,36.0,50.4,27.5,0.0
2009-10-02,0.0,0.0,45.3,60.6,27.5,0.0
2009-10-03,0.0,0.0,49.1,58.5,39.6,0.0
2009-10-04,0.0,0.0,41.2,48.0,27.5,0.0
2009-10-05,0.0,0.0,34.9,48.9,22.1,0.0
2009-10-06,0.0,0.0,35.8,48.7,25.3,0.0
2009-10-07,0.0,0.0,37.0,50.0,27.1,0.0
2009-10-08,0.0,0.0,45.1,55.8,33.3,0.0
2009-10-09,0.0,0.0,50.0,61.3,41.5,0.0
2009-10-10,0.0,0.0,50.9,62.6,43.2,0.0
2009-10-11,0.0,0.0,48.9,57.0,43.9,0.0
2009-10-12,0.0,0.0,45.7,54.9,33.1,0.0
2009-10-13,0.0,0.0,45.0,51.6,39.9,0.0
2009-10-14,0.0,0.0,46.9,55.8,41.5,0.0
2009-10-15,0.0,0.0,50.5,63.5,40.6,0.0
2009-10-16,0.0,0.0,46.6,60.6,31.8,0.0
2009-10-17,0.0,0.0,54.5,68.7,36.1,0.0
2009-10-18,0.0,0.0,57.9,67.6,46.6,0.0
2009-10-19,0.0,0.0,52.9,60.4,41.9,0.0
2009-10-20,0.3,0.0,36.7,45.5,33.3,0.0
2009-10-21,0.4,0.0,37.2,45.5,30.6,0.0
2009-10-22,0.4,0.0,40.3,48.6,32.0,0.0
2009-10-23,0.4,0.0,46.6,58.6,33.3,0.0
2009-10-24,0.4,0.0,47.7,59.4,35.1,0.0
2009-10-25,0.4,0.0,36.1,45.0,29.7,0.0
2009-10-26,0.6,0.0,42.4,54.7,26.1,0.0
2009-10-27,0.6,0.0,29.7,46.4,17.8,0.0
2009-10-28,0.9,6.0,19.8,22.1,16.5,0.4
2009-10-29,0.9,4.0,21.4,28.0,17.4,0.4
2009-10-30,0.9,2.0,32.4,41.9,18.5,0.4
2009-10-31,0.9,1.0,38.3,54.0,26.6,0.2
2009-11-01,0.9,0.0,45.9,62.6,30.0,0.0
2009-11-02,0.9,0.0,45.9,60.8,33.6,0.0
2009-11-03,0.9,0.0,46.4,65.5,31.5,0.0
2009-11-04,0.9,0.0,52.7,65.1,37.8,0.0
2009-11-05,0.9,0.0,52.9,60.8,44.8,0.0
