date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,WTEQ_DAILY
2009-10-01,0.0,0.0,32.4,0.0
2009-10-02,0.0,0.0,33.8,0.0
2009-10-03,0.0,0.0,39.6,0.0
2009-10-04,0.4,0.0,37.2,0.0
2009-10-05,0.4,0.0,30.0,0.0
2009-10-06,0.4,0.0,30.2,0.0
2009-10-07,0.4,0.0,37.8,0.0
2009-10-08,0.4,0.0,35.1,0.0
2009-10-09,0.4,0.0,38.3,0.0
2009-10-10,0.4,0.0,37.4,0.0
2009-10-11,0.4,0.0,41.2,0.0
2009-10-12,0.4,0.0,42.3,0.0
2009-10-13,0.5,0.0,42.6,0.0
2009-10-14,0.6,0.0,41.7,0.0
2009-10-15,0.6,0.0,43.0,0.0
2009-10-16,0.6,0.0,41.4,0.0
2009-10-17,0.6,0.0,44.1,0.0
2009-10-18,0.6,0.0,48.2,0.0
2009-10-19,0.6,0.0,48.4,0.0
2009-10-20,0.6,0.0,41.0,0.0
2009-10-21,0.6,0.0,36.5,0.0
2009-10-22,0.6,0.0,36.9,0.0
2009-10-23,0.6,0.0,37.9,0.0
2009-10-24,0.6,0.0,38.3,0.0
2009-10-25,0.6,0.0,31.6,0.0
2009-10-26,0.6,0.0,30.6,0.0
2009-10-27,0.6,0.0,27.7,0.0
2009-10-28,0.6,0.0,24.6,0.0
2009-10-29,0.6,0.0,20.8,0.0
2009-10-30,0.6,0.0,31.6,0.0
2009-10-31,0.6,0.0,34.2,0.0
2009-11-01,0.6,0.0,38.5,0.0
2009-11-02,0.6,0.0,38.7,0.0
2009-11-03,0.6,0.0,40.3,0.0
2009-11-04,0.6,0.0,41.4,0.0
2009-11-05,0.6,0.0,41.5,0.0
2009-11-06,0.6,0.0,42.1,0.0
2009-11-07,0.6,0.0,41.2,0.0
2009-11-08,0.6,0.0,34.5,0.0
2009-11-09,0.6,0.0,34.5,0.0
2009-11-10,0.6,0.0,37.2,0.0
2009-11-11,0.6,0.0,39.0,0.0
2009-11-12,0.6,0.0,39.2,0.0
2009-11-13,0.7,0.0,28.2,0.0
2009-11-14,0.7,0.0,19.2,0.0
2009-11-15,0.7,0.0,18.9,0.0
2009-11-16,0.7,0.0,23.0,0.0
2009-11-17,0.7,0.0,29.5,0.0
2009-11-18,0.7,0.0,30.4,0.0
2009-11-19,0.7,0.0,29.8,0.0
2009-11-20,0.7,0.0,30.2,0.0
2009-11-21,0.8,0.0,27.5,0.0
2009-11-22,0.9,0.0,24.3,0.0
2009-11-23,0.9,0.0,18.3,0.0
2009-11-24,0.9,0.0,21.6,0.0
2009-11-25,0.9,0.0,29.8,0.0
2009-11-26,0.9,0.0,32.7,0.0
2009-11-27,0.9,0.0,32.4,0.0
2009-11-28,0.9,0.0,29.7,0.0
2009-11-29,0.9,0.0,25.2,0.0
2009-11-30,0.9,0.0,28.0,0.0
2009-12-01,0.9,0.0,28.4,0.0
2009-12-02,0.9,0.0,12.0,0.0
2009-12-03,0.9,0.0,3.6,0.0
2009-12-04,0.9,0.0,8.2,0.0
2009-12-05,0.9,0.0,14.2,0.0
2009-12-06,1.3,4.0,7.0,0.3
2009-12-07,1.6,5.0,7.9,0.7
2009-12-08,1.7,6.0,7.5,0.8
2009-12-09,1.7,5.0,-0.6,0.8
2009-12-10,1.7,5.0,3.0,0.8
2009-12-11,1.7,5.0,12.6,0.9
2009-12-12,1.9,8.0,19.4,1.3
2009-12-13,2.5,14.0,21.4,2.0
2009-12-14,2.5,14.0,17.4,2.0
2009-12-15,2.5,12.0,19.0,2.0
2009-12-16,2.5,11.0,25.2,2.0
2009-12-17,2.5,11.0,25.2,2.0
2009-12-18,2.5,10.0,18.5,2.0
2009-12-19,2.5,10.0,19.6,2.0
2009-12-20,2.5,10.0,27.1,2.0
2009-12-21,2.5,10.0,24.3,2.0
2009-12-22,2.6,11.0,23.2,2.1
2009-12-23,2.6,10.0,23.7,2.3
2009-12-24,2.6,10.0,11.8,2.1
2009-12-25,2.6,9.0,14.9,2.1
2009-12-26,2.6,9.0,8.6,2.1
2009-12-27,2.6,9.0,15.4,2.1
2009-12-28,2.6,9.0,15.3,2.1
2009-12-29,2.7,9.0,15.3,2.1
2009-12-30,2.8,10.0,15.3,2.2
2009-12-31,2.8,10.0,15.3,2.2
2010-01-01,2.8,10.0,21.2,2.2
2010-01-02,2.8,11.0,24.4,2.2
2010-01-03,2.8,10.0,17.4,2.2
2010-01-04,2.8,10.0,20.1,2.2
2010-01-05,2.8,10.0,27.0,2.2
2010-01-06,2.9,10.0,27.3,2.2
2010-01-07,2.9,10.0,7.9,2.2
2010-01-08,2.9,10.0,14.7,2.2
2010-01-09,2.9,10.0,26.1,2.2
2010-01-10,2.9,10.0,24.3,2.2
2010-01-11,2.9,10.0,26.2,2.2
2010-01-12,2.9,10.0,27.5,2.2
2010-01-13,2.9,10.0,26.8,2.2
2010-01-14,2.9,10.0,25.7,2.2
2010-01-15,2.9,10.0,23.2,2.2
2010-01-16,2.9,10.0,28.9,2.2
2010-01-17,2.9,10.0,28.8,2.2
2010-01-18,3.2,12.0,24.4,2.6
2010-01-19,3.5,17.0,24.6,3.0
2010-01-20,3.7,18.0,23.7,3.3
2010-01-21,4.2,23.0,24.3,3.8
2010-01-22,4.7,27.0,22.8,4.2
2010-01-23,4.8,24.0,17.4,4.2
2010-01-24,4.9,23.0,17.2,4.2
2010-01-25,4.9,22.0,15.4,4.2
2010-01-26,4.9,21.0,18.5,4.2
2010-01-27,4.9,22.0,23.2,4.3
2010-01-28,4.9,21.0,23.0,4.3
2010-01-29,4.9,21.0,19.6,4.3
2010-01-30,4.9,20.0,19.4,4.4
2010-01-31,5.1,22.0,19.0,4.5
2010-02-01,5.1,21.0,17.2,4.5
2010-02-02,5.1,21.0,18.0,4.5
2010-02-03,5.1,21.0,21.9,4.5
2010-02-04,5.1,20.0,19.9,4.5
2010-02-05,5.1,20.0,21.9,4.5
2010-02-06,5.1,20.0,25.7,4.6
2010-02-07,5.1,20.0,23.9,4.6
2010-02-08,5.1,20.0,12.4,4.6
2010-02-09,5.1,20.0,10.6,4.6
2010-02-10,5.1,20.0,14.4,4.6
2010-02-11,5.1,20.0,19.2,4.6
2010-02-12,5.1,20.0,24.1,4.6
2010-02-13,5.1,19.0,28.6,4.6
2010-02-14,5.1,20.0,18.3,4.6
2010-02-15,5.1,19.0,19.0,4.6
2010-02-16,5.1,20.0,21.2,4.6
2010-02-17,5.1,20.0,24.6,4.8
2010-02-18,5.3,21.0,21.9,4.8
2010-02-19,5.4,22.0,19.2,4.9
2010-02-20,5.6,26.0,19.4,5.1
2010-02-21,5.6,25.0,13.1,5.1
2010-02-22,5.6,24.0,9.0,5.1
2010-02-23,5.6,23.0,16.9,5.1
2010-02-24,5.6,23.0,20.7,5.1
2010-02-25,5.6,22.0,24.6,5.1
2010-02-26,5.6,22.0,21.0,5.1
