date,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2022-10-01,0.0,59.0,68.7,53.2,0.0
2022-10-02,0.0,60.1,68.0,56.8,0.0
2022-10-03,0.0,61.2,70.2,56.3,0.0
2022-10-04,0.0,59.5,66.7,54.1,0.0
2022-10-05,0.0,57.6,67.3,52.3,0.0
2022-10-06,0.0,60.1,66.9,54.7,0.0
2022-10-07,0.0,61.9,70.9,57.9,0.0
2022-10-08,0.0,60.3,67.6,56.8,0.0
2022-10-09,0.0,58.3,67.1,53.6,0.0
2022-10-10,0.0,49.3,56.1,42.6,0.0
2022-10-11,0.0,46.8,57.2,39.6,0.0
2022-10-12,0.0,56.1,63.1,46.6,0.0
2022-10-13,0.0,60.3,68.2,56.7,0.0
2022-10-14,0.0,57.9,62.6,54.5,0.0
2022-10-15,0.0,56.8,65.5,50.4,0.0
2022-10-16,0.0,60.8,68.9,55.8,0.0
2022-10-17,0.0,58.6,68.5,53.2,0.0
2022-10-18,0.0,57.7,65.8,53.6,0.0
2022-10-19,0.0,57.7,64.9,51.6,0.0
2022-10-20,0.0,45.0,53.1,37.0,0.0
2022-10-21,0.0,32.2,37.0,30.2,0.4
2022-10-22,0.0,30.2,33.6,27.9,0.4
2022-10-23,0.0,30.0,33.1,26.8,0.5
2022-10-24,8.0,31.3,33.8,29.5,1.6
2022-10-25,15.0,30.6,32.5,29.3,2.8
2022-10-26,16.0,29.5,33.4,27.9,3.4
2022-10-27,12.0,33.8,36.0,29.7,5.6
2022-10-28,16.0,33.3,34.7,32.0,5.7
2022-10-29,17.0,33.3,34.5,32.0,5.9
2022-10-30,21.0,33.6,34.9,32.5,8.1
2022-10-31,28.0,31.6,33.8,27.5,9.9
2022-11-01,25.0,27.9,34.5,24.1,9.7
2022-11-02,26.0,24.6,27.0,22.3,9.6
2022-11-03,28.0,24.4,28.0,21.2,10.4
2022-11-04,31.0,34.3,39.7,26.8,14.0
2022-11-05,34.0,24.4,27.1,22.1,12.5
2022-11-06,39.0,24.3,27.5,22.3,13.2
2022-11-07,40.0,20.3,24.4,13.6,13.2
2022-11-08,41.0,16.5,21.9,11.5,13.2
2022-11-09,39.0,24.4,33.8,19.6,13.2
