date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,WTEQ_DAILY
2011-10-01,0.1,0.0,49.3,0.0
2011-10-02,0.3,0.0,48.4,0.0
2011-10-03,0.6,0.0,46.8,0.0
2011-10-04,0.7,0.0,42.4,0.0
2011-10-05,3.0,15.0,34.0,2.6
2011-10-06,3.7,17.0,26.2,2.8
2011-10-07,3.8,15.0,27.9,2.8
2011-10-08,3.8,12.0,30.2,2.7
2011-10-09,3.8,9.0,33.3,2.5
2011-10-10,3.8,6.0,38.1,2.3
2011-10-11,3.8,5.0,44.1,1.7
2011-10-12,3.8,4.0,45.5,0.8
2011-10-13,3.8,1.0,49.3,0.4
2011-10-14,3.8,0.0,52.9,0.0
2011-10-15,4.0,0.0,51.3,0.0
2011-10-16,4.0,0.0,49.3,0.0
2011-10-17,4.0,0.0,44.8,0.0
2011-10-18,4.0,0.0,47.5,0.0
2011-10-19,4.0,0.0,45.5,0.0
2011-10-20,4.0,0.0,45.0,0.0
2011-10-21,4.0,0.0,43.9,0.0
2011-10-22,4.0,0.0,46.8,0.0
2011-10-23,4.0,0.0,47.3,0.0
2011-10-24,4.0,0.0,45.1,0.0
2011-10-25,4.0,0.0,42.3,0.0
2011-10-26,4.0,0.0,25.0,0.0
2011-10-27,4.1,0.0,34.7,0.0
2011-10-28,4.1,0.0,37.8,0.0
2011-10-29,4.1,0.0,43.0,0.0
2011-10-30,4.1,0.0,42.8,0.0
2011-10-31,4.1,0.0,42.3,0.0
2011-11-01,4.1,0.0,30.6,0.0
2011-11-02,4.1,0.0,26.4,0.0
2011-11-03,4.1,0.0,31.6,0.0
2011-11-04,4.3,4.0,31.3,0.4
2011-11-05,4.3,2.0,19.4,0.4
2011-11-06,4.6,7.0,20.7,0.9
2011-11-07,4.6,7.0,19.4,0.9
2011-11-08,4.6,5.0,24.1,0.9
2011-11-09,4.6,5.0,27.9,0.9
2011-11-10,4.7,5.0,30.6,1.0
2011-11-11,4.8,5.0,31.3,1.1
2011-11-12,4.8,4.0,29.7,1.1
2011-11-13,4.8,4.0,31.1,1.1
2011-11-14,4.8,4.0,30.7,1.1
2011-11-15,4.8,4.0,32.0,1.1
2011-11-16,4.8,5.0,30.4,1.1
2011-11-17,4.8,5.0,32.7,1.1
2011-11-18,4.8,4.0,30.4,1.2
2011-11-19,4.8,4.0,28.8,1.2
2011-11-20,5.1,5.0,29.3,1.5
2011-11-21,5.5,11.0,28.2,1.9
2011-11-22,5.5,11.0,32.5,1.9
2011-11-23,5.6,10.0,34.7,2.0
2011-11-24,5.6,9.0,30.9,2.0
2011-11-25,5.6,9.0,30.9,2.0
2011-11-26,5.6,9.0,32.9,2.0
2011-11-27,5.6,9.0,41.0,2.0
2011-11-28,5.6,8.0,43.3,2.0
2011-11-29,5.6,9.0,38.3,2.0
2011-11-30,5.6,9.0,31.5,2.0
2011-12-01,5.6,12.0,21.0,2.2
2011-12-02,5.8,15.0,23.2,2.5
2011-12-03,5.8,15.0,13.6,2.5
2011-12-04,5.8,15.0,14.4,2.5
2011-12-05,5.8,15.0,9.0,2.5
2011-12-06,5.8,15.0,25.2,2.5
2011-12-07,5.8,14.0,31.8,2.5
2011-12-08,5.8,13.0,29.8,2.5
2011-12-09,5.8,13.0,31.1,2.5
2011-12-10,5.8,13.0,28.9,2.5
2011-12-11,5.8,13.0,24.3,2.5
2011-12-12,6.5,19.0,22.8,3.3
2011-12-13,6.6,21.0,20.7,3.4
2011-12-14,6.6,19.0,18.9,3.4
2011-12-15,6.6,18.0,20.5,3.4
2011-12-16,6.6,18.0,23.7,3.4
2011-12-17,6.7,18.0,32.2,3.5
2011-12-18,6.8,19.0,30.0,3.7
2011-12-19,6.8,20.0,26.6,3.7
2011-12-20,6.8,20.0,26.4,3.7
2011-12-21,6.8,19.0,21.9,3.7
2011-12-22,6.9,21.0,8.8,3.8
2011-12-23,6.9,20.0,21.9,3.8
2011-12-24,6.9,20.0,28.8,3.8
2011-12-25,6.9,18.0,34.7,3.8
2011-12-26,6.9,19.0,34.2,3.8
2011-12-27,6.9,19.0,33.6,3.9
2011-12-28,6.9,18.0,37.9,3.9
2011-12-29,6.9,19.0,39.2,3.9
2011-12-30,6.9,18.0,38.5,3.9
2011-12-31,6.9,18.0,32.5,3.9
2012-01-01,6.9,19.0,35.4,3.9
2012-01-02,6.9,18.0,35.2,3.9
2012-01-03,6.9,18.0,37.8,3.9
2012-01-04,6.9,18.0,38.1,3.9
2012-01-05,6.9,18.0,39.0,3.9
2012-01-06,6.9,18.0,36.0,3.9
2012-01-07,7.0,22.0,23.5,4.0
2012-01-08,7.0,20.0,21.0,4.0
2012-01-09,7.0,20.0,37.0,4.0
2012-01-10,7.0,19.0,36.3,4.0
2012-01-11,7.0,19.0,23.0,4.0
2012-01-12,7.0,20.0,25.5,4.0
2012-01-13,7.0,20.0,28.8,4.0
2012-01-14,7.0,19.0,31.6,4.0
2012-01-15,7.0,19.0,28.0,4.0
2012-01-16,7.0,20.0,19.2,4.0
2012-01-17,7.0,19.0,21.6,4.0
2012-01-18,7.0,19.0,33.3,4.0
2012-01-19,7.0,19.0,37.8,4.0
2012-01-20,7.0,19.0,33.3,4.0
2012-01-21,8.6,29.0,25.9,6.0
2012-01-22,8.6,28.0,21.6,6.0
2012-01-23,9.1,31.0,21.9,6.4
2012-01-24,9.1,31.0,23.0,6.4
2012-01-25,9.1,30.0,34.7,6.4
2012-01-26,9.1,30.0,34.0,6.4
2012-01-27,9.1,30.0,22.6,6.4
2012-01-28,9.1,29.0,28.6,6.4
2012-01-29,9.1,29.0,32.2,6.4
2012-01-30,9.1,29.0,30.9,6.4
2012-01-31,9.1,29.0,28.6,6.4
2012-02-01,9.1,29.0,27.1,6.4
2012-02-02,9.1,29.0,19.6,6.4
2012-02-03,9.1,29.0,20.7,6.4
2012-02-04,9.1,29.0,18.5,6.4
2012-02-05,9.1,28.0,20.7,6.4
2012-02-06,9.1,29.0,19.2,6.4
2012-02-07,9.3,29.0,21.0,6.5
2012-02-08,9.3,28.0,31.6,6.5
2012-02-09,9.3,28.0,31.5,6.5
2012-02-10,9.3,28.0,33.4,6.5
2012-02-11,9.4,28.0,31.8,6.7
2012-02-12,9.8,32.0,25.5,7.2
2012-02-13,10.7,43.0,23.5,8.2
2012-02-14,10.7,40.0,18.3,8.2
2012-02-15,11.3,47.0,20.8,8.9
2012-02-16,11.3,46.0,19.4,8.9
2012-02-17,11.3,43.0,25.7,8.9
2012-02-18,11.3,42.0,27.9,8.9
2012-02-19,11.8,47.0,17.4,9.5
2012-02-20,11.8,45.0,22.3,9.5
2012-02-21,11.9,43.0,28.9,9.6
2012-02-22,11.9,43.0,34.3,9.6
2012-02-23,11.9,42.0,25.9,9.6
2012-02-24,11.9,41.0,29.8,9.6
2012-02-25,11.9,39.0,28.9,9.6
2012-02-26,11.9,39.0,23.9,9.6
2012-02-27,11.9,40.0,25.0,9.6
2012-02-28,12.3,44.0,20.8,10.1
2012-02-29,12.3,43.0,21.2,10.1
2012-03-01,12.7,47.0,20.5,10.4
2012-03-02,12.7,43.0,11.8,10.4
2012-03-03,12.7,42.0,27.5,10.4
2012-03-04,12.7,41.0,37.2,10.4
2012-03-05,12.7,40.0,37.0,10.4
2012-03-06,12.8,41.0,30.9,10.5
2012-03-07,12.8,40.0,12.9,10.5
2012-03-08,12.8,39.0,28.0,10.5
2012-03-09,12.8,38.0,33.4,10.5
2012-03-10,12.8,38.0,33.3,10.5
2012-03-11,12.8,36.0,32.5,10.3
2012-03-12,12.8,36.0,33.1,10.0
2012-03-13,12.8,35.0,34.3,9.9
2012-03-14,12.8,34.0,34.9,9.8
2012-03-15,12.8,33.0,37.4,9.7
2012-03-16,12.8,31.0,37.0,9.6
2012-03-17,14.2,43.0,31.5,11.3
2012-03-18,15.3,55.0,18.7,12.6
2012-03-19,16.1,61.0,18.0,13.4
2012-03-20,16.2,56.0,24.8,13.6
2012-03-21,16.2,51.0,35.8,13.6
2012-03-22,16.2,46.0,40.8,13.6
2012-03-23,16.2,44.0,38.1,13.5
2012-03-24,16.2,42.0,39.0,13.4
2012-03-25,16.2,41.0,38.1,13.3
2012-03-26,16.4,43.0,26.4,13.7
2012-03-27,16.5,42.0,34.2,13.9
2012-03-28,16.5,41.0,36.1,13.7
2012-03-29,16.5,40.0,37.8,13.6
2012-03-30,16.5,38.0,42.3,13.3
2012-03-31,16.5,36.0,41.5,12.8
2012-04-01,16.9,41.0,26.1,13.3
2012-04-02,16.9,39.0,21.0,13.2
2012-04-03,16.9,37.0,35.6,13.2
2012-04-04,16.9,36.0,38.7,12.8
2012-04-05,16.9,35.0,35.8,12.8
2012-04-06,16.9,35.0,25.9,12.6
2012-04-07,16.9,34.0,36.0,12.4
2012-04-08,16.9,32.0,41.4,12.0
2012-04-09,16.9,31.0,44.1,11.5
2012-04-10,16.9,30.0,44.2,10.9
2012-04-11,17.5,39.0,33.3,11.2
2012-04-12,18.2,39.0,27.3,12.0
2012-04-13,18.4,46.0,26.4,12.3
2012-04-14,19.6,51.0,24.4,13.7
2012-04-15,19.6,47.0,30.6,13.7
2012-04-16,19.6,43.0,36.1,13.5
2012-04-17,19.6,40.0,39.2,13.2
2012-04-18,19.6,38.0,43.0,13.0
2012-04-19,19.6,35.0,43.7,12.7
2012-04-20,19.6,33.0,45.9,12.1
2012-04-21,19.6,30.0,50.2,11.3
2012-04-22,19.6,29.0,53.1,10.4
2012-04-23,19.6,25.0,53.2,9.4
2012-04-24,19.6,23.0,48.2,8.4
2012-04-25,19.7,22.0,43.7,7.9
2012-04-26,20.0,21.0,38.5,7.8
2012-04-27,20.0,20.0,37.2,7.2
