date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,WTEQ_DAILY
2011-10-01,0.1,0.0,51.6,0.0
2011-10-02,0.1,0.0,50.5,0.0
2011-10-03,0.2,0.0,48.7,0.0
2011-10-04,0.5,0.0,45.1,0.0
2011-10-05,1.0,0.0,38.8,0.0
2011-10-06,1.5,2.0,28.0,0.5
2011-10-07,1.9,2.0,27.9,0.6
2011-10-08,3.2,4.0,31.3,0.8
2011-10-09,3.3,2.0,32.4,0.8
2011-10-10,3.4,1.0,37.4,0.3
2011-10-11,3.5,0.0,38.1,0.0
2011-10-12,3.5,0.0,37.8,0.0
2011-10-13,3.5,0.0,40.8,0.0
2011-10-14,3.5,0.0,43.2,0.0
2011-10-15,3.5,0.0,51.1,0.0
2011-10-16,3.6,0.0,46.0,0.0
2011-10-17,3.8,0.0,34.2,0.0
2011-10-18,3.9,0.0,34.5,0.0
2011-10-19,3.9,0.0,42.1,0.0
2011-10-20,3.9,0.0,39.0,0.0
2011-10-21,3.9,0.0,40.5,0.0
2011-10-22,3.9,0.0,37.6,0.0
2011-10-23,3.9,0.0,41.0,0.0
2011-10-24,3.9,0.0,45.9,0.0
2011-10-25,4.1,0.0,33.3,0.0
2011-10-26,4.1,0.0,22.1,0.0
2011-10-27,4.1,0.0,24.6,0.0
2011-10-28,4.1,0.0,30.7,0.0
2011-10-29,4.1,0.0,34.2,0.0
2011-10-30,4.1,0.0,35.2,0.0
2011-10-31,4.1,0.0,39.2,0.0
2011-11-01,4.5,3.0,26.8,0.3
2011-11-02,4.5,2.0,20.5,0.3
2011-11-03,4.5,1.0,33.4,0.3
2011-11-04,4.8,4.0,34.2,0.5
2011-11-05,4.8,4.0,17.8,0.5
2011-11-06,4.8,3.0,19.9,0.5
2011-11-07,4.9,2.0,19.8,0.7
2011-11-08,4.9,3.0,15.3,0.7
2011-11-09,4.9,2.0,22.8,0.7
2011-11-10,4.9,2.0,31.3,0.7
2011-11-11,4.9,2.0,33.8,0.7
2011-11-12,5.8,11.0,27.3,1.9
2011-11-13,5.8,11.0,27.0,1.9
2011-11-14,5.8,9.0,27.1,1.8
2011-11-15,5.9,9.0,22.6,1.8
2011-11-16,5.9,9.0,21.0,1.8
2011-11-17,5.9,7.0,33.1,1.8
2011-11-18,6.6,15.0,29.8,2.5
2011-11-19,6.6,14.0,21.4,2.5
2011-11-20,6.6,13.0,28.4,2.5
2011-11-21,6.9,15.0,28.0,2.8
2011-11-22,6.9,13.0,28.0,2.7
2011-11-23,6.9,12.0,37.4,2.7
2011-11-24,6.9,12.0,34.3,2.7
2011-11-25,6.9,12.0,22.6,2.7
2011-11-26,6.9,12.0,17.6,2.7
2011-11-27,7.0,12.0,31.5,2.7
2011-11-28,7.0,12.0,33.1,2.7
2011-11-29,7.0,11.0,30.7,2.7
2011-11-30,7.2,14.0,29.5,2.9
2011-12-01,7.2,13.0,20.7,2.9
2011-12-02,7.2,13.0,21.0,2.9
2011-12-03,7.2,13.0,9.1,2.9
2011-12-04,7.2,14.0,8.6,2.9
2011-12-05,7.2,14.0,-2.0,2.9
2011-12-06,7.3,14.0,14.2,2.9
2011-12-07,7.3,13.0,22.1,2.9
2011-12-08,7.3,13.0,19.9,2.9
2011-12-09,7.3,13.0,18.9,2.9
2011-12-10,7.3,13.0,26.6,2.9
2011-12-11,7.3,12.0,27.5,2.9
2011-12-12,7.4,13.0,22.8,3.0
2011-12-13,7.4,13.0,22.5,3.0
2011-12-14,7.4,14.0,17.1,3.0
2011-12-15,7.4,14.0,15.6,3.0
2011-12-16,7.5,14.0,16.0,3.1
2011-12-17,7.5,13.0,27.0,3.1
2011-12-18,7.5,14.0,31.1,3.1
2011-12-19,7.5,14.0,18.3,3.1
2011-12-20,7.5,13.0,18.5,3.1
2011-12-21,7.8,16.0,16.2,3.3
2011-12-22,7.8,16.0,7.7,3.3
2011-12-23,7.8,16.0,11.3,3.3
2011-12-24,7.8,16.0,18.7,3.3
2011-12-25,7.8,15.0,30.0,3.3
2011-12-26,7.8,15.0,23.4,3.3
2011-12-27,8.0,15.0,24.1,3.3
2011-12-28,8.1,14.0,33.3,3.3
2011-12-29,8.5,17.0,31.6,3.7
2011-12-30,8.5,16.0,37.4,3.7
2011-12-31,8.6,20.0,14.7,3.9
2012-01-01,8.6,19.0,24.6,3.9
2012-01-02,8.6,18.0,36.1,3.9
2012-01-03,8.6,18.0,30.9,3.9
2012-01-04,8.6,18.0,30.0,3.9
2012-01-05,8.6,18.0,34.0,3.9
2012-01-06,8.6,17.0,28.0,3.9
2012-01-07,8.7,21.0,18.1,4.0
2012-01-08,8.7,20.0,14.2,4.0
2012-01-09,8.7,19.0,23.4,4.0
2012-01-10,8.7,19.0,26.8,4.0
2012-01-11,8.7,19.0,10.0,4.0
2012-01-12,8.7,19.0,9.3,4.0
2012-01-13,8.7,19.0,22.1,4.0
2012-01-14,8.7,18.0,31.6,4.0
2012-01-15,8.7,18.0,31.8,4.0
2012-01-16,9.1,22.0,11.5,4.3
2012-01-17,9.1,21.0,9.0,4.3
2012-01-18,9.5,24.0,24.8,4.6
2012-01-19,9.8,25.0,32.7,4.8
2012-01-20,10.0,26.0,29.3,5.1
2012-01-21,11.3,39.0,26.8,6.4
2012-01-22,11.3,39.0,17.1,6.4
2012-01-23,11.3,35.0,22.5,6.4
2012-01-24,11.4,34.0,17.4,6.5
2012-01-25,11.4,,,6.5
2012-01-26,11.6,35.0,26.8,6.7
2012-01-27,11.6,34.0,10.0,6.7
2012-01-28,11.6,33.0,12.7,6.7
2012-01-29,11.6,31.0,27.1,6.7
2012-01-30,11.6,31.0,26.2,6.7
2012-01-31,11.6,31.0,19.2,6.7
2012-02-01,11.8,31.0,23.5,6.8
2012-02-02,11.8,32.0,20.8,6.8
2012-02-03,11.8,31.0,14.0,6.8
2012-02-04,11.8,31.0,14.9,6.8
2012-02-05,11.8,30.0,16.3,6.8
2012-02-06,11.8,30.0,13.1,6.8
2012-02-07,11.9,30.0,19.8,6.8
2012-02-08,11.9,30.0,27.5,6.8
2012-02-09,12.0,30.0,25.2,6.9
2012-02-10,12.0,30.0,25.7,6.9
2012-02-11,12.1,30.0,28.6,7.0
2012-02-12,12.4,36.0,26.4,7.4
2012-02-13,12.4,36.0,22.1,7.5
2012-02-14,12.4,34.0,19.4,7.5
2012-02-15,12.4,34.0,18.0,7.5
2012-02-16,12.4,34.0,15.1,7.5
2012-02-17,12.4,33.0,14.4,7.5
2012-02-18,12.4,32.0,22.6,7.5
2012-02-19,12.6,35.0,16.2,7.7
2012-02-20,12.6,34.0,15.8,7.7
2012-02-21,12.8,35.0,25.2,7.9
2012-02-22,13.7,40.0,31.3,8.8
2012-02-23,13.8,40.0,15.1,9.0
2012-02-24,13.8,39.0,21.0,9.0
2012-02-25,14.0,42.0,19.9,9.2
2012-02-26,14.3,41.0,15.4,9.5
2012-02-27,14.3,42.0,25.7,9.5
2012-02-28,14.6,46.0,19.4,9.9
2012-02-29,15.3,52.0,19.9,10.6
2012-03-01,15.3,48.0,13.6,10.6
2012-03-02,15.6,49.0,10.9,10.9
2012-03-03,15.6,46.0,22.1,10.9
2012-03-04,15.6,44.0,30.2,10.9
2012-03-05,15.6,42.0,36.9,10.9
2012-03-06,15.7,42.0,32.2,11.1
2012-03-07,15.7,42.0,18.5,11.1
2012-03-08,15.7,41.0,20.7,11.1
2012-03-09,15.7,40.0,30.2,11.1
2012-03-10,15.7,39.0,34.0,11.1
2012-03-11,15.7,37.0,34.7,10.9
2012-03-12,15.7,36.0,36.9,10.8
2012-03-13,15.7,34.0,38.3,10.4
2012-03-14,15.7,33.0,37.2,9.8
2012-03-15,15.7,32.0,40.8,9.5
2012-03-16,15.7,30.0,41.4,8.9
2012-03-17,15.9,31.0,36.3,9.0
2012-03-18,16.8,40.0,24.8,10.1
2012-03-19,17.0,42.0,17.4,10.5
2012-03-20,17.1,38.0,24.3,10.7
2012-03-21,17.1,35.0,33.8,10.7
2012-03-22,17.1,33.0,39.9,10.4
2012-03-23,17.1,31.0,43.7,9.8
2012-03-24,17.1,30.0,43.7,9.3
2012-03-25,17.1,28.0,44.4,9.2
2012-03-26,17.3,32.0,30.4,9.5
2012-03-27,17.3,29.0,35.1,9.5
2012-03-28,17.4,28.0,38.5,8.8
2012-03-29,17.5,27.0,36.9,8.6
2012-03-30,17.5,25.0,42.3,7.9
2012-03-31,17.5,22.0,46.9,6.9
2012-04-01,17.9,28.0,30.2,7.6
2012-04-02,17.9,24.0,23.9,7.6
2012-04-03,17.9,22.0,32.5,7.6
2012-04-04,17.9,20.0,42.8,6.6
2012-04-05,17.9,19.0,39.2,6.4
2012-04-06,18.2,23.0,20.7,6.8
