date,PREC_DAILY,WTEQ_DAILY
2001-10-01,0.0,0.0
2001-10-02,0.0,0.0
2001-10-03,0.0,0.0
2001-10-04,0.1,0.0
2001-10-05,0.1,0.0
2001-10-06,0.3,0.0
2001-10-07,0.3,0.0
2001-10-08,0.4,0.0
2001-10-09,0.8,0.0
2001-10-10,0.8,0.0
2001-10-11,0.8,0.0
2001-10-12,0.8,0.0
2001-10-13,0.8,0.0
2001-10-14,0.8,0.0
2001-10-15,0.8,0.0
2001-10-16,0.8,0.0
2001-10-17,0.8,0.0
2001-10-18,0.8,0.0
2001-10-19,0.8,0.0
2001-10-20,0.8,0.0
2001-10-21,0.8,0.0
2001-10-22,0.8,0.0
2001-10-23,0.9,0.0
2001-10-24,0.9,0.0
2001-10-25,0.9,0.0
2001-10-26,0.9,0.0
2001-10-27,0.9,0.0
2001-10-28,0.9,0.0
2001-10-29,0.9,0.0
2001-10-30,1.5,0.0
2001-10-31,1.7,0.0
2001-11-01,1.8,0.0
2001-11-02,1.8,0.0
2001-11-03,1.8,0.0
2001-11-04,1.8,0.0
2001-11-05,1.8,0.0
2001-11-06,1.8,0.0
2001-11-07,1.9,0.0
2001-11-08,2.0,0.0
2001-11-09,2.0,0.0
2001-11-10,2.1,0.0
2001-11-11,2.1,0.0
2001-11-12,2.2,0.0
2001-11-13,2.2,0.0
2001-11-14,2.3,0.0
2001-11-15,2.3,0.0
2001-11-16,2.3,0.0
2001-11-17,2.3,0.0
2001-11-18,2.3,0.0
2001-11-19,2.3,0.0
2001-11-20,2.3,0.0
2001-11-21,2.3,0.0
2001-11-22,2.8,0.1
2001-11-23,2.8,0.3
2001-11-24,3.2,0.6
2001-11-25,3.5,1.1
2001-11-26,3.5,1.1
2001-11-27,3.5,1.1
2001-11-28,3.5,1.1
2001-11-29,3.8,1.2
2001-11-30,3.8,1.2
2001-12-01,4.1,1.6
2001-12-02,4.2,1.8
2001-12-03,4.3,1.9
2001-12-04,4.6,2.0
2001-12-05,4.9,2.5
2001-12-06,5.4,2.8
2001-12-07,5.5,2.8
2001-12-08,5.5,3.1
2001-12-09,5.5,3.1
2001-12-10,5.5,3.1
2001-12-11,5.5,3.1
2001-12-12,5.5,3.1
2001-12-13,5.5,3.1
2001-12-14,5.6,3.1
2001-12-15,5.7,3.1
2001-12-16,5.7,3.1
2001-12-17,5.7,3.1
2001-12-18,5.7,3.1
2001-12-19,5.7,3.1
2001-12-20,5.7,3.1
2001-12-21,5.7,3.1
2001-12-22,5.7,3.1
2001-12-23,5.7,3.1
2001-12-24,5.7,3.1
2001-12-25,5.7,3.1
2001-12-26,5.7,3.1
2001-12-27,5.7,3.1
2001-12-28,5.7,3.1
2001-12-29,5.7,3.1
2001-12-30,5.7,3.1
2001-12-31,5.7,3.1
2002-01-01,5.7,3.1
2002-01-02,5.7,3.1
2002-01-03,5.7,3.1
2002-01-04,5.7,3.1
2002-01-05,5.7,3.1
2002-01-06,5.7,3.1
2002-01-07,5.7,3.1
2002-01-08,5.7,3.1
2002-01-09,5.7,3.1
2002-01-10,5.7,3.1
2002-01-11,5.7,3.1
2002-01-12,5.7,3.1
2002-01-13,5.7,3.1
2002-01-14,5.7,3.1
2002-01-15,5.7,3.1
2002-01-16,5.7,3.1
2002-01-17,5.7,3.1
2002-01-18,5.7,3.1
2002-01-19,5.7,3.1
2002-01-20,5.7,3.1
2002-01-21,5.7,3.1
2002-01-22,5.7,3.1
2002-01-23,5.7,3.1
2002-01-24,5.7,3.3
2002-01-25,5.7,3.3
2002-01-26,5.7,3.3
2002-01-27,5.8,3.4
2002-01-28,5.9,3.4
2002-01-29,5.9,3.4
2002-01-30,5.9,3.4
2002-01-31,5.9,3.4
2002-02-01,6.0,3.5
2002-02-02,6.0,3.5
2002-02-03,6.0,3.5
2002-02-04,6.0,3.5
2002-02-05,6.0,3.5
2002-02-06,6.0,3.5
2002-02-07,6.0,3.5
2002-02-08,6.1,3.5
2002-02-09,6.1,3.5
2002-02-10,6.1,3.5
2002-02-11,6.1,3.5
2002-02-12,6.1,3.5
2002-02-13,6.1,3.5
2002-02-14,6.1,3.5
2002-02-15,6.1,3.5
2002-02-16,6.1,3.5
2002-02-17,6.1,3.5
2002-02-18,6.2,3.5
2002-02-19,6.2,3.5
2002-02-20,6.4,3.7
2002-02-21,6.5,3.9
2002-02-22,6.5,3.9
2002-02-23,6.5,3.9
2002-02-24,6.6,3.9
2002-02-25,6.6,3.9
2002-02-26,6.6,3.9
2002-02-27,6.6,3.9
2002-02-28,6.6,3.9
2002-03-01,6.6,3.9
2002-03-02,6.6,3.9
2002-03-03,6.6,3.9
2002-03-04,6.6,3.9
2002-03-05,6.6,3.9
2002-03-06,6.6,4.6
2002-03-07,7.0,4.8
2002-03-08,7.1,4.8
2002-03-09,7.1,4.8
2002-03-10,7.1,4.8
2002-03-11,7.1,4.8
2002-03-12,7.2,5.1
2002-03-13,7.2,5.1
2002-03-14,7.2,5.1
2002-03-15,7.2,5.1
2002-03-16,7.4,5.2
2002-03-17,7.5,5.3
2002-03-18,7.5,5.3
2002-03-19,7.5,5.5
2002-03-20,7.5,5.5
2002-03-21,7.6,5.6
2002-03-22,7.6,5.4
2002-03-23,7.6,5.3
2002-03-24,7.6,5.1
2002-03-25,7.6,5.1
